RECORD_NO,NAME
2018-004784STR,55 9th Street Unit 1212
2018-004793STR,25 Sierra St. W106
2018-004807STR,2240 Broderick Street
2018-004815STR,818 Hayes Street Apt #3
2018-004868STR,784 Green Street
2018-004877STR,43 Downey Street
2018-004879STR,3131B Divisadero St.
2018-004890STR,1408 Kearny Street
2018-004915STR,3036 market street
2018-004949STR,1433 shotwell
2018-004952STR,152 Brewster Street
2018-004984STR,1338 Noe Street
2018-004988STR,43 Woodward Street
2018-005008STR,2472 California Street
2018-005062STR,1250 Bush Street
2018-005067STR,685 8th Avenue
2018-005135STR,338 Potrero Avenue 203
2018-005144STR,1432 Grove Street
2018-005165STR,1654 Great Highway
2018-005169STR,535 Page Street Room 2
2018-005228STR,253 San Carlos Street
2018-005245STR,241 10th Street
2018-005256STR,152 San Carlos Street Unit A
2018-016366STR,633 Ivy Street
2019-022865STR,372 Cresta Vista Drive
2020-001329STR,290 Lobos Street
2020-009780STR,1430 HUDSON AVE
2020-011394STR,115 Valley Street
2020-011395STR,1 Downey Street
2020-011396STR,965 Natoma Street
2020-011398STR,186 Liberty Street
2020-011399STR,1002 Vicente Street
2020-011400STR,37 Chenery Street
2021-000008STR,1 Morningside Drive
2021-000009STR,1011 23rd St Apt 12
2021-000010STR,1050 Noriega St
2021-000011STR,1062 sutter st
2021-000012STR,1071 Page St Apt Suite Bldg. (optional)
2021-000013STR,1071 Page St Apt Suite Bldg. (optional)
2021-000014STR,1090 Page Street Apt 4
2021-000015STR,111 Chestnut St Unit 411
2021-000016STR,1115 Filbert Street
2021-000017STR,1128 Harrison Street
2021-000018STR,1148 Dolores Street
2021-000019STR,1218 22nd Avenue
2021-000020STR,1229 Page Street
2021-000021STR,1231 York Street
2021-000022STR,1246 36th Avenue
2021-000023STR,126 Cayuga Ave
2021-000024STR,1305 LAGUNA ST APT 4
2021-000025STR,1306 10th ave
2021-000026STR,1322 Eddy Street
2021-000027STR,1326 THOMAS AVENUE
2021-000028STR,1332 Portola Dr
2021-000029STR,136 Dore Street
2021-000030STR,1367 37th Avenue
2021-000031STR,1468 Broadway
2021-000032STR,147 Stillman St.
2021-000033STR,149 Prospect Avenue
2021-000034STR,1490 39th Avenue
2021-000035STR,15 Claremont Blvd
2021-000036STR,1521 Treat Ave
2021-000037STR,1550 Page Street Unit A
2021-000038STR,156 Cresta Vista Dr.
2021-000039STR,16 Cityview Way
2021-000040STR,160 Otsego Avenue
2021-000041STR,1620 Noe Street
2021-000042STR,1658 QUESADA AVE
2021-000043STR,1672 19th Ave
2021-000044STR,1707 Jones Street
2021-000045STR,1730 22nd Ave
2021-000046STR,1772 Golden Gate Ave.
2021-000047STR,1832 Mason Street Unit A
2021-000048STR,1981 Clay Street
2021-000049STR,2030 Santiago Street
2021-000050STR,2047 44th Ave
2021-000051STR,2048 Sloat Blvd
2021-000052STR,2050 31st Avenue
2021-000053STR,207 Guerrero St
2021-000054STR,2103 Ellis St
2021-000055STR,212 Union Street
2021-000056STR,2156 Bush Street
2021-000057STR,2215 32nd Ave
2021-000058STR,2247 44th Avenue
2021-000059STR,2284 Bryant St
2021-000060STR,232 San Carlos Street
2021-000061STR,235 Dorland street
2021-000062STR,235 Rutledge Street
2021-000063STR,2406 Washington Street
2021-000064STR,2439 17th Avenue
2021-000065STR,2445 Fillmore Street Unit 1
2021-000066STR,247 GARCES DR
2021-000067STR,247 Judson Ave.
2021-000068STR,2473 27th Avenue
2021-000069STR,2476 3rd Street
2021-000070STR,250 Duncan Street
2021-000071STR,2525 19th Street
2021-000072STR,2560 Sacramento Street
2021-000073STR,26 Caine Avenue
2021-000074STR,264 Glenview Drive
2021-000075STR,274 Hartford St
2021-000076STR,276 Fowler Ave.
2021-000077STR,2811 Golden Gate Ave
2021-000078STR,2872 25th St
