TIME_LOG_SEQ,USER_NAME,LOG_DATE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
5067258,LRUSSELL,6/5/2018,20CAP,00000,0083W
5059157,VBYRD,7/1/2018,20CAP,00000,0083W
5090270,JRANGE,7/3/2018,20CAP,00000,0083W
5057654,VBYRD,5/31/2018,20CAP,00000,0083W
5090806,VBYRD,7/3/2018,20CAP,00000,0083W
5087100,LRUSSELL,6/29/2018,20CAP,00000,0083W
5096207,JRANGE,7/6/2018,20CAP,00000,0083W
5097035,VBYRD,7/6/2018,20CAP,00000,0083W
5081011,LRUSSELL,6/21/2018,20CAP,00000,0083W
5114980,EWHITE,7/26/2018,20CAP,00000,0083W
5112295,EWHITE,7/24/2018,20CAP,00000,0083W
5115578,EWHITE,7/27/2018,20CAP,00000,0083W
5115579,EWHITE,7/27/2018,20CAP,00000,0083W
5087300,LRUSSELL,6/25/2018,20CAP,00000,0083W
5089218,JRANGE,7/2/2018,20CAP,00000,0083W
5111396,EWHITE,7/23/2018,20CAP,00000,0083W
5111658,EWHITE,7/24/2018,20CAP,00000,0083W
5108458,EWHITE,7/19/2018,20CAP,00000,0083W
5092350,JRANGE,7/4/2018,20CAP,00000,0083W
5115878,LRUSSELL,7/27/2018,20CAP,00000,0083W
5094656,VBYRD,7/5/2018,20CAP,00000,0083W
5097330,LRUSSELL,7/5/2018,20CAP,00000,0083W
5088938,VBYRD,7/2/2018,20CAP,00000,0083W
5060320,LRUSSELL,5/31/2018,20CAP,00000,0083W
5093970,JRANGE,7/5/2018,20CAP,00000,0083W
5093060,VBYRD,7/4/2018,20CAP,00000,0083W
5114188,LRUSSELL,7/26/2018,20CAP,00000,0083W
5109010,EWHITE,7/20/2018,20CAP,00000,0083W
5114624,LRUSSELL,7/25/2018,20CAP,00000,0083W
5080987,LRUSSELL,6/20/2018,20CAP,00000,0083W
5117272,WWIETGRE,7/26/2018,20CAP,00000,0083W
5087163,LRUSSELL,6/28/2018,20CAP,00000,0083W
5110420,WWIETGRE,7/16/2018,20CAP,00000,0083W
5112078,LRUSSELL,7/24/2018,20CAP,00000,0083W
