ENV ID,File Date,Category,Review Type,childRecords
2014-003153ENV,8/18/2017,,,2014-003153APL-02
2016-001273ENV,8/21/2017,,,2016-001273APL-02
2016-004598ENV,4/13/2017,EEA,Initial Study,2016-004598EEA
2016-005406ENV,1/19/2017,ECD,Community Plan-Determination,2016-005406ECD2016-005406ECE
2016-005406ENV,,ECE,Community Plan-Exemption/Exclusion,
2016-009102ENV,2/17/2017,ECD,Community Plan-Determination,2016-009102ECD2016-009102ECE2016-009102ETR
2016-009102ENV,,ECE,Community Plan-Exemption/Exclusion,
2016-009102ENV,,ETR,Transportation Impact Study,
2016-010340ENV,1/11/2017,EEA,Initial Study,2016-010340EEA2016-010340EIR
2016-010340ENV,,EIR,Environmental Impact Report,500 turk
2016-010589ENV,3/27/2017,ECD,Community Plan-Determination,2016-010589APL2016-010589ECD2016-010589ECE
2016-010589ENV,,ECE,Community Plan-Exemption/Exclusion,
2016-013012ENV,1/17/2017,EEC,Categorical Exemption-Class 32,2016-013012EEC
2016-015922ENV,1/31/2017,EEC,Categorical Exemption-Determination of Historic Resource Impact,2016-015922EEC
2016-015987ENV,2/14/2017,EEC,Categorical Exemption-Class 32,2016-015987EEC
2016-015997ENV,3/8/2017,EEA,Initial Study,2016-015997EEA
2017-000282ENV,1/6/2017,EEC,Categorical Exemption-Class 32,2017-000282EEC
2017-001075ENV,1/24/2018,EEC,Categorical Exemption-Class 32,2017-001075EEC
2017-001152ENV,1/27/2017,EEC,Categorical Exemption-Stamp,2017-001152EEC
2017-001690ENV,2/14/2017,ECD,Community Plan-Determination,2017-001690ECD2017-001690ECE2017-001690MCM
2017-001690ENV,,ECE,Community Plan-Exemption/Exclusion,
2017-001816ENV,2/16/2017,EEC,Categorical Exemption-Class 32,2017-001816EEC
2017-002083ENV,6/29/2017,EEC,Categorical Exemption-Class 32,2017-002083EEC
2017-002951ENV,4/21/2017,ECD,Community Plan-Determination,2017-002951ECD2017-002951ECE
2017-002951ENV,,ECE,Community Plan-Exemption/Exclusion,
2017-003134ENV,3/31/2017,ETM,,2017-003134ETM (Note to File)
2017-003392ENV,3/15/2017,EEC,Categorical Exemption-Class 32,2017-003392EEC
2017-003559ENV,3/17/2017,EEA,Initial Study,2017-003559EIR2017-003559ETR2017-003559EEA
2017-003559ENV,,EIR,Environmental Impact Report,3700 california
2017-003559ENV,,ETR,Transportation Impact Study,
2017-004921ENV,4/18/2017,ECD,Community Plan-Determination,2017-004921ECD2017-004921ECE
2017-004921ENV,,ECE,Community Plan-Exemption/Exclusion,
2017-005214ENV,8/31/2017,ECD,Community Plan-Determination,2017-005214ECD
2017-005478ENV,5/19/2017,ECD,Community Plan-Determination,2017-005478ECD
2017-007057ENV,6/8/2017,,,
