PARENT RECORD ID,Governing,Publication_Date,Review_Type
1994.618,Addendum,,EIR Addendum
1996.222,Addendum,,EIR Addendum
1996.281,Exemption,,Public Project Exemption
1996.679,Negative Declaration,,EIR Addendum
1997.478,Addendum,12/15/2010,EIR Addendum
2000.048,Addendum,,EIR Addendum
2002.0805,Environmental Impact Report,,Initial Study-Negative Declaration
2002.1036,Addendum,,EIR Addendum
2002.1129,Addendum,,EIR Addendum
2003.0262,Addendum,,EIR Supplement
2003.0584,Addendum,10/29/2014,Negative Declaration Addendum
2003.1048,Addendum,,EIR Addendum
2004.0339,Addendum,10/3/2011,EIR Addendum
2004.0803,Negative Declaration,,EIR Addendum
2004.0916,Exemption,3/31/2008,EIR Addendum
2004.1004,Addendum,5/20/2013,Negative Declaration Addendum
2005.0161,Addendum,,Negative Declaration Addendum
2005.0288,Exemption,,EIR Addendum
2005.0540,Environmental Impact Report,10/29/2009,Initial Study-Negative Declaration
2005.0555,Addendum,2/13/2015,Initial Study-Negative Declaration
2005.0694,Community Plan Evaluation,11/21/2012,Categorical Exemption-Stamp
2005.0869,Negative Declaration,4/14/2010,Negative Declaration Addendum
2005.0911,Exemption,11/10/2015,EIR Addendum
2005.0912,Environmental Impact Report,,Categorical Exemption-Certificate
2005.1004,Environmental Impact Report,10/27/2011,Environmental Impact Report
2005.1019,Negative Declaration,,EIR Addendum
2005.1074,Environmental Impact Report,,EIR Addendum
2006.0810,Exemption,,Environmental Impact Report
2006.0868,Environmental Impact Report,,Community Plan-Initial Study/Environmental Evaluation
2006.0881,Environmental Impact Report,,Initial Study-Negative Declaration
2006.1106,Addendum,,Categorical Exemption-Class 32
2006.1213,Exemption,,Environmental Impact Report
2006.1308,Addendum,5/27/2014,Environmental Impact Report
2006.1340,Exemption,6/20/2019,Initial Study-Negative Declaration
2006.1506,Environmental Impact Report,,Environmental Impact Report
2006.1523,Community Plan Evaluation,,Categorical Exemption-Stamp
2006.1524,Community Plan Evaluation,,Environmental Impact Report
2007.0030,Environmental Impact Report,,Environmental Impact Report
2007.0030E,Environmental Impact Report,,EIR Addendum
2007.0129,Exemption,,Categorical Exemption-Certificate
2007.0206,Addendum,,EIR Addendum
2007.0213,Exemption,,Project Profile (PRJ)
2007.0308,Exemption,4/24/2008,Environmental Impact Report
2007.0347,Addendum,7/18/2019,Initial Study-Negative Declaration
2007.0389,Exemption,4/1/2010,Community Plan-Determination
2007.0456,Community Plan Evaluation,11/16/2012,Community Plan-Exemption/Exclusion
2007.0519,Environmental Impact Report,,Community Plan-Determination
2007.0558,Addendum,11/23/2015,Environmental Impact Report
2007.0603,Addendum,,Environmental Impact Report
2007.0703,Exemption,,Environmental Impact Report
2007.0903E,Environmental Impact Report,4/7/2011,Categorical Exemption-Determination of Historic Resource
2007.0946,Addendum,,EIR Addendum
2007.0946E_12,Addendum,,EIR Addendum
2007.0950,Exemption,,Categorical Exemption-Determination of Historic Resource
2007.1035,Environmental Impact Report,,Categorical Exemption-Determination of Historic Resource
2007.1121,Community Plan Evaluation,,Categorical Exemption-Stamp
2007.1132,Exemption,5/29/2008,EIR Addendum
2007.1135,Addendum,6/2/2010,EIR Addendum
2007.1163,Exemption,5/6/2008,EIR Addendum
2007.1249,Negative Declaration,1/15/2010,EIR Addendum
2007.1272,Exemption,9/4/2008,EIR Supplement
2007.1275,Environmental Impact Report,,EIR Addendum
2007.1326,Exemption,5/29/2008,EIR Addendum
2007.1334,Exemption,7/1/2008,EIR Addendum
2007.1362,Exemption,2/1/2008,Environmental Impact Report
2007.1439,Exemption,2/26/2008,Categorical Exemption-Determination of Historic Resource
2008.0021,Environmental Impact Report,,Community Plan-Determination
2008.0022,Exemption,6/30/2008,Environmental Impact Report
2008.0023,Exemption,11/13/2019,EIR Addendum
2008.0039,Exemption,7/1/2008,EIR Addendum
2008.0040,Exemption,,EIR Addendum
2008.0041,Exemption,,Environmental Impact Report
2008.0042,Exemption,1/24/2008,Categorical Exemption-Certificate
2008.0069,Exemption,5/8/2008,Environmental Impact Report
2008.0071,Exemption,2/6/2008,Initial Study-Environmental Impact Report
2008.0074,Exemption,8/1/2008,EIR Supplemental
2008.0075,Exemption,1/28/2008,EIR Addendum
2008.0076,Exemption,2/29/2008,EIR Addendum
2008.0078,Exemption,6/6/2008,Categorical Exemption-Certificate
2008.0079,Exemption,1/18/2008,Environmental Impact Report
2008.0081,Environmental Impact Report,,Community Plan-Determination
2008.0082,Exemption,7/6/2012,Categorical Exemption-Stamp
2008.0084,Exemption,4/13/2009,Negative Declaration Addendum
2008.0090,Exemption,2/25/2008,Categorical Exemption-Stamp
2008.0091,Environmental Impact Report,,Initial Study-Negative Declaration
2008.0094,Exemption,1/28/2008,Categorical Exemption-Certificate
2008.0095,Exemption,1/24/2008,Environmental Impact Report
2008.0101,Exemption,1/28/2008,Initial Study-Negative Declaration
2008.0103,Exemption,4/8/2008,Categorical Exemption-Stamp
2008.0104,Exemption,1/25/2008,Categorical Exemption-Certificate
2008.0105,Exemption,1/25/2008,Categorical Exemption-Stamp
2008.0106,Exemption,1/24/2008,Categorical Exemption-Certificate
2008.0107,Exemption,9/17/2008,Environmental Impact Report
2008.0108,Exemption,9/16/2008,Categorical Exemption-Certificate
2008.0117,Exemption,1/25/2008,Project Profile (PRJ)
2008.0129,Exemption,1/30/2008,Categorical Exemption-Stamp
2008.0131,Exemption,2/21/2008,Categorical Exemption-Certificate
2008.0133,Exemption,5/7/2008,Categorical Exemption-Certificate
2008.0134,Exemption,2/21/2008,Categorical Exemption-Stamp
2008.0140,Exemption,2/13/2008,Categorical Exemption-Certificate
2008.0142,Exemption,,Categorical Exemption-Certificate
2008.0143,Exemption,2/6/2008,Categorical Exemption-Certificate
2008.0144,Exemption,2/6/2008,Categorical Exemption-Certificate
2008.0149,Exemption,2/6/2008,Categorical Exemption-Certificate
2008.0150,Exemption,2/19/2008,Categorical Exemption-Certificate
2008.0154,Exemption,8/16/2010,Categorical Exemption-Stamp
2008.0179,Exemption,6/18/2008,Environmental Impact Report
2008.0185,Exemption,3/6/2009,Initial Study-Negative Declaration
2008.0193,Exemption,,Categorical Exemption-Certificate
2008.0194,Exemption,6/30/2008,Categorical Exemption-Stamp
2008.0196,Exemption,3/13/2008,Categorical Exemption-Stamp
2008.0197,Negative Declaration,12/20/2010,Environmental Impact Report
2008.0200,Exemption,2/19/2008,Categorical Exemption-Certificate
2008.0203,Exemption,3/18/2008,Categorical Exemption-Certificate
2008.0205,Exemption,2/26/2008,Categorical Exemption-Stamp
2008.0206,Exemption,2/20/2008,Categorical Exemption-Certificate
2008.0208,Exemption,7/28/2008,Categorical Exemption-Stamp
2008.0211,Exemption,3/13/2008,Categorical Exemption-Stamp
2008.0212,Negative Declaration,,Categorical Exemption-Stamp
2008.0213,Exemption,9/18/2008,Categorical Exemption-Certificate
2008.0222,Exemption,2/26/2008,Categorical Exemption-Stamp
2008.0223,Exemption,2/25/2008,Categorical Exemption-Stamp
2008.0229,Exemption,2/26/2008,Categorical Exemption-Stamp
2008.0234,Exemption,,Categorical Exemption-Certificate
2008.0237,Exemption,2/28/2008,Categorical Exemption-Certificate
2008.0238,Exemption,,Categorical Exemption-Certificate
2008.0239,Exemption,,Categorical Exemption-Stamp
2008.0269,Exemption,3/6/2008,Categorical Exemption-Certificate
2008.0272,Environmental Impact Report,,Categorical Exemption-Stamp
2008.0277,Exemption,7/6/2009,Categorical Exemption-Stamp
2008.0283,Exemption,3/19/2009,Categorical Exemption-Stamp
2008.0284,Exemption,,Categorical Exemption-Stamp
2008.0285,Exemption,3/18/2008,Categorical Exemption-Stamp
2008.0286,Exemption,8/18/2008,Categorical Exemption-Certificate
2008.0287,Exemption,3/11/2008,Categorical Exemption-Determination of Historic Resource Impact
2008.0288,Negative Declaration,,Categorical Exemption-Determination of Historic Resource
2008.0289,Exemption,,Categorical Exemption-Stamp
2008.0290,Exemption,8/15/2008,Categorical Exemption-Stamp
2008.0291,Exemption,3/13/2008,Categorical Exemption-Stamp
2008.0303,Exemption,4/9/2008,Initial Study-Negative Declaration
2008.0304,Exemption,3/13/2008,Categorical Exemption-Stamp
