RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1981.001V,301-03 Castro St,Variance (VAR),1/19/1981,DCP:  GRANTED,1/19/1981,Approved,,Approved
1981.002V,2301 Scott St,Variance (VAR),4/7/1981,DCP:  GRANTED,4/7/1981,Approved,,Approved
1981.003V,2945-47 Bush St,Variance (VAR),3/12/1981,DCP:  GRANTED,3/12/1981,Approved,,Approved
1981.004V,270-72 States St,Variance (VAR),3/17/1981,DCP:  GRANTED,3/17/1981,Approved,,Approved
1981.005C,303 2nd St,Conditional Use Authorization (CUA),12/7/1989,CPC:  APPR W/C:  11817,12/7/1989,Approved,11817,Approved
1981.005C_2,303 2nd St,Conditional Use Authorization (CUA),12/19/1985,CPC:  CPC APPR COND:  10534,12/19/1985,Approved,10534,Approved
1981.005V,303 2nd St,Variance (VAR),3/31/1981,DCP:  GRANTED,3/31/1981,Approved,,Approved
1981.006V,313-18 Noriega St,Variance (VAR),3/16/1981,DCP:  GRANTED,3/16/1981,Approved,,Approved
1981.007V,1544 Cole St,Variance (VAR),3/9/1981,DCP:  GRANTED,3/9/1981,Approved,,Approved
1981.008V,2055 Greenwich St,Variance (VAR),5/29/1981,DCP:  GRANTED,5/29/1981,Approved,,Approved
1981.009V,220 Pacific Ave,Variance (VAR),10/26/1981,DCP:  GRANTED,10/26/1981,Approved,,Approved
1981.010V,1111 Chestnut St,Variance (VAR),6/1/1981,DCP:  GRANTED,6/1/1981,Approved,,Approved
1981.011V,746 Castro St,Variance (VAR),4/8/1981,DCP:  GRANTED,4/8/1981,Approved,,Approved
1981.012V,121 Caselli Ave,Variance (VAR),5/12/1981,DCP:  GRANTED,5/12/1981,Approved,,Approved
1981.013V,308 Eddy St,Variance (VAR),3/11/1981,DCP:  GRANTED,3/11/1981,Approved,,Approved
1981.014V,17 Cayuga Ave,Variance (VAR),4/27/1981,DCP:  GRANTED,4/27/1981,Approved,,Approved
1981.015V,1190 Noe St,Variance (VAR),6/4/1981,DCP:  GRANTED,6/4/1981,Approved,,Approved
1981.016V,236 States St,Variance (VAR),8/5/1981,DCP:  GRANTED,8/5/1981,Approved,,Approved
1981.017V,627 Hayes St,Variance (VAR),8/5/1981,DCP:  GRANTED,8/5/1981,Approved,,Approved
1981.018V,2450 Steiner St,Variance (VAR),11/30/1981,DCP:  GRANTED,11/30/1981,Approved,,Approved
1981.020V,214 London St,Variance (VAR),8/18/1981,DCP:  DENIED,8/18/1981,Disapproved,,Disapproved
1981.021V,2170 Vallejo St,Variance (VAR),9/22/1981,DCP:  DENIED,9/22/1981,Disapproved,,Disapproved
1981.022V,4946 17th St,Variance (VAR),8/18/1981,DCP:  GRANTED,8/18/1981,Approved,,Approved
1981.023V,2555 Market St,Variance (VAR),4/20/1981,DCP:  GRANTED,4/20/1981,Approved,,Approved
1981.024V,2801-07 Greenwich St,Variance (VAR),9/29/1981,DCP:  DENIED,9/29/1981,Disapproved,,Disapproved
1981.025V,1578 La Playa,Variance (VAR),6/15/1981,DCP:  GRANTED,6/15/1981,Approved,,Approved
1981.026V,2300 Broadway,Variance (VAR),9/3/1981,DCP:  GRANTED,9/3/1981,Approved,,Approved
1981.027V,3770 Market St,Variance (VAR),12/16/1981,DCP:  DENIED,12/16/1981,Disapproved,,Disapproved
1981.028V,1835 Leavenworth St,Variance (VAR),7/20/1981,DCP:  GRANTED,7/20/1981,Approved,,Approved
1981.029V,308-14 Scott St,Variance (VAR),11/25/1981,DCP:  GRANTED,11/25/1981,Approved,,Approved
1981.030V,733 6th Ave,Variance (VAR),9/3/1981,DCP:  GRANTED,9/3/1981,Approved,,Approved
1981.031V,332-34 Steiner St,Variance (VAR),11/25/1981,DCP:  GRANTED,11/25/1981,Approved,,Approved
1981.032V,332-38 Fell St,Variance (VAR),6/17/1981,DCP:  GRANTED,6/17/1981,Approved,,Approved
1981.033V,377-79 Hayes St,Variance (VAR),6/15/1981,DCP:  GRANTED,6/15/1981,Approved,,Approved
1981.035V,347 Masonic Ave,Variance (VAR),8/24/1981,DCP:  GRANTED,8/24/1981,Approved,,Approved
1981.036V,1200 Washington St,Variance (VAR),8/24/1981,DCP:  GRANTED,8/24/1981,Approved,,Approved
1981.037V,1367-69 Masonic Ave,Variance (VAR),7/6/1981,DCP:  GRANTED,7/6/1981,Approved,,Approved
1981.101C,One Baker St,Conditional Use Authorization (CUA),5/28/1981,CPC:  APP W/COND:  8973,5/28/1981,Approved,8973,Approved
1981.104C,655 Montgomery St,Conditional Use Authorization (CUA),12/6/1984,CPC:  APP W/COND:  10186,12/6/1984,Approved,10186,Approved
1981.104V,655 Montgomery St,Variance (VAR),4/2/1982,DCP:  GRANTED,4/2/1982,Approved,,Approved
1981.112C,1624 Larkin St,Conditional Use Authorization (CUA),10/1/1981,CPC:  DISAPPROVED:  9173,10/1/1981,Disapproved,9173,Disapproved
1981.128C,1212 Columbus Ave,Conditional Use Authorization (CUA),2/18/1982,CPC:  APP W/COND:  9318,2/18/1982,Approved,9318,Approved
1981.134C,2000 Post St,Conditional Use Authorization (CUA),12/10/1981,CPC:  APP W/COND:  9264,12/10/1981,Approved,9264,Approved
1981.139V,295 Brookdale Ave,Variance (VAR),5/20/1981,DCP:  DENIED,5/20/1981,Disapproved,,Disapproved
1981.144C,1093 Pine St,Conditional Use Authorization (CUA),7/16/1981,CPC:  APP W/COND:  9049,7/16/1981,Approved,9049,Approved
1981.147V,338-40 Brannan St,Variance (VAR),11/2/1981,DCP:  GRANTED,11/2/1981,Approved,,Approved
1981.149V,1735 Dolores St,Variance (VAR),8/26/1981,DCP:  GRANTED,8/26/1981,Approved,,Approved
1981.151V,100 Broadway,Variance (VAR),4/2/1982,DCP:  GRANTED,4/2/1982,Approved,,Approved
1981.152V,220 Downey St,Variance (VAR),8/18/1981,DCP:  GRANTED,8/18/1981,Approved,,Approved
1981.153V,1241 47th Ave,Variance (VAR),8/24/1981,DCP:  GRANTED,8/24/1981,Approved,,Approved
1981.154V,990 Columbus Ave,Variance (VAR),11/6/1981,DCP:  GRANTED,11/6/1981,Approved,,Approved
1981.159V,2376 Bryant St,Variance (VAR),8/27/1981,DCP:  GRANTED,8/27/1981,Approved,,Approved
1981.164C,2520-50 Geary Blvd,Conditional Use Authorization (CUA),10/1/1981,CPC:  APP W/COND:  9176,10/1/1981,Approved,9176,Approved
1981.178C,475 Lombard St,Conditional Use Authorization (CUA),11/18/1982,CPC:  APP W/COND:  9957,11/18/1982,Approved,9957,Approved
1981.178C,475 Lombard St,Conditional Use Authorization (CUA),10/24/1985,CPC:  EXT OF CU APPR,10/24/1985,Approved,,Approved
1981.180V,1729 Vallejo St,Variance (VAR),8/11/1981,DCP:  GRANTED,8/11/1981,Approved,,Approved
1981.182V,2771 Folsom St,Variance (VAR),9/2/1981,DCP:  GRANTED,9/2/1981,Approved,,Approved
1981.194C,Laguna Honda Hospital Grounds,Conditional Use Authorization (CUA),12/17/1981,CPC:  APP W/COND:  9597,12/17/1981,Approved,9597,Approved
1981.195C,388-90 Market St,Conditional Use Authorization (CUA),1/6/1983,CPC:  APPR W/COND,1/6/1983,Approved,,Approved
1981.195V,388-90 Market St,Variance (VAR),6/14/1983,DCP:  GRANTED,6/14/1983,Approved,,Approved
1981.197C_2,1-199 Executive Pk Blvd,Conditional Use Authorization (CUA),10/17/1985,CPC:  Approved:  10458,10/17/1985,Approved,10458,Approved
1981.197C_2,1-199 Executive Pk Blvd,Conditional Use Authorization (CUA),7/21/1988,CPC:  W/D,7/21/1988,Withdawn,,Withdawn
1981.200C,2222 23rd St,Conditional Use Authorization (CUA),7/9/1981,CPC:  APP W/COND:  9307,7/9/1981,Approved,9307,Approved
1981.223V,327 12th Ave,Variance (VAR),9/11/1981,DCP:  DENIED,9/11/1981,Disapproved,,Disapproved
1981.224V,1326-28 San Bruno Ave,Variance (VAR),9/23/1981,DCP:  GRANTED,9/23/1981,Approved,,Approved
1981.225V,1111 Bay St,Variance (VAR),11/12/1981,DCP:  GRANTED,11/12/1981,Approved,,Approved
1981.226V,2563 33rd Ave,Variance (VAR),9/22/1981,DCP:  GRANTED,9/22/1981,Approved,,Approved
1981.227C,58 Gladstone Dr,Conditional Use Authorization (CUA),9/10/1981,CPC:  APP W/COND:  9132,9/10/1981,Approved,9132,Approved
1981.229C,1090 Quintara St,Conditional Use Authorization (CUA),9/3/1981,CPC:  APP W/COND:  9129,9/3/1981,Approved,9129,Approved
1981.230V,1859-61 Scott St,Variance (VAR),9/16/1981,DCP:  GRANTED,9/16/1981,Approved,,Approved
