RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2007.0003A,7/12/2007,Approved,,Approved
2007.0005A,10/24/2007,Approved,,Approved
2007.0006A,2/12/2007,Approved,,Approved
2007.0007X,9/10/2009,Approved,17949,Approved
2007.0008A,3/8/2007,Approved,,Approved
2007.0009D,1/30/2007,Withdawn,,Withdawn
2007.0012A,4/6/2007,Approved,,Approved
2007.0030C,3/22/2012,Approved,18567,Approved
2007.0040D,8/14/2008,Approved,,Approved
2007.0041D,5/10/2007,Approved,,Approved
2007.0041D_3,5/10/2007,Approved,,Approved
2007.0043D,10/18/2007,Approved,,Approved
2007.0048D,2/22/2007,Approved,,Approved
2007.0049V,2/28/2007,Approved,,Approved
2007.0050C,3/15/2007,Approved,17394,Approved
2007.0052D,8/2/2007,Approved,,Approved
2007.0053C,2/2/2007,Withdawn,,Withdawn
2007.0054C,3/11/2009,Cancelled,,Cancelled
2007.0055D,10/18/2007,Approved,,Approved
2007.0062D,2/22/2007,Approved,,Approved
2007.0062D_4,2/22/2007,Approved,,Approved
2007.0064C,2/29/2008,Withdawn,,Withdawn
2007.0064V,10/28/2008,Cancelled,,Cancelled
2007.0066C,3/19/2007,Cancelled,,Cancelled
2007.0067D,3/9/2007,Withdawn,,Withdawn
2007.0068D,10/23/2007,Approved,,Approved
2007.0069C,2/16/2007,Withdawn,,Withdawn
2007.0072C,3/20/2008,Approved,,Approved
2007.0081C,7/24/2008,Approved,17656,Approved
2007.0094C,5/15/2008,Approved,17593,Approved
2007.0094C,5/15/2008,Approved,,Approved
2007.0095D,5/10/2011,Withdawn,,Withdawn
2007.0095D_4,5/10/2011,Withdawn,,Withdawn
2007.0096D,4/12/2007,Approved,,Approved
2007.0101X,3/15/2007,Approved,17397,Approved
2007.0103D,2/23/2007,Withdawn,,Withdawn
2007.0109D,4/19/2007,Approved,,Approved
2007.0110C,3/15/2007,Approved,17393,Approved
2007.0114D,3/22/2007,Approved,,Approved
2007.0115D,6/21/2007,Approved,,Approved
2007.0125D,5/10/2007,Approved,,Approved
2007.0126C,4/26/2007,Approved,17423,Approved
2007.0128C,5/14/2009,Approved,,Approved
2007.0129D,6/4/2009,Approved,,Approved
2007.0129D_3,6/4/2009,Approved,,Approved
2007.0129D_6,6/4/2009,Approved,,Approved
2007.0136C,9/27/2007,Disapproved,17493,Disapproved
2007.0160A,3/8/2007,Approved,,Approved
2007.0161D,4/12/2007,Approved,,Approved
2007.0162D,12/6/2007,Approved,,Approved
2007.0164D,8/9/2007,Approved,,Approved
2007.0166D,3/27/2008,Approved,,Approved
2007.0168C,6/12/2008,Approved,17621,Approved
2007.0171C,4/18/2007,Cancelled,,Cancelled
2007.0172D,3/6/2008,Approved,,Approved
2007.0175D,6/7/2007,Approved,,Approved
2007.0177D,3/6/2008,Approved,,Approved
2007.0179D,5/1/2008,Approved,,Approved
2007.0187D,2/18/2011,Withdawn,,Withdawn
2007.0188D,9/4/2008,Approved,,Approved
2007.0189D,9/4/2008,Approved,,Approved
2007.0190A,3/28/2007,Approved,,Approved
2007.0192D,5/10/2007,Approved,,Approved
2007.0197D,3/27/2007,Withdawn,,Withdawn
2007.0198C,4/26/2007,Approved,17421,Approved
2007.0199D,4/26/2007,Approved,,Approved
2007.0204C,4/5/2007,Approved,17416,Approved
2007.0206D,10/23/2008,Approved,,Approved
2007.0212D,7/12/2007,Withdawn,,Withdawn
2007.0214C,5/17/2007,Approved,17429,Approved
2007.0219C,7/19/2007,Approved,17463,Approved
2007.0246C,8/2/2007,Approved,17471,Approved
2007.0252C,6/7/2007,Approved,17435,Approved
2007.0256C,5/10/2007,Approved,17425,Approved
2007.0284V,5/19/2011,Cancelled,,Cancelled
2007.0285D,6/28/2007,Approved,,Approved
2007.0286C,6/14/2007,Approved,,Approved
2007.0289C,4/23/2009,Disapproved,,Disapproved
2007.0292D,6/21/2007,Approved,,Approved
2007.0294D,9/20/2007,Approved,,Approved
2007.0297D,9/27/2007,Approved,,Approved
2007.0304A,9/25/2007,Approved,,Approved
2007.0305C,2/24/2008,Approved,,Approved
2007.0306D,8/2/2007,Approved,,Approved
2007.0306D_4,8/2/2007,Approved,,Approved
2007.0307D,6/14/2007,Approved,,Approved
2007.0308C,6/16/2011,Cancelled,,Cancelled
2007.0308V,6/16/2011,Cancelled,,Cancelled
2007.0310C,11/29/2011,Withdawn,,Withdawn
2007.0312D,7/26/2007,Approved,,Approved
2007.0325D,6/7/2007,Approved,,Approved
2007.0325D_10,6/7/2007,Approved,,Approved
2007.0325D_4,6/7/2007,Approved,,Approved
2007.0325D_7,6/7/2007,Approved,,Approved
2007.0330D,7/12/2007,Approved,,Approved
2007.0332D,6/28/2007,Approved,,Approved
2007.0337C,6/14/2007,Approved,17447,Approved
2007.0338C,6/28/2007,Approved,,Approved
2007.0344C,7/12/2007,Approved,17458,Approved
2007.0348C,2/7/2008,Approved,17549,Approved
2007.0385B,10/10/2013,Approved,,Approved
2007.0385X,10/10/2013,Approved,,Approved
2007.0386C,8/9/2007,Approved,17474,Approved
2007.0387A,5/18/2007,Approved,,Approved
2007.0388C,8/9/2007,Approved,17475,Approved
2007.0392C,2/27/2014,Approved,19097,Approved
2007.0392V,5/15/2014,Cancelled,N/A,Cancelled
2007.0418C,6/7/2007,Approved,17436,Approved
2007.0428C,6/28/2007,Approved,17453,Approved
2007.0430C,4/17/2008,Approved,,Approved
2007.0431C,6/21/2007,Approved,17452,Approved
2007.0434D,4/7/2008,Approved,,Approved
2007.0434D_4,4/7/2008,Approved,,Approved
2007.0434D_7,4/7/2008,Approved,,Approved
2007.0434V,4/8/2008,Withdawn,,Withdawn
2007.0436D,6/21/2007,Approved,,Approved
2007.0439D,5/22/2008,Approved,,Approved
2007.0444C,8/9/2007,Approved,17473,Approved
2007.0447D,6/28/2007,Approved,,Approved
2007.0448D,12/20/2007,Approved,,Approved
2007.0448D_4,12/20/2007,Approved,,Approved
2007.0448D_7,12/20/2007,Approved,,Approved
2007.0448V,12/20/2007,Approved,,Approved
2007.0456B,12/6/2012,Approved,18764,Approved
2007.0456B,12/6/2012,Approved,18764,Approved
2007.0456X,12/6/2012,Approved,18765,Approved
2007.0456X,12/6/2012,Approved,18765,Approved
2007.0456X_3,12/6/2012,Approved,18765,Approved
2007.0461C,1/24/2008,Approved,,Approved
2007.0462C,7/10/2008,Approved,,Approved
2007.0465D,6/26/2007,Withdawn,,Withdawn
2007.0467A,6/7/2007,Approved,,Approved
2007.0468D,9/18/2008,Approved,,Approved
2007.0469C,7/19/2007,Approved,17464,Approved
2007.0469V,7/19/2007,Withdawn,,Withdawn
2007.0470A,7/20/2007,Approved,,Approved
2007.0477A,1/3/2008,Approved,,Approved
2007.0487C,11/20/2008,Approved,17765,Approved
2007.0490D,10/18/2007,Approved,,Approved
2007.0491C,10/16/2008,Approved,17716,Approved
2007.0497D,11/29/2007,Approved,,Approved
2007.0503V,4/29/2010,Cancelled,N/A,Cancelled
2007.0507C,8/9/2007,Approved,17476,Approved
2007.0519C,11/4/2010,Approved,18216,Approved
2007.0534C,8/30/2007,Approved,17480,Approved
2007.0536D,1/10/2008,Approved,,Approved
2007.0560A,9/19/2007,Approved,,Approved
2007.0571D,8/9/2007,Approved,,Approved
2007.0573C,3/9/2010,Cancelled,,Cancelled
2007.0573D,12/13/2013,Cancelled,,Cancelled
2007.0579D,10/11/2007,Approved,,Approved
2007.0584C,12/6/2007,Approved,,Approved
2007.0585D,5/8/2008,Approved,,Approved
2007.0588D,7/26/2007,Approved,,Approved
2007.0594D,10/18/2007,Approved,,Approved
2007.0598C,7/24/2008,Approved,,Approved
2007.0603C,11/20/2008,Approved,17766,Approved
2007.0606C,5/10/2010,Cancelled,,Cancelled
2007.0627D,4/9/2009,Approved,,Approved
2007.0628D,10/21/2007,Withdawn,,Withdawn
2007.0631D,10/11/2007,Approved,,Approved
2007.0632D,2/7/2008,Approved,,Approved
2007.0633C,9/20/2007,Approved,,Approved
2007.0653A,12/19/2008,Approved,,Approved
2007.0657D,10/18/2007,Approved,,Approved
2007.0659V,1/28/2014,Cancelled,,Cancelled
2007.0661D,7/28/2007,Approved,,Approved
2007.0665D,2/28/2008,Cancelled,,Cancelled
2007.0666A,11/20/2007,Approved,,Approved
2007.0667D,9/18/2008,Approved,,Approved
2007.0668C,8/30/2007,Approved,17479,Approved
2007.0670C,10/23/2008,Approved,,Approved
2007.0673D,10/11/2007,Approved,,Approved
2007.0676D,10/23/2008,Approved,,Approved
2007.0677C,10/23/2013,Withdawn,N/A,Withdawn
2007.0680A,9/11/2007,Approved,,Approved
2007.0683C,10/25/2007,Approved,17505,Approved
2007.0684D,12/4/2008,Approved,,Approved
2007.0685C,9/20/2007,Approved,,Approved
2007.0689X,5/20/2010,Approved,18088,Approved
2007.0690X,5/20/2010,Approved,18089,Approved
2007.0691D,9/17/2007,Withdawn,,Withdawn
2007.0692D,10/15/2007,Withdawn,,Withdawn
2007.0696D,11/7/2007,Withdawn,,Withdawn
2007.0700C,5/2/2013,Cancelled,N/A,Cancelled
2007.0701C,11/8/2007,Approved,,Approved
2007.0703D,12/9/2010,Cancelled,,Cancelled
2007.0705D,3/18/2014,Cancelled,,Cancelled
2007.0708C,10/11/2007,Approved,,Approved
2007.0711C,5/19/2011,Cancelled,,Cancelled
2007.0711V,5/19/2011,Cancelled,,Cancelled
2007.0718C,3/13/2008,Approved,17568,Approved
2007.0722D,10/18/2007,Approved,,Approved
2007.0725C,1/10/2008,Approved,17528,Approved
2007.0728D,11/20/2008,Approved,,Approved
2007.0729A,8/20/2007,Approved,,Approved
2007.0730D,11/20/2008,Approved,,Approved
2007.0731D,11/20/2008,Approved,,Approved
2007.0734D,8/22/2007,Withdawn,,Withdawn
2007.0764C,9/27/2007,Approved,,Approved
2007.0781D,2/28/2008,Approved,,Approved
2007.0787C,10/25/2007,Approved,,Approved
2007.0789C,3/20/2008,Approved,,Approved
2007.0809C,11/9/2009,Cancelled,,Cancelled
2007.0811A,5/20/2010,Withdawn,,Withdawn
2007.0811V,5/20/2010,Withdawn,,Withdawn
2007.0816D,10/16/2008,Approved,,Approved
2007.0827C,2/14/2008,Approved,,Approved
2007.0838C,11/15/2007,Disapproved,17512,Disapproved
2007.0843C,1/2/2009,Cancelled,N/A,Cancelled
2007.0846C,10/4/2012,Cancelled,,Cancelled
2007.0849A,9/11/2007,Approved,,Approved
2007.0872C,10/18/2007,Approved,,Approved
2007.0874C,9/27/2007,Approved,17490,Approved
2007.0879C,2/21/2008,Approved,,Approved
2007.0903B,4/11/2011,Approved,18332,Approved
2007.0904V,4/15/2010,Cancelled,N/A,Cancelled
2007.0905D,11/15/2007,Approved,,Approved
2007.0906A,10/24/2007,Approved,,Approved
2007.0907D,1/12/2008,Withdawn,,Withdawn
2007.0908D,1/20/2008,Withdawn,,Withdawn
2007.0909D,8/14/2008,Approved,,Approved
2007.0909D_10,8/14/2008,Approved,,Approved
2007.0909D_13,8/14/2008,Approved,,Approved
2007.0909D_16,8/14/2008,Approved,,Approved
2007.0909D_7,8/14/2008,Approved,,Approved
2007.0910D,10/18/2007,Approved,,Approved
2007.0916C,1/24/2008,Approved,17546,Approved
2007.0920C,11/15/2007,Approved,,Approved
2007.0922C,12/20/2007,Approved,,Approved
2007.0929C,12/13/2007,Approved,17519,Approved
2007.0932D,2/6/2008,Approved,,Approved
2007.0942D,1/27/2008,Approved,,Approved
2007.0943C,4/15/2010,Withdawn,N/A,Withdawn
2007.0944A,3/13/2008,Approved,,Approved
2007.0945D,4/18/2008,Withdawn,,Withdawn
2007.0946B,6/3/2010,Approved,18101,Approved
2007.0950C,12/16/2010,Cancelled,,Cancelled
2007.0950V,12/16/2010,Cancelled,,Cancelled
2007.0952C,11/8/2007,Approved,,Approved
2007.0953C,8/13/2009,Approved,,Approved
2007.0953V,6/30/2010,Withdawn,,Withdawn
2007.0971C,12/20/2007,Approved,,Approved
2007.0980C,8/8/2008,Approved,,Approved
2007.0981C,5/22/2008,Approved,17599,Approved
2007.1012D,11/8/2007,Approved,,Approved
2007.1014C,10/2/2008,Approved,17705,Approved
2007.1018A,11/20/2007,Approved,,Approved
2007.1019C,7/17/2008,Approved,,Approved
2007.1034C,5/20/2008,Approved,17602,Approved
2007.1035C,12/6/2012,Approved,,Approved
2007.1036D,10/19/2007,Disapproved,,Disapproved
2007.1036D_3,10/25/2007,Withdawn,,Withdawn
2007.1037D,10/11/2007,Cancelled,,Cancelled
2007.1039D,3/13/2008,Approved,,Approved
2007.1046C,1/17/2008,Approved,,Approved
2007.1059C,4/24/2009,Withdawn,,Withdawn
2007.1063A,11/9/2007,Approved,,Approved
2007.1064C,6/26/2008,Disapproved,17640,Disapproved
2007.1067C,7/17/2008,Approved,,Approved
2007.1084C,2/28/2011,Cancelled,,Cancelled
2007.1095C,4/10/2008,Approved,,Approved
2007.1099C,2/23/2010,Cancelled,,Cancelled
2007.1101D,2/1/2008,Withdawn,,Withdawn
2007.1104V,12/22/2008,Cancelled,,Cancelled
2007.1106A,10/25/2007,Approved,17507,Approved
2007.1106A,10/25/2007,Approved,,Approved
2007.1108D,11/8/2007,Approved,,Approved
2007.1117C,1/8/2009,Approved,,Approved
2007.1117C_3,10/28/2010,Approved,18204,Approved
2007.1121X,5/14/2009,Approved,17878,Approved
2007.1131D,12/27/2007,Withdawn,,Withdawn
2007.1140D,1/30/2008,Withdawn,N/A,Withdawn
2007.1142C,9/11/2008,Approved,,Approved
2007.1142C,9/11/2008,Approved,17691,Approved
2007.1143C,2/14/2008,Approved,17553,Approved
2007.1144A,12/13/2007,Approved,,Approved
2007.1148A,1/8/2008,Approved,,Approved
2007.1150C,2/12/2008,Cancelled,,Cancelled
2007.1163C,6/5/2008,Approved,,Approved
2007.1167D,3/10/2008,Approved,,Approved
2007.1169A,2/27/2008,Approved,,Approved
2007.1171C,7/24/2008,Approved,,Approved
2007.1193D,3/27/2008,Approved,,Approved
2007.1194D,12/20/2007,Disapproved,,Disapproved
2007.1194D_3,12/20/2007,Disapproved,,Disapproved
2007.1196D,12/13/2007,Approved,,Approved
2007.1199D,1/27/2008,Approved,,Approved
2007.1207D,11/15/2007,Approved,,Approved
2007.1210D,11/15/2007,Approved,,Approved
2007.1211D,2/28/2008,Approved,,Approved
2007.1216A,12/24/2007,Approved,,Approved
2007.1217C,3/12/2008,Withdawn,,Withdawn
2007.1218C,2/28/2008,Approved,,Approved
2007.1222D,12/6/2007,Disapproved,,Disapproved
2007.1224D,9/17/2008,Approved,,Approved
2007.1230C,3/19/2009,Approved,17842,Approved
2007.1233C,9/4/2008,Approved,,Approved
2007.1241C,12/6/2007,Approved,,Approved
2007.1250X,3/19/2009,Approved,,Approved
2007.1256C,8/8/2008,Approved,,Approved
2007.1259C,2/19/2009,Approved,,Approved
2007.1267X,5/22/2008,Approved,,Approved
2007.1268D,5/15/2008,Withdawn,,Withdawn
2007.1269C,2/5/2009,Approved,,Approved
2007.1269C,2/5/2009,Approved,17812,Approved
2007.1270C,3/3/2011,Cancelled,N/A,Cancelled
2007.1272D,3/20/2013,Cancelled,,Cancelled
2007.1280C,5/29/2008,Disapproved,17605,Disapproved
2007.1281C,3/13/2008,Approved,,Approved
2007.1325A,1/3/2008,Approved,,Approved
2007.1326C,5/29/2008,Approved,,Approved
2007.1331A,1/22/2008,Approved,,Approved
2007.1334A,9/4/2008,Approved,,Approved
2007.1335A,1/3/2008,Approved,,Approved
2007.1337X,12/11/2008,Approved,,Approved
2007.1340A,1/3/2008,Approved,,Approved
2007.1342C,3/26/2009,Approved,,Approved
2007.1348A,1/3/2008,Approved,,Approved
2007.1349D,10/7/2008,Cancelled,,Cancelled
2007.1356D,2/7/2008,Approved,,Approved
2007.1357A,3/20/2008,Cancelled,,Cancelled
2007.1359C,5/1/2008,Disapproved,17589,Disapproved
2007.1362X,6/5/2008,Approved,,Approved
2007.1363A,3/13/2008,Approved,,Approved
2007.1366C,2/28/2008,Approved,17562,Approved
2007.1367C,2/14/2008,Approved,17552,Approved
2007.1368C,12/3/2007,Withdawn,,Withdawn
