"b1_alt_id","b1_special_text","SD_PRO_DES","SD_APP_DES","CURRENT","NEXT","RecordStatus"
"10507_ENF","AAU classrooms/labs/studios/offices","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"10507_ENF","AAU classrooms/labs/studios/offices","On Hold","NULL","018000000000000","017000000000000","On Hold"
"10507_ENF","AAU classrooms/labs/studios/offices","Analysis","NULL","017001000000000","019018000000000","On Hold"
"10508_ENF","AAU auto museum/storage","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"10508_ENF","AAU auto museum/storage","On Hold","NULL","018000000000000","017000000000000","On Hold"
"10508_ENF","AAU auto museum/storage","Analysis","NULL","017001000000000","019018000000000","On Hold"
"10630_ENF","AAU signs","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"10630_ENF","AAU signs","On Hold","NULL","018000000000000","017000000000000","On Hold"
"10630_ENF","AAU signs","Analysis","NULL","017001000000000","019018000000000","On Hold"
"10639_ENF","AAU vehicle storage","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"10639_ENF","AAU vehicle storage","On Hold","NULL","018000000000000","017000000000000","On Hold"
"10639_ENF","AAU vehicle storage","Analysis","NULL","017001000000000","019018000000000","On Hold"
"10926_ENF","AAU vinyl windows","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"10926_ENF","AAU vinyl windows","On Hold","NULL","018000000000000","017000000000000","On Hold"
"10926_ENF","AAU vinyl windows","Analysis","NULL","017001000000000","019018000000000","On Hold"
"11100_ENF","8 MCLEA CT","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"11100_ENF","8 MCLEA CT","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"11100_ENF","8 MCLEA CT","Analysis","On Hold","017001000000000","019018000000000","On Hold"
"11352_ENF","AAU vehicle storage","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"11352_ENF","AAU vehicle storage","On Hold","In Review While On Hold","018000000000000","017000000000000","On Hold"
"11352_ENF","AAU vehicle storage","Analysis","NULL","017001000000000","019018000000000","On Hold"
"11486_ENF","AAU classrooms/labs/studios/offices","Completion Processing","NULL","019000000000000","000013000000000","On Hold"
"11486_ENF","AAU classrooms/labs/studios/offices","On Hold","NULL","018000000000000","017000000000000","On Hold"
"11486_ENF","AAU classrooms/labs/studios/offices","Analysis","NULL","017001000000000","019018000000000","On Hold"
