RECORD_NO,ListingID
2015-001079STR,27028
2015-001102STR,2538807
2015-001161STR,5572169
2015-001161STR,3290739
2015-001175STR,33578
2015-001175STR,918341
2015-001471STR,24463
2015-002030STR,3218306
2015-002183STR,1016604
2015-002193STR,26224492
2015-002193STR,1970257
2015-002219STR,3792754
2015-002287STR,4093967
2015-002287STR,915058
2015-002287STR,3093070
2015-002287STR,4105892
2015-002324STR,20990790
2015-002570STR,21648377
2015-002597STR,3793678
2015-002615STR,4533440
2015-002866STR,409549
2015-003094STR,3122882
2015-003272STR,29373
2015-003318STR,62519
2015-003394STR,8119395
2015-003395STR,1460174
2015-003417STR,883937
2015-003517STR,3124541
2015-004013STR,49591060
2015-004066STR,2397852
2015-004087STR,5548977
2015-004189STR,17863112
2015-004485STR,1317908
2015-005088STR,1392204
2015-005455STR,1101403
2015-005635STR,15860350
2015-005675STR,3201044
2015-006647STR,5194736
2015-007902STR,1033754
2015-008197STR,16362304
2015-008197STR,11556239
2015-009253STR,11531859
2015-009824STR,54139890
2015-009824STR,8155586
2015-010936STR,2254431
2015-014328STR,4277696
2015-014615STR,6522477
2015-014615STR,7345170
2015-014930STR,31392573
2015-015812STR,982298
2015-016332STR,5547500
2015-018369STR,6316753
2015-018391STR,561602
2015-018483STR,867499
2016-000795STR,1499630
2016-002723STR,13711175
2016-002723STR,28386585
2016-002723STR,1769688
2016-008258STR,21075660
2016-009199STR,9903046
2016-010303STR,658687
2016-010730STR,42717671
2016-011862STR,14869150
2016-011871STR,8128524
2016-012318STR,23805445
2016-012524STR,8474183
2016-013471STR,41502513
2016-013471STR,42113128
2016-013670STR,438940
2016-013878STR,10767017
2016-014844STR,16858141
2016-014844STR,14422371
2016-015133STR,4650391
2016-015133STR,15070065
2016-015944STR,29100400
2016-016591STR,15785104
2017-001610STR,14139656
2017-001610STR,16351934
2017-001912STR,17071754
2017-001912STR,15860884
2017-002310STR,18507951
2017-002367STR,21279801
2017-003085STR,17606766
2017-003292STR,47907141
2017-003486STR,11437331
2017-003486STR,11437509
2017-003486STR,11437442
2017-005462STR,18874472
2017-005770STR,23897639
2017-006037STR,8472927
2017-006734STR,19499099
2017-006879STR,17574138
2017-006879STR,50248963
2017-006879STR,26783081
2017-008479STR,20837529
2017-008479STR,21632344
2017-008479STR,22586319
2017-009146STR,19329448
2017-010620STR,29593658
2017-010620STR,50730080
2017-012063STR,4558898
2017-012583STR,17301015
2017-012895STR,22015376
2017-013482STR,20393341
2017-013482STR,21323311
2017-013482STR,21281754
2017-014903STR,27263058
2017-014903STR,23293823
2017-015660STR,50923567
2017-016499STR,44854276
2018-000101STR,10578137
2018-000118STR,15504145
2018-000126STR,8793569
2018-000148STR,837045
2018-000164STR,543480744928568360
2018-000344STR,8974563
2018-000344STR,45624070
2018-000344STR,53258020
2018-000344STR,31206489
2018-000350STR,22340219
2018-000350STR,22563498
2018-000355STR,28407357
2018-002541STR,51152647
2018-004829STR,1470340
2018-004868STR,49797916
2018-004884STR,23121061
2018-004884STR,23095049
2018-004884STR,23217998
2018-004926STR,4549330
2018-004938STR,53540148
2018-004938STR,51432250
2018-004939STR,24162068
2018-004939STR,24163232
2018-004953STR,7968598
2018-004955STR,23813739
2018-004994STR,51509953
2018-005128STR,43710126
2018-005128STR,49041741
2018-005145STR,22469468
2018-005145STR,31718067
2018-005145STR,31798083
2018-005173STR,19704114
2018-005181STR,20608059
2018-005263STR,22328157
2018-005263STR,22764131
2018-005287STR,23711998
2018-005287STR,23732691
2018-006852STR,25432313
2018-006852STR,24890095
2018-009713STR,6557736
2018-009713STR,6494663
2018-010254STR,24357954
2018-010256STR,40092032
2018-010256STR,24489443
2018-010360STR,42042778
2018-010407STR,50246512
2018-010685STR,27665176
2018-010733STR,25291283
2018-011694STR,23568246
2018-012732STR,31424518
2018-012792STR,24492351
2018-013167STR,35291911
2018-013167STR,29028865
2018-013605STR,28932960
2018-013605STR,35773104
2018-013886STR,31888526
2018-014125STR,13083682
2018-014797STR,32191720
2018-014797STR,32192128
2018-014813STR,7402986
2018-015093STR,26709189
2018-015490STR,23883643
2018-015577STR,30797856
2018-015992STR,6376338
2018-016684STR,49717356
2018-016684STR,49715754
2018-016733STR,31125401
2018-016733STR,31125098
2018-016733STR,31124126
2018-016733STR,31124810
2018-016783STR,35372313
2018-016783STR,31072911
2018-016783STR,46298609
2018-017295STR,29221865
2018-017295STR,51473651
2018-017295STR,26261610
2018-017295STR,50834115
2018-017295STR,28674015
2019-000302STR,2420887
2019-000364STR,28459122
2019-000444STR,49716805
2019-000444STR,49653040
2019-000444STR,49687674
2019-000551STR,42517778
2019-001907STR,28251404
2019-002970STR,52517982
2019-003560STR,13293285
2019-003625STR,50365548
2019-004489STR,31695049
2019-004495STR,25975274
2019-004495STR,24755998
2019-004546STR,40973634
2019-004619STR,28047393
2019-005075STR,52702236
2019-005381STR,21186680
2019-007180STR,30175141
2019-011920STR,28919893
2019-011920STR,32945668
2019-011920STR,32945280
2019-012829STR,14944663
2019-014052STR,11605954
2019-014159STR,53423350
2019-014159STR,53378110
2019-014273STR,36703566
2019-014273STR,36782619
2019-014273STR,36700536
2019-014290STR,36942634
2019-014291STR,32477178
2019-014291STR,37538105
2019-014865STR,1291092
2019-015016STR,22190418
2019-015016STR,22525784
2019-015174STR,585326
2019-015488STR,38012425
2019-015488STR,37979788
2019-016450STR,1267206
2019-016659STR,48299614
2019-017239STR,19403989
2019-017751STR,27928375
2019-017751STR,4402199
2019-017751STR,27905010
2019-017751STR,28784618
2019-018016STR,36079270
2019-018016STR,33078270
2019-018144STR,47242917
2019-018176STR,36668286
2019-018176STR,39156755
2019-018176STR,29079591
2019-018176STR,27899334
2019-018176STR,41772614
2019-018184STR,54282180
2019-018204STR,14576746
2019-018700STR,48224034
2019-018779STR,33199120
2019-018952STR,14362264
2019-019104STR,24379811
2019-019128STR,51073190
2019-019128STR,51073288
2019-019301STR,34446936
2019-019343STR,23583038
2019-019490STR,23611
2019-019508STR,21231615
2019-019520STR,37330492
2019-019581STR,10965525
2019-019689STR,39106572
2019-019689STR,51692858
2019-019895STR,6117147
2019-020281STR,584819655457241465
2019-020284STR,44820378
2019-020296STR,1928125
2019-020315STR,23358468
2019-020350STR,50157379
2019-020351STR,34253243
2019-020375STR,4372435
2019-020387STR,35132748
2019-020431STR,562328681641206357
2019-020485STR,5853587
2019-020578STR,38328840
2019-021322STR,29612313
2019-021322STR,41276735
