RECORD_NO,LISTING_ID,HOST_ID
2015-001070STR,3946571,
2015-001079STR,8739,7149
2015-001087STR,4013746,93238
2015-001096STR,992676,3306715
2015-001102STR,719431,783438
2015-001104STR,680288,3463569
2015-001112STR,845480,4393613
2015-001147STR,678556,3453060
2015-001153STR,25662,106005
2015-001160STR,2387068,12192591
2015-001161STR,6435497,930744
2015-001177STR,150848,726513
2015-001180STR,1080408,
2015-001180STR,1043282,
2015-001200STR,770991,258005
2015-001223STR,207980,1023546
2015-001285STR,3200885,
2015-001287STR,277339,1448282
2015-001291STR,728585,3780377
2015-001303STR,3664261,2555455
2015-001305STR,392543,1963037
2015-001333STR,1550913,497158
2015-001336STR,1510363,7303214
2015-001343STR,4526608,746254
2015-001344STR,3111016,
2015-001344STR,2066085,
2015-001425STR,504146,2486135
2015-001426STR,3712200,
2015-001426STR,4051455,
2015-001433STR,4695477,8812791
2015-001441STR,1484792,
2015-001461STR,598271,2544752
2015-001471STR,273530,99128
2015-001490STR,12522,18431
2015-001528STR,666620,1841167
2015-001538STR,1931763,9999808
2015-001590STR,708731,3645596
2015-001649STR,2559297,12707660
2015-001675STR,2486953,12726391
2015-001733STR,41172,53314
2015-001750STR,114401,580606
2015-001767STR,647360,3245648
2015-001817STR,25612,
2015-001846STR,11949198,63794442
2015-001991STR,1985338,30250
2015-001993STR,4287481,357468
2015-002030STR,2968738,140461
2015-002035STR,1336973,
2015-002041STR,1855096,9011470
2015-002043STR,1520929,8055897
2015-002045STR,592883,1776403
2015-002052STR,5193689,26866124
2015-002106STR,1535946,8191087
2015-002168STR,38416451,739859
2015-002183STR,2049955,58930
2015-002187STR,191632,583207
2015-002193STR,2557977,
2015-002209STR,1277771,6954280
2015-002247STR,1857226,5480373
2015-002264STR,216042,1115353
2015-002287STR,16602539,3608449
2015-002320STR,208831,1028577
2015-002324STR,23452479,126644773
2015-002539STR,1777429,648553
2015-002541STR,593253,2929255
2015-002551STR,1724819,9091173
2015-002602STR,18904,72464
2015-002615STR,6713990,18818082
2015-002662STR,2042095,3198527
2015-002682STR,12463556,13499994
2015-002707STR,3549398,17827693
2015-002729STR,1759087,9248549
2015-002742STR,1261074,6868911
2015-002744STR,3325741,6777297
2015-002746STR,465723,305557
2015-002748STR,314248,1614566
2015-002753STR,2315086,11804983
2015-002757STR,1056844,757108
2015-002781STR,23630,93257
2015-002782STR,437385,2172763
2015-002812STR,1460628,7828423
2015-002854STR,2516026,12678886
2015-002909STR,3870174,180342
2015-002915STR,19417708,62034618
