rec_num,time_log_seq,billable_flag
2005.0161E_9,1379130,N
2014.0799C,1386150,N
2014.0799C,1388384,N
2012.0082,1457904,N
2011.0038X,4103782,N
2011.0038X,4104163,N
2014.1216E,4104613,N
2015-005727COA,4104694,N
2012.1197A,4104740,N
2015-005727COA,4105062,N
2014.1216E,4105270,N
2012.1197A,4105276,N
2011.0038X,4105431,N
2013.1354E,4106132,N
2012.1197A,4106155,N
2005.0555E,4106362,N
2006.1308E_5,4106363,N
2008.0021E_11,4106364,N
1996.547E,4106365,N
2013.0154E_3,4106367,N
2013.1354E,4106692,N
2015-005727COA,4106702,N
2014.1216E,4107004,N
2012.1197A,4107020,N
2012.1197A,4107021,N
2011.0038X,4107252,N
2011.0038X,4107396,N
2014-002581VAR,4107838,N
2014.0564C,4107953,N
2014.1019C,4107956,N
2008.1084H_3,4108265,N
2013.1354E,4108840,N
2014-003126VAR,4109052,N
2013.1576E,4109283,N
2013.0712V,4109826,N
2013.0712V,4109828,N
2007.0558E,4109856,N
2013.0205E_3,4109914,N
2012.0403W,4110082,N
2014.1054E,4110118,N
2013.1576E,4110484,N
2014.1082E,4110642,N
2013.1354E,4110643,N
2013.1576E,4110682,N
2013.1576E,4110685,N
2013.0964C,4110775,N
2013.0205E,4110978,N
2014.0564C,4111006,N
2008.0021E_11,4111090,N
2008.0021E_11,4111171,N
1996.547E,4111172,N
2007.0903E_7,4111173,N
2006.1294E_4,4111175,N
2013.0986E_3,4111177,N
2012.0403W,4111202,N
2008.1084H_3,4111216,N
2008.1084H_3,4111217,N
2012.0403W,4111373,N
2013.1576E,4111375,N
2013.1354E,4111388,N
2014.1082E,4111393,N
2013.0205E,4111444,N
2013.1576E,4111445,N
2008.1084H_3,4111508,N
2013.0964C,4111516,N
2008.0021E_11,4111582,N
2013.0986E_3,4111583,N
2012.0403W,4111800,N
2014-000923VAR,4111889,N
2014-000923VAR,4111890,N
2012.0403W,4112011,N
1996.547E,4112574,N
2006.1308E_5,4112575,N
2011.1388E,4112576,N
2012.0403W,4113358,N
2013.1354E,4113818,N
2013.1354E,4113823,N
1996.547E,4113872,N
2007.0903E_7,4113875,N
2013.1599E,4113898,N
2013.0973E,4113904,N
2013.0154E_3,4113905,N
2013.0312E_3,4113912,N
2014-002993VAR,4113948,N
2015-005727COA,4114565,N
2012.0403W,4114586,N
2006.0868E,4114875,N
2012.0403W,4115070,N
2007.0558E,4115158,N
2012.0403W,4115418,N
2008.1084H_3,4115679,N
2008.1084H_3,4115680,N
2012.0403W,4116167,N
2006.1308E_5,4116758,N
2008.0021E_11,4116759,N
2011.1388E,4116760,N
2008.1084H_3,4116783,N
2013.0986E_3,4116851,N
2013.0973E,4116852,N
2013.0614X,4116902,N
2013.0614X,4116903,N
2013.0614X,4116904,N
2013.0614X,4116905,N
2013.0614X,4116906,N
2013.1599E,4117215,N
2008.0407E,4117424,N
2008.0407E,4117425,N
2013.1599E,4117431,N
2013.0491E,4117680,N
2013.1599E,4117870,N
2014.0014V,4118141,N
2014.0014V,4119208,N
2013.1599E,4119373,N
2013.0964C,4119905,N
2012.0403W,4119932,N
2012.0403W,4119935,N
2012.0403W,4119991,N
2014.0367E,4120380,N
2011.0935E,4120539,N
2011.0935E,4120573,N
2013.0964C,4120823,N
2014.0014V,4120827,N
2012.0403W,4120911,N
2013.1599E,4121064,N
2014.0367E,4121069,N
2008.1084H_3,4121827,N
2008.1084H_3,4121828,N
2008.1084H_3,4121829,N
2012.0403W,4121889,N
2014.0367E,4122040,N
2014-003126VAR,4122266,N
2006.1308E_5,4122411,N
1996.281E,4122417,N
2014.0367E,4122431,N
2013.0964C,4122777,N
2014.0014V,4122784,N
2012.0403W,4122889,N
2012.0403W,4122890,N
2013.1599E,4123109,N
2014.0367E,4123116,N
2014.0367E,4123117,N
2008.1084H_3,4123289,N
2014-003126VAR,4123303,N
1996.281E,4123516,N
2006.1308E_5,4123518,N
2014.0367E,4123523,N
2005.0679K,4124195,N
2007.0946E_14,4124914,N
2011.1388E,4124918,N
2008.0021E_11,4124919,N
2013.0154E_3,4124961,N
1996.547E,4124963,N
2005.0555E,4124964,N
2013.0973E,4124965,N
2012.0403W,4125152,N
2013.1354E,4125517,N
2012.0403W,4125557,N
2012.0403W,4125822,N
2013.1354E,4125832,N
2013.1354E,4126165,N
2011.1388E,4126306,N
2011.1388E,4126782,N
2012.0403W,4126932,N
2013.1354E,4126955,N
2010.0726X,4127660,N
2007.0946E_14,4127928,N
2014.1512E,4128000,N
2007.0946E_14,4128307,N
2011.1388E,4128308,N
2010.0726X,4128433,N
2012.0403W,4128520,N
2013.1354E,4128560,N
2014.1512E,4128570,N
2008.1084H_3,4129239,N
2008.1084H_3,4129280,N
2013.1354E,4129966,N
2014.1512E,4129967,N
2007.0946E_14,4130220,N
2011.1388E,4130221,N
2010.0726X,4130373,N
2012.0403W,4130512,N
2013.1354E,4130568,N
2014.1512E,4130578,N
2011.0935E,4131564,N
2012.0403W,4132041,N
2013.0986E_3,4132322,N
2012.0865E,4132325,N
2013.0986E_3,4132326,N
2007.0946E_14,4132328,N
2013.0973E,4132380,N
2006.1308E_5,4132381,N
1996.771E,4132383,N
2008.0021E_11,4132384,N
2007.0558E_5,4132386,N
2007.0946E_14,4132388,N
2014.1512E,4132919,N
2012.1531E,4133208,N
2012.0403W,4133223,N
2013.1354E,4133232,N
2008.1084H_3,4133238,N
2012.0403W,4133441,N
2013.1354E,4133459,N
2014.1512E,4133462,N
2012.1531E,4133503,N
2008.1084H_3,4133547,N
2008.1084H_3,4134145,N
2008.1084H_3,4134237,N
2012.0403W,4134475,N
2013.1354E,4134507,N
2014.1512E,4134513,N
2012.1531E,4134577,N
2008.1084H_3,4134694,N
2008.1084H_3,4134695,N
2008.1084H_3,4134766,N
2011.1388E,4135353,N
2013.1354E,4135409,N
2008.1084H_3,4135629,N
2013.0154E_3,4135688,N
1996.281E_11,4135689,N
2013.1354E,4135691,N
2012.0403W,4135767,N
2013.0154E_3,4135795,N
2006.1308E_5,4135796,N
1996.547E,4135806,N
2010.0515E,4135807,N
2012.0403W,4136133,N
2012.0403W,4136134,N
2013.1354E,4136193,N
2013.1354E,4136194,N
2014.1512E,4136206,N
2012.1531E,4136334,N
2008.1084H_3,4136493,N
2008.1084H_3,4136494,N
2008.1084H_3,4136599,N
1996.547E,4136735,N
2006.1308E_5,4136736,N
2010.0515E,4136737,N
2013.0154E_3,4136738,N
2012.0403W,4137065,N
2014.1215E,4137208,N
