b1_alt_id,NAME
20110255CWP,WHAT
2014-001583GEN,WHAT
2022-004522COA,WHAT
2016-007983MCM,WHAT
2019-022830AHB,WHAT
2020-009915PRJ,WHAT
2018-017245OTH,WHAT
20093461CWP,WHAT
2014-000729GEN,WHAT
2019-014485CWP,WHAT
2020-007806PRJ,WHAT
2020-006283PRJ,WHAT
2014-000651GEN,WHAT
2019-016230CWP,WHAT
2015-016048GEN,WHAT
2021-000702PRJ,WHAT
2021-011125PRJ,WHAT
2020-008218CUA,WHAT
20093463CWP,WHAT
2021-004607ENF,WHAT
2020-009640OTH,WHAT
2016-015987PRJ,WHAT
2022-003382PRL,WHAT
2021-008488PRJ,WHAT
13456_ENF,WHAT
2021-008711PRJ,WHAT
2021-012554PRJ,WHAT
2022-000312PRJ,WHAT
2021-007843OTH,WHAT
2021-002045PRJ,WHAT
2015-018094CWP,WHAT
2022-001656ENF,WHAT
2021-012435PRJ,WHAT
2022-002372PRJ,WHAT
2017-016331GEN,WHAT
2022-002737PPA,WHAT
2019-022126COA-04,WHAT
2022-004898MIS,WHAT
2017-011878GEN-02,WHAT
2022-004422DES,WHAT
2020-003068OTH,WHAT
2021-008051PRJ,WHAT
2021-010219PRJ,WHAT
2021-008851CUA,WHAT
2015-004492GEN,WHAT
