"RECORD ID","RECORD NAME","Mitigation Measures and Conditions"
"1982.392","1-3399 VAN NESS AVE PERM","CHECKED"
"1987.586","CCSF, VAN NESS AVE PLAN","CHECKED"
"1996.176","Ballpark","CHECKED"
"2000.048","Caltrain Extension Project","CHECKED"
"2000.1081","Rincon Hill Rezoning","CHECKED"
"2002.1179","1169 MARKET ST","CHECKED"
"2003.0347","Market & Octavia Neighborhood Plan","CHECKED"
"2004.0093","San Francisco Overlook (a.k.a 599 Crestmont Drive)","CHECKED"
"2004.0160","Eastern Neighborhoods Rezoning","CHECKED"
"2004.0482","5400 GEARY BL","CHECKED"
"2004.0946","1717 17TH ST","CHECKED"
"2004.1059","Balboa Park Station Area Plan","CHECKED"
"2005.0267","181 TURK ST/180 JONES","CHECKED"
"2005.0555","CA Pacific Medical Center (CPMC)","CHECKED"
"2005.0759","725-765 Harrison Street","CHECKED"
"2005.0876","345 06TH ST","CHECKED"
"2005.1004","Glen Park Community Plan","CHECKED"
"2005.1018","570 JESSIE ST","CHECKED"
"2005.1074","949 MARKET ST","CHECKED"
"2006.0383","1545 PINE ST","CHECKED"
"2006.0422","EXECUTIVE PARK, HARNEY WAY","CHECKED"
"2006.0431","1080 SUTTER ST","CHECKED"
"2006.0922","SF General Hosptial IMP","CHECKED"
"2006.1073","Exploratorium Relocation Project","CHECKED"
"2006.1308","VISITACION VALLEY REDEV. AREA","CHECKED"
"2006.1523","Oceanwide Center (50 1st Street)","CHECKED"
"2006.1524","350 MISSION ST","CHECKED"
"2007.0347","San Francisco Bicycle Plan","CHECKED"
"2007.0385","345 BRANNAN STREET","CHECKED"
"2007.0456","181 FREMONT ST","CHECKED"
"2007.0558","Transit Center District Area Plan","CHECKED"
"2007.0603","SF GENERAL HOSPITAL REBUILD","CHECKED"
"2007.0604","1145 MISSION ST","CHECKED"
"2007.0903","Treasure Island/Yerba Buena Island Development Area Plan","CHECKED"
"2007.0946","Candlestick Point - Hunters Point Shipyard Phase 2","CHECKED"
"2007.1035","350 8TH STREET","CHECKED"
"2007.1275","Housing Element 2009 Update","CHECKED"
"2008.0021","3711 19th Avenue (Parkmerced)","CHECKED"
"2008.0081","950 MASON STREET","CHECKED"
"2008.0498","SFIA SFGS Recovery Action Plan","CHECKED"
"2008.0586","Academy of Art University","CHECKED"
"2008.0801","41 TEHAMA ST","CHECKED"
"2008.0877","Western SOMA Community Plan","CHECKED"
"2008.0968","North Beach library & Playground Project","CHECKED"
"2008.1084","706 MISSION ST","CHECKED"
"2009.0109","Trinity Plaza DA Amendment","CHECKED"
"2009.0159","1540 MARKET ST","CHECKED"
"2009.0418","PORT - BRANNAN ST WHARF/ PIER 36","CHECKED"
"2009.0885","1101 VAN NESS/1255 POST ST & 1100 VAN NESS (CPMC HOSPITAL & MOB)","CHECKED"
"2009.0886","3615 CESAR CHAVEZ ST/CPMC - ST. LUKE'S HOSPITAL","CHECKED"
"2010.0043","490 SOUTH VAN NESS AV","CHECKED"
"2010.0305","Sunnydale HOPE SF Master Plan","CHECKED"
"2010.0493","America's Cup 34/Cruise Terminal Pier 27","CHECKED"
"2010.0515","Potrero Hope SF Master Plan","CHECKED"
"2011.0038","250 4TH ST","CHECKED"
"2011.0176","1251 Turk Street","CHECKED"
"2011.0187","1001 17TH ST and 140 Pennsylvania St.","CHECKED"
"2011.0277","2700 JACKSON ST","CHECKED"
"2011.0409","925 MISSION ST (5M)","CHECKED"
"2011.0558","MTA-Citywide Transit Effectiveness Plan","CHECKED"
"2011.0702","101 POLK ST","CHECKED"
"2011.0895","460 - 462 BRYANT STREET","CHECKED"
"2011.0953","300 SOUTH VAN NESS AVENUE","CHECKED"
"2011.1122","75 HOWARD ST","CHECKED"
"2011.1279","626 POTRERO AVENUE","CHECKED"
"2011.1306","1634-1690 PINE ST","CHECKED"
"2011.1356","Central SoMa Area Plan","CHECKED"
"2011.1385","651 DOLORES STREET","CHECKED"
"2012.0045","5800 3RD STREET","CHECKED"
"2012.0086","101 HYDE ST","CHECKED"
"2012.0153","200 PAUL AVENUE","CHECKED"
"2012.0325","344 FULTON STREET (PARCEL F)","CHECKED"
"2012.0506","950 GOUGH ST","CHECKED"
"2012.0640","598 BRANNAN STREET","CHECKED"
"2012.0799","270 BRANNAN STREET","CHECKED"
