RECORD ID,RECORD NAME,BAN Checklist
2019-020452STR,716 41st ave,537
2019-021464STR,3016 scott st,1960
2019-020482STR,271 Hermann Street,1984
2019-020378STR,"25 Sierra St, Unit E 208",2017
2019-018605STR,888 Brannan Street Airbnb HQ,11111
2019-019096STR,888 Brannan Street Airbnb HQ,11111
2018-016763STR,1124 Leavenworth Street #3,32184
2017-011236STR,1777 OAK ST,75145
2018-005107STR,2918 Pine Street,82291
2018-000041STR,1857 Lombard Street Unit 2,100690
2018-005052STR,1145 Pine St #25,108280
2019-018480STR,1145 Pine Street Apt 25,108280
2019-018971STR,1145 Pine Street Apt 25,108280
2019-001169STR,825 Minnesota Street Unit 8,108774
2018-016393STR,171 Germania Street,109866
2019-023202STR,1546 44th Avenue,110627
2018-001475STR,620 Miramar Avenue STR,110806
2017-015070STR,260 Whitney Street STR,138431
2019-019210STR,260 Whitney Street,138431
2017-007267STR,748 Castro Street Unit 3,164952
2017-008316STR,636 Dwight Street STR,172674
2019-019212STR,23 Newburg Street,173198
2019-021521STR,860a Vallejo st,182754
2018-005018STR,1296 Union Street,188588
2019-019247STR,1296 Union St,188588
2019-019199STR,463 16th Avenue,195179
2018-015577STR,30 Richland Avenue,307235
2019-019497STR,"2140 Bush, Unit 2",317927
2019-021589STR,2140 Bush Street 2B,317927
2018-004923STR,1515 Guerrero Street,319013
2019-005941STR,355 Lansdale Avenue,319206
2018-006021STR,71 KNOLLVIEW WAY,322444
2018-000042STR,4348 18th Street,327170
2018-005097STR,1408 Hayes Street,327875
2020-001531STR,70 Potomac Street,329795
2020-004445STR,4308 17th Street,334096
2017-010639STR,17 MIRABEL AVE,335165
2019-020385STR,311 duncan st,338051
2020-000686STR,103 Wool Street,340220
2019-022601STR,142 Alpine Terrace,341763
2019-020309STR,214 Dorland Street,341850
2019-018178STR,251 laguna street,342329
2019-020341STR,1628 FULTON ST,342347
2015-001750STR,118 Hancock Street,342437
2018-011513STR,2 Hillview Court,345470
2018-005280STR,24 Woodland Avenue Unit A,351813
2019-022455STR,70 Jersey Street,353905
2017-014086STR,1912 23rd Street STR,356487
2018-000006STR,2254 25th Avenue STR,357693
2018-000043STR,2254 25th Avenue,357693
2017-008456STR,1265 DE HARO ST,358762
2018-000044STR,160 Newman St.,359674
2018-015978STR,16 Abbey Street,361462
2018-005370STR,75 20th Avenue,362870
2019-020490STR,148 Julian Ave,362887
2020-001279STR,148 Julian Avenue,362887
2018-000045STR,47 Eagle St,363256
2017-009317STR,865 El Camino Del Mar,364494
2017-013940STR,865 El Camino Del Mar STR (2nd Application),364494
2018-004456STR,535 Columbus Avenue Unit 33,365308
2019-021548STR,535 COLUMBUS AVE APT 33,365308
2019-020318STR,"2600 18th Street, Unit 21",369297
2018-000046STR,2278 15th Street Apt 6,372789
2017-009953STR,"225 Castro Street, Unit 2 STR",374193
2019-023513STR,3721 Lincoln Way,374630
2018-000047STR,400 Treat Avenue Suite I,377949
2019-020249STR,130 Filmore St,379116
2019-019895STR,1754 41st Avenue,380095
2018-000048STR,200 Clayton Street,382841
2019-019748STR,420 Precita Ave,382968
2019-020213STR,944 treat avenue,388606
2020-000954STR,944 Treat Avenue,388606
2018-000049STR,273 San Carlos St A,391695
2017-011251STR,1137 Green Street STR,394970
2018-008200STR,2859 Harrison Street APT B,396249
2017-008235STR,1472 17th Avenue REVOKED,397860
2020-001523STR,105 Fillmore Street,398087
2020-003019STR,105 Fillmore Street,398087
2019-023257STR,1435-39 Grant Avenue,398261
2019-019758STR,700 Carolina Street,402780
2020-004474STR,1480 7th Avenue,403106
2019-014161STR,155 Precita Avenue,405349
2020-000962STR,155 Precita Avenue,405349
2017-015900STR,1234 4th Avenue,407495
2018-004913STR,163 Forest Side Avenue,413216
2018-002331STR,2501 Harrison Street Unit 15,413219
2018-000746STR,1437 Kearny Street STR,414419
2019-018576STR,438 12th Avenue Apt.#5,415885
2019-019067STR,438 12th Avenue Apt.#5,415885
2017-009856STR,121B Belevedere Street STR,416070
2019-021605STR,1257 5th Avenue,416606
2019-021407STR,2386 Bryant St,417436
2017-016587STR,425 Scott Street STR,417470
2018-000050STR,425 scott street,417470
2019-014216STR,57 Grattan Street,418711
2019-020295STR,1540 Lombard Street Unit C,419351
2018-000051STR,1667 Fulton Street A,420751
2019-021443STR,114 belgrave ave,421730
2019-020503STR,77 Lapidge St,423514
2019-021601STR,77 Lapidge St,423514
2018-004973STR,1140 York St,424425
2019-019735STR,56 Ledyard Street,428858
2017-010711STR,273 MUNICH ST,429504
2018-003328STR,273 Munich Street (2nd Application),429504
2019-021410STR,273 Munich Street,429504
2019-021495STR,273 Munich Street,429504
2018-004928STR,1091 Hampshire st,429670
2019-020460STR,818 Hayes Street Unit 3,431154
2019-018327STR,204 Valencia st. Unit 6,432812
2019-018328STR,204 Valencia st. Unit 6,432812
2019-018818STR,204 Valencia st. Unit 6,432812
2019-018819STR,204 Valencia st. Unit 6,432812
2018-000626STR,2021 Lake Street STR,432922
2018-008678STR,2434 Union Street,435040
2020-004528STR,6 Scotland Street,435318
2018-008991STR,143 Tara Street,435468
2018-006852STR,2266 33rd Ave,435842
2019-019317STR,947 Dolores Street,435997
2017-015628STR,261 10TH AVENUE,436455
2018-003582STR,2806 Van Ness Avenue,436597
2019-018267STR,2806 Van Ness Avenue Main Suite,436597
2019-018758STR,2806 Van Ness Avenue Main Suite,436597
2017-013758STR,110 7th Avenue STR,440193
2018-000583STR,247 Molimo Drive STR,442020
2019-020284STR,192 Maddux Ave,442363
2019-020508STR,4444 20th Street,443230
2019-002102STR,74 Rossmoor Drive,443849
2017-016063STR,1548 Grant Avenue STR,444849
2019-021533STR,1548 Grant Avenue ,444849
2020-004835STR,677 Castro Street Unit 2,445511
2018-004868STR,784 Green Street,445860
2019-018201STR,784 Green Street,445860
2018-012084STR,3773 22nd Street,447859
2018-005228STR,253 San Carlos Street,448600
2018-005266STR,253 San Carlos Street - Duplicate application,448600
2019-018427STR,253 San Carlos Street,448600
2019-018918STR,253 San Carlos Street,448600
2019-019272STR,253 San Carlos Street,448600
2018-005144STR,1432 Grove Street,450349
2019-018551STR,1432 Grove Street,450349
2019-019042STR,1432 Grove Street,450349
2018-005153STR,1931 Mason Street,450838
2017-014151STR,724 Brazil Avenue STR,453234
2017-015434STR,1734 Waller Street STR,454035
2020-004367STR,1734 WALLER ST,454035
2017-010588STR,212 FAIR OAKS ST,454109
2019-021433STR,212 Fair Oaks Street,454109
2019-021497STR,212 Fair Oaks Street APT A,454109
2017-010899STR,27 Boardman Place STR,454964
2019-023244STR,27 Boardman Place,454964
2017-005387STR,76 Oakwood Street,455186
2019-020315STR,1112 De Haro Street,456268
2017-011020STR,2755 34TH AVE,456507
2019-021461STR,2755 34th Avenue,456507
2018-005178STR,524 Noe Street,456777
2017-012323STR,2521 KIRKHAM ST,456927
2018-000052STR,1017 Shotwell Street,457860
2020-000138STR,2327 Turk Blvd,461044
2019-014600STR,3830 18th Street,463485
2020-001858STR,176 Holladay Avenue,464216
2018-000053STR,1014 Shotwell Street,465041
2019-021485STR,48 Sharon Street,466491
2018-005264STR,515 Gates Street,468620
2018-004932STR,76 ellsworth street,469162
2018-013231STR,76 Ellsworth Street,469162
2018-000054STR,3042 Gough Street,472859
2020-004605STR,49 Grace Street,476746
2019-018371STR,1373 3rd Avenue,477497
2019-018862STR,1373 3rd Avenue,477497
2018-011038STR,118 Dolphin Court STR,477786
2018-000055STR,191 Granville Way,478996
2019-019246STR,1028 Ashbury Street,479002
2017-015992STR,3740 Divisadero Street STR,479565
2018-004895STR,5533 California Street Unit 1,480278
2018-010361STR,76 Albion Street,480400
2017-006428STR,3223 Broderick Street  CERTIFICATE EXPIRED,480632
2018-004452STR,3221 BRODERICK STREET,480632
2019-015292STR,3223 BRODERICK ST,480632
2019-019533STR,231 Coleridge Street,481709
2019-018355STR,428 Ellsworth Street,482245
2019-018846STR,428 Ellsworth Street,482245
2019-006811STR,70 Manor Drive,483362
2020-004483STR,2340 Lane St,483469
2018-000056STR,115 Topaz Way,484142
2019-021883STR,194 Caselli Avenue,486109
2018-000917STR,1159 Dolores Street,486657
2019-020403STR,2463 17th Avenue,486716
2018-014639STR,150 Alpine Terrace,486917
2018-000057STR,1630 Clay Street Unit 4,487183
2020-004496STR,2927 Larkin Street,487588
2019-021419STR,1745 SUTTER ST,487918
2018-011789STR,210 Broderick Street Unit 2,490845
2019-021545STR,"210 BRODERICK STREET, UNIT 2",490845
2019-020329STR,1627 15th Avenue,912988
2018-008314STR,1560 GREENWICH STREET,915242
2017-016206STR,1118 CAPITOL AVENUE,917380
2019-020498STR,"181 Crescent Ave., San Francisco",927931
2017-013390STR,50 Walter Street STR,928997
2020-004444STR,855 La Playa Streetn #363,931862
2020-004470STR,1200 Pacheco Street,933230
2020-004449STR,150 santa marina st,933919
2018-016569STR,330 Colon Avenue,934242
2019-018273STR,330 Colon Avenue,934242
2019-018565STR,330 Colon Avenue,934242
2019-018764STR,330 Colon Avenue,934242
2019-019056STR,330 Colon Avenue,934242
2018-004824STR,726 31st Avenue ,934818
2019-014245STR,726 31st Avenue,934818
2019-018517STR,4426 18th Street,939189
2019-019008STR,4426 18th Street,939189
2019-019266STR,4426 18th Street,939189
2019-020391STR,183 Lower Terrace ,939440
2019-018204STR,1186 Noe Street,939582
2019-018142STR,926 Esmeralda Avenue,942092
2019-018214STR,926 Esmeralda Avenue,942092
2019-018705STR,926 Esmeralda Avenue,942092
2019-004059STR,2085 Ulloa Street,943151
2019-014150STR,537 33rd Avenue,943512
2018-000058STR,31 Grand View Avenue,944094
2020-000957STR,31 Grand View Avenue,944094
2017-011767STR,82 Arago Street,944213
2017-010642STR,3851 18TH ST,950692
2019-021515STR,3851 18th Street,950692
2017-008874STR,2852 Folsom Street,954960
2018-006348STR,61 Eagle Street,957422
2018-004095STR,122 BAKER ST,1002068
2018-004821STR,3341 Clement Street,1002410
2018-004800STR,1359 48th Avenue,1003331
2019-020225STR,758 Haight Street Unit 1 ,1003360
2018-005284STR,3926 Irving Street,1003471
2019-018668STR,3926 Irving Street,1003471
2019-019158STR,3926 Irving Street,1003471
2018-001374STR,77 Leese Street STR,1003669
2019-020230STR,26 Samoset Street,1004109
2017-005722STR,61 Fair Avenue,1004269
2019-018657STR,310 Andover Street,1004407
2019-019147STR,310 Andover Street,1004407
2018-004898STR,2515 Gough Street,1004463
2019-018129STR,2515 Gough Street,1004463
2019-018131STR,2515 Gough Street,1004463
2019-018174STR,2515 Gough Street,1004463
2019-020399STR,727 Webster St,1004818
2019-022582STR,727 Webster Street,1004818
2018-012366STR,2638 Post Street,1004858
2018-005252STR,1626 Great Highway Unit 3,1004962
2017-005414STR,"526 Natoma Street, Apt B",1005524
2018-002013STR,11 Valparaiso Street STR (2nd Application),1007066
2019-021525STR,11 Valparaiso St,1007066
2018-004866STR,34 Telegraph Place,1007384
2019-021424STR,448 Greenwich/34 Telegraph place,1007384
2019-021486STR,448 greenwich/34 telegraph place,1007384
2019-018386STR,4428 18th Street,1008001
2019-018481STR,4428 18th Street,1008001
2019-018877STR,4428 18th Street,1008001
2019-018972STR,4428 18th Street,1008001
2017-013267STR,831 Haight Street STR,1008099
2019-015092STR,1536 48th Avenue,1008105
2018-002073STR,4048 22nd Street STR (2nd Application),1008106
2019-018440STR,4048 22nd Street,1008106
2019-018931STR,4048 22nd Street,1008106
2018-000059STR,500 Peralta Ave,1008212
2019-018168STR,500 Peralta Avenue,1008212
2018-005016STR,832 Page Street,1008272
2019-020442STR,35 Hallam St.,1008353
2019-021413STR,1340 mason st,1008405
2019-020383STR,620 28th Street,1008414
2017-005496STR,2163 Grove Street,1008507
2018-004884STR,551 Castro Street,1008514
2019-014746STR,551 Castro Street,1008514
2019-021646STR,46 Lapidge Street,1008528
2019-020410STR,1255 Vallejo,1008537
2020-004576STR,1255 Vallejo Street,1008537
2019-014608STR,515 Prentiss Street,1008555
2018-004806STR,1051 De Haro Street Unit A,1008619
2019-021476STR,"1051 de haro st, unit a",1008619
2019-020296STR,"1051 Florida St,",1008759
2019-020277STR,196 Lippard Avenue,1008771
2019-022799STR,1574 Grove Street,1008930
2019-020417STR,1464 Grove Street Unit 302,1008965
2019-020420STR,60 Santa Marina Street,1009077
2019-020690STR,644 Foerster Street,1009114
2019-020449STR,1340 De Haro Street,1009174
2020-005422STR,1340 De Haro Street,1009174
2019-020376STR,3438 19th St,1009250
2019-021186STR,3438 19th St,1009250
2019-019461STR,2431 45th Avenue,1009273
2019-019490STR,157 Ripley Street,1009432
2020-003735STR,442 Anderson Street,1009453
2019-016025STR,215 WEBSTER STREET,1009488
2019-014052STR,230 Upland Drive,1009535
2019-021565STR,San Francisco,1009664
2020-001803STR,666 Madrid Street,1009664
2017-009543STR,"1278 Jackson Street, #6",1009667
2019-017685STR,514 4th Avenue,1009693
2020-003641STR,,1009748
2020-004663STR,1745 Sutter Street,1009748
2018-005189STR,52 Clipper Street,1009788
2018-005009STR,211 Divisadero Street,1009843
2019-020262STR,49 Robblee Avenue,1010028
2020-000599STR,161 Cleo Rand Lane,1010079
2019-020347STR,1205 Oak St 1,1010085
2020-004490STR,1205 Oak Street Unit 1,1010085
2017-005224STR,5846 California Street,1010164
2019-019470STR,1738 26th Ave,1010206
2019-019541STR,407 Precita Ave,1010206
2018-004851STR,2279 A 15th street (owner changed it to 2281 A 15th Street by email),1010274
