"RECORD ID","DATE STATUS","DATE CLOSED","RECORD STATUS DATE","RECORD STATUS"
"2015-001079STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001087STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001096STR","6/8/2016","3/2/2015","6/8/2016","Closed - Complete"
"2015-001102STR","6/8/2016","4/11/2016","6/8/2016","Closed - Complete"
"2015-001104STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001112STR","5/15/2019","5/15/2019","5/15/2019","Closed - Complete"
"2015-001142STR","4/12/2019","4/12/2019","4/12/2019","Closed - Complete"
"2015-001147STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001153STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001160STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001161STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001175STR","8/1/2019","8/1/2019","8/1/2019","Closed - Complete"
"2015-001177STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001200STR","6/8/2016","9/8/2015","6/8/2016","Closed - Complete"
"2015-001206STR","6/8/2016","2/23/2015","6/8/2016","Closed - Complete"
"2015-001223STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001279STR","6/8/2016","3/11/2015","6/8/2016","Closed - Complete"
"2015-001287STR","6/8/2016","2/23/2015","6/8/2016","Closed - Complete"
"2015-001291STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001296STR","10/15/2015","10/15/2015","10/15/2015","Closed - Complete"
"2015-001303STR","5/7/2019","5/7/2019","5/7/2019","Closed - Complete"
"2015-001305STR","6/8/2016","2/24/2015","6/8/2016","Closed - Complete"
"2015-001333STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001336STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001343STR","6/8/2016","2/24/2015","6/8/2016","Closed - Complete"
"2015-001425STR","6/8/2016","5/13/2015","6/8/2016","Closed - Complete"
"2015-001430STR","6/8/2016","2/26/2015","6/8/2016","Closed - Complete"
"2015-001433STR","6/8/2016","3/17/2015","6/8/2016","Closed - Complete"
"2015-001455STR","9/9/2019","9/9/2019","9/9/2019","Closed - Complete"
"2015-001461STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001471STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001490STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001493STR","7/5/2019","7/5/2019","7/5/2019","Closed - Complete"
"2015-001538STR","6/8/2016","4/27/2015","6/8/2016","Closed - Complete"
"2015-001550STR","6/8/2016","3/31/2015","6/8/2016","Closed - Complete"
"2015-001589STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-001590STR","6/8/2016","10/1/2015","6/8/2016","Closed - Complete"
"2015-001625STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-001626STR","8/14/2019","8/14/2019","8/14/2019","Closed - Complete"
"2015-001642STR","6/8/2016","5/29/2015","6/8/2016","Closed - Complete"
"2015-001649STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001675STR","6/8/2016","3/6/2015","6/8/2016","Closed - Complete"
"2015-001679STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-001733STR","6/8/2016","3/26/2015","6/8/2016","Closed - Complete"
"2015-001749STR","6/8/2016","5/28/2015","6/8/2016","Closed - Complete"
"2015-001750STR","7/16/2019","7/16/2019","7/16/2019","Closed - Complete"
"2015-001763STR","6/8/2016","5/7/2015","6/8/2016","Closed - Complete"
"2015-001767STR","10/16/2015","10/16/2015","10/16/2015","Closed - Complete"
"2015-001778STR","3/18/2019","3/18/2019","3/18/2019","Closed - Complete"
"2015-001794STR","7/16/2019","7/16/2019","7/16/2019","Closed - Complete"
"2015-001824STR","6/8/2016","5/28/2015","6/8/2016","Closed - Complete"
"2015-001846STR","9/7/2017","9/7/2017","9/7/2017","Closed - Complete"
"2015-001899STR","6/8/2016","3/10/2015","6/8/2016","Closed - Complete"
"2015-001920STR","6/8/2016","3/10/2015","6/8/2016","Closed - Complete"
"2015-001924STR","6/8/2016","3/9/2015","6/8/2016","Closed - Complete"
"2015-001946STR","6/8/2016","3/10/2015","6/8/2016","Closed - Complete"
"2015-001991STR","6/8/2016","3/9/2015","6/8/2016","Closed - Complete"
"2015-002030STR","6/8/2016","4/3/2015","6/8/2016","Closed - Complete"
"2015-002035STR","7/16/2019","7/16/2019","7/16/2019","Closed - Complete"
"2015-002041STR","6/8/2016","3/12/2015","6/8/2016","Closed - Complete"
"2015-002043STR","6/8/2016","3/20/2015","6/8/2016","Closed - Complete"
"2015-002045STR","6/8/2016","4/9/2015","6/8/2016","Closed - Complete"
"2015-002052STR","6/8/2016","3/12/2015","6/8/2016","Closed - Complete"
"2015-002058STR","6/8/2016","5/29/2015","6/8/2016","Closed - Complete"
"2015-002106STR","6/8/2016","4/27/2015","6/8/2016","Closed - Complete"
"2015-002168STR","7/16/2019","7/16/2019","7/16/2019","Closed - Complete"
"2015-002183STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002187STR","6/8/2016","3/20/2015","6/8/2016","Closed - Complete"
"2015-002193STR","8/30/2019","8/30/2019","8/30/2019","Closed - Complete"
"2015-002209STR","6/8/2016","4/1/2015","6/8/2016","Closed - Complete"
"2015-002219STR","6/8/2016","3/17/2015","6/8/2016","Closed - Complete"
"2015-002247STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002259STR","6/8/2016","4/15/2015","6/8/2016","Closed - Complete"
"2015-002264STR","12/24/2015","12/24/2015","12/24/2015","Closed - Complete"
"2015-002287STR","9/11/2017","9/11/2017","9/11/2017","Closed - Complete"
"2015-002320STR","8/16/2019","8/16/2019","8/16/2019","Closed - Complete"
"2015-002324STR","6/8/2016","3/11/2015","6/8/2016","Closed - Complete"
"2015-002539STR","7/16/2019","7/16/2019","7/16/2019","Closed - Complete"
"2015-002541STR","6/8/2016","4/2/2015","6/8/2016","Closed - Complete"
"2015-002551STR","1/25/2019","1/25/2019","1/25/2019","Closed - Complete"
"2015-002557STR","6/8/2016","4/2/2015","6/8/2016","Closed - Complete"
"2015-002565STR","6/8/2016","4/3/2015","6/8/2016","Closed - Complete"
"2015-002570STR","7/18/2019","7/18/2019","7/18/2019","Closed - Complete"
"2015-002591STR","6/8/2016","3/27/2015","6/8/2016","Closed - Complete"
"2015-002597STR","6/8/2016","3/27/2015","6/8/2016","Closed - Complete"
"2015-002602STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002615STR","6/8/2016","3/9/2015","6/8/2016","Closed - Complete"
"2015-002639STR","6/8/2016","3/6/2015","6/8/2016","Closed - Complete"
"2015-002662STR","6/8/2016","3/27/2015","6/8/2016","Closed - Complete"
"2015-002669STR","6/8/2016","3/27/2015","6/8/2016","Closed - Complete"
"2015-002680STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002682STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002707STR","6/8/2016","3/20/2015","6/8/2016","Closed - Complete"
"2015-002729STR","7/17/2019","7/17/2019","7/17/2019","Closed - Complete"
"2015-002742STR","10/22/2015","10/22/2015","10/22/2015","Closed - Complete"
"2015-002744STR","6/8/2016","9/10/2015","6/8/2016","Closed - Complete"
"2015-002746STR","6/8/2016","9/21/2015","6/8/2016","Closed - Complete"
"2015-002747STR","6/8/2016","3/9/2015","6/8/2016","Closed - Complete"
"2015-002748STR","9/17/2019","9/17/2019","9/17/2019","Closed - Complete"
"2015-002753STR","6/8/2016","3/9/2015","6/8/2016","Closed - Complete"
"2015-002757STR","2/3/2017","2/3/2017","2/3/2017","Closed - Complete"
"2015-002781STR","6/8/2016","4/3/2015","6/8/2016","Closed - Complete"
"2015-002782STR","6/8/2016","4/3/2015","6/8/2016","Closed - Complete"
"2015-002812STR","6/8/2016","4/1/2015","6/8/2016","Closed - Complete"
"2015-002854STR","7/29/2019","7/29/2019","7/29/2019","Closed - Complete"
"2015-002856STR","6/8/2016","3/25/2015","6/8/2016","Closed - Complete"
"2015-002859STR","8/16/2019","8/16/2019","8/16/2019","Closed - Complete"
"2015-002866STR","7/31/2019","7/31/2019","7/31/2019","Closed - Complete"
"2015-002909STR","8/14/2019","8/14/2019","8/14/2019","Closed - Complete"
"2015-002915STR","9/5/2017","9/5/2017","9/5/2017","Closed - Complete"
"2015-002928STR","6/8/2016","8/31/2015","6/8/2016","Closed - Complete"
"2015-002990STR","6/8/2016","5/14/2015","6/8/2016","Closed - Complete"
"2015-003013STR","6/8/2016","5/14/2015","6/8/2016","Closed - Complete"
"2015-003018STR","6/8/2016","5/12/2015","6/8/2016","Closed - Complete"
"2015-003048STR","2/6/2017","2/6/2017","2/6/2017","Closed - Complete"
"2015-003054STR","6/8/2016","4/13/2015","6/8/2016","Closed - Complete"
"2015-003082STR","7/19/2019","7/19/2019","7/19/2019","Closed - Complete"
"2015-003094STR","6/8/2016","3/20/2015","6/8/2016","Closed - Complete"
"2015-003096STR","8/2/2019","8/2/2019","8/2/2019","Closed - Complete"
"2015-003139STR","6/8/2016","4/23/2015","6/8/2016","Closed - Complete"
"2015-003191STR","6/8/2016","11/16/2015","6/8/2016","Closed - Complete"
"2015-003218STR","6/8/2016","4/13/2015","6/8/2016","Closed - Complete"
"2015-003272STR","7/18/2019","7/18/2019","7/18/2019","Closed - Complete"
"2015-003273STR","6/8/2016","4/27/2015","6/8/2016","Closed - Complete"
"2015-003276STR","6/8/2016","4/27/2015","6/8/2016","Closed - Complete"
"2015-003280STR","6/8/2016","4/27/2015","6/8/2016","Closed - Complete"
