B1_ALT_ID,B1_SPECIAL_TEXT,B1_FILE_DD,B1_APPL_STATUS
2015-009991STR,876 Potrero Avenue,8/5/2015,Closed - Approved
2015-009975STR,1221 Bosworth Street,8/4/2015,Closed - Withdrawn
2015-009984STR,51 Kissling Street,8/4/2015,Closed - Withdrawn
2015-009981STR,4150 Moraga Street,8/4/2015,Closed - Withdrawn
2015-009974STR,334 Paris Street,8/4/2015,Closed - Approved
2015-009977STR,"437 Arkansas Street, Unit 101",8/4/2015,Closed - Withdrawn
2015-007560STR,2719 23rd St.,6/16/2015,Closed - Withdrawn
2015-004174STR,1640 Grove Street,4/2/2015,Closed - Approved
2017-005449STR,1410 Ingalls Street,5/3/2017,Closed - Approved
2018-000076STR,4009 18th Street,12/22/2017,Closed - Approved
2018-000077STR,3806 19th Street,11/30/2017,Closed - Approved
2018-000078STR,562 Page St,10/27/2017,Closed - Approved
2018-000079STR,1141 Cole Street,11/23/2017,Closed - Disapproved
2018-000080STR,2187 Golden Gate Avenue,12/22/2017,Closed - Withdrawn
2018-000081STR,2139 Turk St,10/6/2017,Under Review
2018-000082STR,171 Coleridge Street,12/8/2017,Closed - Withdrawn
2018-000083STR,1020 Anza Street Apt 4,12/8/2017,Closed - Disapproved
2018-000084STR,616 Baker St,11/28/2017,Under Review
2018-000085STR,1644 ALABAMA ST,12/5/2017,Closed - Withdrawn
2018-000086STR,3 peralta avenue,12/12/2017,Closed - Withdrawn
2018-000087STR,1329 Columbus Avenue B,12/8/2017,Under Review
2018-000088STR,1125 Cortland Avenue,11/7/2017,Closed - Disapproved
2018-000089STR,2577 Post Street,12/6/2017,Closed - Withdrawn
2018-000090STR,80 Miraloma Dr,12/11/2017,Closed - Disapproved
2018-000091STR,755 Capp Street,11/5/2017,Closed - Withdrawn
2018-000092STR,370 7th Street Unit 4,11/8/2017,Closed - Disapproved
2018-000093STR,1629 Golden Gate Avenue,11/9/2017,Closed - Withdrawn
2018-000094STR,287 Page Street,11/15/2017,Closed - Disapproved
2018-000095STR,113 Germania Street,12/6/2017,Closed - Approved
2018-000096STR,807 38th Ave Unit A,12/22/2017,Closed - Disapproved
2018-000097STR,3366 23rd Street,10/15/2017,Closed - Disapproved
2018-000098STR,1515 Sutter St 214,12/22/2017,Closed - Withdrawn
2018-000100STR,11 Castro Street,11/22/2017,Under Review
