REC_NUM,EXPIRATION_DATE,EXPIRATION_STATUS,B1_PER_CATEGORY,APPLICATION_NAME,OPENED_DATE,RECORD_STATUS
2017-015854STR,1/31/2017,Pending,STR,40 HARPER ST,12/12/2017,Under Review
2017-014902STR,1/31/2017,Pending,STR,878 Rhode Island Street Unit A STR,11/20/2017,Accepted
2017-013731STR,1/31/2017,Pending,STR,1360 Lyon Street Unit 5 STR,10/25/2017,Open
2017-006243STR,1/31/2017,Pending,STR,29 Lucky Street,5/18/2017,Under Review
2017-010604STR,1/31/2017,Pending,STR,1125 CAROLINA ST,8/17/2017,Open
2018-004544STR,1/31/2018,Pending,STR,239 Brannan Street Unit 3C,3/30/2018,Open
2018-006772STR,1/31/2018,Pending,STR,745 El Camino Del Mar,5/8/2018,Under Review
2018-003081STR,1/31/2018,Pending,STR,163 23rd Avenue,3/2/2018,Accepted
2018-006234STR,1/31/2018,Pending,STR,179 Clearfield Drive (2nd Application after Prior Denial),4/25/2018,Open
2018-002189STR,1/31/2018,Pending,STR,245 5th Street Unit 313,2/11/2018,Open
2018-003328STR,1/31/2018,Pending,STR,273 Munich Street (2nd Application),3/7/2018,Open
2018-003186STR,1/31/2018,Pending,STR,750 Pine Street Unit 24,3/6/2018,Accepted
2018-002190STR,1/31/2018,Pending,STR,3628 24th Street,2/11/2018,Open
2018-004148STR,1/31/2018,Pending,STR,2755 Sutter Street,3/23/2018,Open
2018-005062STR,1/31/2018,Pending,STR,1250 Bush Street,2/16/2018,On Hold
2018-005135STR,1/31/2018,Pending,STR,338 Potrero Avenue 203,2/16/2018,Under Review
2018-005165STR,1/31/2018,Pending,STR,1654 Great Highway,1/16/2018,Under Review
2018-005228STR,1/31/2018,Pending,STR,253 San Carlos Street,1/16/2018,Under Review
2018-005245STR,1/31/2018,Pending,STR,241 10th Street,2/16/2018,Under Review
2018-005256STR,1/31/2018,Pending,STR,152 San Carlos Street Unit A,2/16/2018,Under Review
2018-005279STR,1/31/2018,Pending,STR,1390 Market Street Unit 2825,3/23/2018,Under Review
2018-005289STR,1/31/2018,Pending,STR,174«  Hartford St,3/16/2018,Under Review
2018-004852STR,1/31/2018,Pending,STR,2956 22nd street,1/16/2018,Accepted
2018-004784STR,1/31/2018,Pending,STR,55 9th Street Unit 1212,2/16/2018,Under Review
2018-004793STR,1/31/2018,Pending,STR,25 Sierra St. W106,12/27/2017,Under Review
2018-004945STR,1/31/2018,Pending,STR,3777 23rd St,3/12/2018,Accepted
2018-004949STR,1/31/2018,Pending,STR,1433 shotwell,3/13/2018,Under Review
2018-005008STR,1/31/2018,Pending,STR,2472 California Street,1/16/2018,Under Review
2018-004454STR,1/31/2018,Pending,STR,427 Filbert Street Unit F,3/29/2018,Open
2018-004868STR,1/31/2018,Pending,STR,784 Green Street,1/21/2018,Under Review
2018-004877STR,1/31/2018,Pending,STR,43 Downey Street,1/28/2018,Under Review
2018-004879STR,1/31/2018,Pending,STR,3131B Divisadero St.,1/29/2018,Under Review
2018-004890STR,1/31/2018,Pending,STR,1408 Kearny Street,2/8/2018,Under Review
2018-004915STR,1/31/2018,Pending,STR,3036 market street,2/26/2018,Under Review
2018-004978STR,1/31/2018,Pending,STR,200 Portola Drive 202,1/16/2018,Under Review
2018-004984STR,1/31/2018,Pending,STR,1338 Noe Street,1/16/2018,Under Review
2018-004988STR,1/31/2018,Pending,STR,43 Woodward Street,1/16/2018,On Hold
2018-005067STR,1/31/2018,Pending,STR,685 8th Avenue,2/16/2018,Under Review
2018-005072STR,1/31/2018,Pending,STR,2385 26th Avenue,2/16/2018,Under Review
2018-005169STR,1/31/2018,Pending,STR,535 Page Street Room 2,1/16/2018,Under Review
2018-005181STR,1/31/2018,Pending,STR,468 Dellbrook Avenue,1/16/2018,Under Review
2018-004807STR,1/31/2018,Pending,STR,2240 Broderick Street,1/2/2018,Under Review
2018-004815STR,1/31/2018,Pending,STR,818 Hayes Street Apt #3,1/5/2018,Under Review
2018-000186STR,1/31/2018,Pending,STR,731 44th Avenue,11/5/2017,Under Review
2018-007539STR,1/31/2018,Pending,STR,325 Wayland Street (2nd Application),5/23/2018,Open
2018-007754STR,1/31/2018,Pending,STR,239 Brannan Street Unit 3C,5/30/2018,Open
2018-007534STR,1/31/2018,Pending,STR,726 Burrows Street,5/23/2018,Open
2018-000119STR,1/31/2018,Pending,STR,55 9th Street Unit 1111,10/18/2017,Under Review
2018-000047STR,1/31/2018,Pending,STR,400 Treat Avenue Suite I,12/22/2017,Under Review
2018-000069STR,1/31/2018,Pending,STR,2049 Oak Street Apt 3,11/27/2017,Under Review
2018-000299STR,1/31/2018,Pending,STR,2149 Grove Street,12/6/2017,Under Review
2018-000329STR,1/31/2018,Pending,STR,2787 Bryant Street,12/22/2017,Under Review
2018-000243STR,1/31/2018,Pending,STR,2100 Ellis Street,11/27/2017,Under Review
2018-000266STR,1/31/2018,Pending,STR,3386 Market Street,11/23/2017,Under Review
2018-004455STR,1/31/2018,Pending,STR,400 Beale Street Unit 1201,3/29/2018,Open
2018-000273STR,1/31/2018,Pending,STR,2145 North Point Street,11/29/2017,Under Review
2018-000277STR,1/31/2018,Pending,STR,2049 Oak Street Apt #4,11/27/2017,Under Review
2018-000358STR,1/31/2018,Pending,STR,965 Sutter Street 505,12/1/2017,Under Review
2018-000366STR,1/31/2018,Pending,STR,240 Ivy Street,10/26/2017,Under Review
2018-009476STR,1/31/2018,Pending,STR,1429 LEAVENWORTH ST 102,7/10/2018,Accepted
2018-009293STR,1/31/2018,Pending,STR,140 Margaret Avenue,7/3/2018,Accepted
2018-008613STR,1/31/2018,Pending,STR,4124 24th Street,6/18/2018,Open
2018-008668STR,1/31/2018,Pending,STR,"1821 15th Street, Unit 2",6/19/2018,Accepted
2018-008705STR,1/31/2018,Pending,STR,137 MILTON STREET,6/19/2018,Accepted
2018-008609STR,1/31/2018,Pending,STR,3425 Alemany Blvd,6/18/2018,Accepted
2018-007965STR,1/31/2018,Pending,STR,307 Page Street Unit 3,6/4/2018,Open
2018-007936STR,1/31/2018,Pending,STR,1443 Shotwell Street,6/4/2018,Pending Review
2018-009409STR,1/31/2018,Pending,STR,1535 Oak Street #2,7/9/2018,Under Review
2018-009839STR,1/31/2018,Pending,STR,2934 Folsom Street,7/17/2018,Under Review
2018-011385STR,1/31/2018,Pending,STR,2712 Bryant Street,8/17/2018,Accepted
2018-014625STR,1/31/2018,Pending,STR,1262 Lombard Street,10/25/2018,Open
2018-014649STR,1/31/2018,Pending,STR,2266 Union Street Unit 3,10/25/2018,Open
2018-014650STR,1/31/2018,Pending,STR,625 8th Street Unit 606,10/25/2018,Open
2018-011167STR,1/31/2018,Pending,STR,110 STEINER STREET,8/14/2018,Accepted
2018-012344STR,1/31/2018,Pending,STR,681 SAN JOSE AVENUE,9/10/2018,Accepted
2018-011422STR,1/31/2018,Pending,STR,535 Ulloa Street RH1D,8/20/2018,Accepted
2018-012836STR,1/31/2018,Pending,STR,4729 18th Street,9/19/2018,Open
2018-014978STR,1/31/2018,Pending,STR,3501 Noriega Street,11/1/2018,Accepted
18EST-000043,1/31/2018,Pending,STR,"600 Missouri Street, Apt. B",8/31/2018,Open
2018-014594STR,1/31/2018,Pending,STR,708 WISCONSIN ST,10/25/2018,Accepted
2018-014917STR,1/31/2018,Pending,STR,1766 Dolores Street,10/31/2018,Open
2018-015085STR,1/31/2018,Pending,STR,200 Townsend Street Unit 22,11/2/2018,Open
2018-015089STR,1/31/2018,Pending,STR,55 9th Street Unit 1001,11/4/2018,Open
2018-015091STR,1/31/2018,Pending,STR,55 9th Street Unit 606 (2nd application - different applicant),11/4/2018,Open
2018-015093STR,1/31/2018,Pending,STR,55 9th Street Unit 1514,11/4/2018,Open
2018-016763STR,1/31/2018,Pending,STR,1124 Leavenworth Street #3,12/12/2018,Accepted
2018-016774STR,1/31/2018,Pending,STR,4002 22nd Street,12/12/2018,Accepted
2018-016366STR,1/31/2018,Pending,STR,633 Ivy Street,12/5/2018,Open
2018-016219STR,1/31/2018,Pending,STR,2490 California Street Unit 5 (New application after prior expiration),11/30/2018,Open
2018-015393STR,1/31/2018,Pending,STR,33 Tehama Street Unit 27C,11/8/2018,Open
2018-016681STR,1/31/2018,Pending,STR,363 Winding Way,12/11/2018,Accepted
2018-015669STR,1/31/2018,Pending,STR,1 Saint Francis Plaza #5102,11/15/2018,Accepted
2018-015577STR,1/31/2018,Pending,STR,30 Richland Avenue,11/14/2018,Under Review
2018-016779STR,1/31/2018,Pending,STR,95 Cresta Vista Drive,12/13/2018,Open
2018-016931STR,1/31/2018,Pending,STR,60 Allston Way,12/17/2018,Open
2018-017078STR,1/31/2018,Pending,STR,212 Garfield Street,12/20/2018,Accepted
2018-016251STR,1/31/2018,Pending,STR,10 Hernandez Avenue,11/30/2018,Accepted
2019-023338STR,1/31/2019,Pending,STR,1558 1/2 Waller Street,11/16/2019,Under Review
2019-023343STR,1/31/2019,Pending,STR,770 Page Street,11/15/2019,Under Review
2019-018126STR,1/31/2019,Pending,STR,651 Noe Street,4/30/2018,Under Review
2019-018133STR,1/31/2019,Pending,STR,28 Pond Street,9/10/2018,Accepted
2019-018134STR,1/31/2019,Pending,STR,34 Prospect Avenue,8/4/2018,Accepted
2019-018135STR,1/31/2019,Pending,STR,2455 Chestnut Street,5/22/2018,Accepted
2019-018140STR,1/31/2019,Pending,STR,2240 Broderick Street,1/2/2018,Accepted
2019-018143STR,1/31/2019,Pending,STR,1643 37th Avenue,8/8/2018,Accepted
2019-018146STR,1/31/2019,Pending,STR,163 Grand View Avenue,3/12/2018,Accepted
2019-018151STR,1/31/2019,Pending,STR,34 Kent Street,8/31/2018,Accepted
2019-018152STR,1/31/2019,Pending,STR,"2490 California Street, Unit 5",8/16/2018,Under Review
2019-018154STR,1/31/2019,Pending,STR,2890 Folsom Street,6/10/2018,Accepted
2019-018155STR,1/31/2019,Pending,STR,101 States Street Unit 4,8/14/2018,Accepted
2019-018161STR,1/31/2019,Pending,STR,1433 shotwell,3/13/2018,Under Review
2019-018286STR,1/31/2019,Pending,STR,152 San Carlos Street,9/14/2018,Under Review
2019-022588STR,1/31/2019,Pending,STR,700 Moscow Street,12/6/2019,Accepted
2019-022608STR,1/31/2019,Pending,STR,"812 Bay Street, Apt 4",12/6/2019,Open
19EST-000072,1/31/2019,Pending,STR,1760 9th Ave,12/20/2019,Open
2019-019194STR,1/31/2019,Pending,STR,3863 19th Street,5/5/2019,Under Review
2019-019324STR,1/31/2019,Pending,STR,241 10th Street Unit 403,2/2/2018,Under Review
2019-019326STR,1/31/2019,Pending,STR,3863 19th Street,5/14/2019,Under Review
2019-019341STR,1/31/2019,Pending,STR,535 Page Street Room 2,1/4/2018,Under Review
2019-019343STR,1/31/2019,Pending,STR,431 Noe Street,4/4/2018,Under Review
2019-019345STR,1/31/2019,Pending,STR,1308 California Street,6/29/2019,Under Review
2019-019346STR,1/31/2019,Pending,STR,1151 Castro Street,3/20/2019,Under Review
2019-019353STR,1/31/2019,Pending,STR,625 8th Street,9/11/2018,Under Review
2019-019359STR,1/31/2019,Pending,STR,2132 24th Street,1/16/2018,Under Review
2019-019362STR,1/31/2019,Pending,STR,720 Diamond Street,1/17/2018,Under Review
2019-019363STR,1/31/2019,Pending,STR,1440 Valencia Street,2/19/2019,Under Review
2019-019365STR,1/31/2019,Pending,STR,855 Brannan Street Unit 352,2/17/2019,Under Review
2019-020460STR,1/31/2019,Pending,STR,818 Hayes Street Unit 3,6/25/2019,Accepted
