RECORD ID,SET ID,RECORD NAME,RECORD OPEN DATE
MDM150,201 2ND STREET BILLING,589 HOWARD ST,12/17/2015
KID9,ADCO SIGNS,80 DUBOCE ST,12/17/2015
MDM152,ADCO SIGNS,3039 SAN BRUNO AVE,12/17/2015
ORIG1251,ADCO SIGNS,80 DUBOCE AVE,12/17/2015
ORIG1342,ADCO SIGNS,74 OTIS ST,12/17/2015
MDM124,ALLEN INVESTMENTS BILLING,1575 SOUTH VAN NESS AVE,12/17/2015
ORIG763,BARRETT BLOCK PARTNERS BILLING,425 04TH ST,12/18/2015
ORIG764,BARRETT BLOCK PARTNERS BILLING,425 04TH ST,12/18/2015
ORIG74,BCSP 201 CAL PROPERTY LP,201 CALIFORNIA ST,12/18/2015
MDM49,BECK BILLING,60 OAK GROVE ST,12/17/2015
KES72,BIG OUTDOOR BILLING,1398 BRYANT ST,12/17/2015
MDM33,BIG OUTDOOR BILLING,1516 FOLSOM ST,12/17/2015
ORIG1,BIG OUTDOOR BILLING,550 BEACH ST,12/17/2015
ORIG104,BIG OUTDOOR BILLING,236 POWELL ST,12/17/2015
ORIG114,BIG OUTDOOR BILLING,140 ELLIS ST,12/17/2015
ORIG519,BIG OUTDOOR BILLING,250 14TH ST,12/17/2015
MDM47,CAL PAC BULLETINS BILLING,474 05TH ST,12/17/2015
MDM48,CAL PAC BULLETINS BILLING,474 05TH ST,12/17/2015
EKC58,CAPITOL OUTDOOR BILLING,229 08TH ST,12/17/2015
ORIG1128,CAPITOL OUTDOOR BILLING,4680 MISSION ST,12/17/2015
ORIG157,CAPITOL OUTDOOR BILLING,2845 VAN NESS AVE,12/17/2015
ORIG175,CAPITOL OUTDOOR BILLING,1994 UNION ST,12/17/2015
ORIG176,CAPITOL OUTDOOR BILLING,1994 UNION ST,12/17/2015
ORIG177,CAPITOL OUTDOOR BILLING,2048 UNION ST,12/17/2015
ORIG192,CAPITOL OUTDOOR BILLING,2001 VAN NESS AVE,12/17/2015
ORIG230,CAPITOL OUTDOOR BILLING,851 OFARRELL ST,12/17/2015
ORIG33,CAPITOL OUTDOOR BILLING,633 BATTERY ST,12/17/2015
ORIG34,CAPITOL OUTDOOR BILLING,712 SANSOME ST,12/17/2015
ORIG453,CAPITOL OUTDOOR BILLING,1375 MISSION ST,12/17/2015
ORIG454,CAPITOL OUTDOOR BILLING,113 10TH ST,12/17/2015
ORIG489,CAPITOL OUTDOOR BILLING,1401 FOLSOM ST,12/17/2015
ORIG506,CAPITOL OUTDOOR BILLING,465 10TH ST,12/17/2015
ORIG724,CAPITOL OUTDOOR BILLING,397 08TH ST,12/18/2015
ORIG782,CAPITOL OUTDOOR BILLING,555 02ND ST,12/18/2015
ORIG794,CAPITOL OUTDOOR BILLING,504 06TH ST,12/18/2015
ORIG821,CAPITOL OUTDOOR BILLING,650 02ND ST,12/18/2015
ORIG831,CAPITOL OUTDOOR BILLING,101 UTAH ST,12/18/2015
ORIG877,CAPITOL OUTDOOR BILLING,1069 PENNSYLVANIA AVE,12/18/2015
EKC50,CHL INTERNATIONAL ASSOCIATES BILLING,120 ELLIS ST,12/17/2015
EKC2,CITY OUTDOOR HOLDINGS BILLING,1745 MARKET ST,12/17/2015
ORIG126,CITY OUTDOOR HOLDINGS BILLING,136 TAYLOR ST,12/17/2015
ORIG6,CITY OUTDOOR HOLDINGS BILLING,383 BAY ST,12/17/2015
ORIG672,CITY OUTDOOR HOLDINGS BILLING,1086 FOLSOM ST,12/18/2015
ORIG796,CITY OUTDOOR HOLDINGS BILLING,885 BRYANT ST,12/18/2015
CL94,CLASSIC SIGN SOLUTIONS BILLING,6404 03RD ST,12/17/2015
2020-000657GAS,CLEAR CHANNEL OUTDOOR BILLING,2525 Lombard St,1/15/2020
2020-000659GAS,CLEAR CHANNEL OUTDOOR BILLING,1700 Noriega St,1/15/2020
JPL115,CLEAR CHANNEL OUTDOOR BILLING,574 03RD ST,12/17/2015
JPL116,CLEAR CHANNEL OUTDOOR BILLING,3201 DIVISADERO ST,12/17/2015
JPL121,CLEAR CHANNEL OUTDOOR BILLING,206 05TH ST,12/17/2015
JPL122,CLEAR CHANNEL OUTDOOR BILLING,610 BRANNAN ST,12/17/2015
JPL123,CLEAR CHANNEL OUTDOOR BILLING,995 FOLSOM ST,12/17/2015
JPL131,CLEAR CHANNEL OUTDOOR BILLING,928 VALENCIA ST,12/17/2015
KAB43,CLEAR CHANNEL OUTDOOR BILLING,470 BROADWAY,12/17/2015
KAB61,CLEAR CHANNEL OUTDOOR BILLING,801 OFARRELL ST,12/17/2015
KAB70,CLEAR CHANNEL OUTDOOR BILLING,700 VAN NESS AVE,12/17/2015
KAB71,CLEAR CHANNEL OUTDOOR BILLING,700 VAN NESS AVE,12/17/2015
KAB85,CLEAR CHANNEL OUTDOOR BILLING,552 COLUMBUS AVE,12/17/2015
KAB98,CLEAR CHANNEL OUTDOOR BILLING,5173 MISSION ST,12/17/2015
KES45,CLEAR CHANNEL OUTDOOR BILLING,461 02ND ST,12/17/2015
MDM17,CLEAR CHANNEL OUTDOOR BILLING,165 SOUTH VAN NESS AVE,12/17/2015
MDM56,CLEAR CHANNEL OUTDOOR BILLING,610 BRANNAN ST,12/17/2015
MDM59,CLEAR CHANNEL OUTDOOR BILLING,689 03RD ST,12/17/2015
MDM61,CLEAR CHANNEL OUTDOOR BILLING,599 08TH ST,12/17/2015
MDM64,CLEAR CHANNEL OUTDOOR BILLING,580 KING ST,12/17/2015
MDM65,CLEAR CHANNEL OUTDOOR BILLING,580 KING ST,12/17/2015
MDM88,CLEAR CHANNEL OUTDOOR BILLING,3480 CESAR CHAVEZ ST,12/17/2015
MDM89,CLEAR CHANNEL OUTDOOR BILLING,3480 CESAR CHAVEZ ST,12/17/2015
MDM90,CLEAR CHANNEL OUTDOOR BILLING,3178 MISSION ST,12/17/2015
ORIG10,CLEAR CHANNEL OUTDOOR BILLING,470 BROADWAY,12/17/2015
ORIG1001,CLEAR CHANNEL OUTDOOR BILLING,2985 SAN BRUNO AVE,12/17/2015
ORIG1002,CLEAR CHANNEL OUTDOOR BILLING,2985 SAN BRUNO AVE,12/17/2015
ORIG1012,CLEAR CHANNEL OUTDOOR BILLING,3275 SAN BRUNO AVE,12/17/2015
ORIG1013,CLEAR CHANNEL OUTDOOR BILLING,3275 SAN BRUNO AVE,12/17/2015
ORIG1014,CLEAR CHANNEL OUTDOOR BILLING,643 PRECITA AVE,12/17/2015
ORIG1022,CLEAR CHANNEL OUTDOOR BILLING,2121 OAKDALE AVE,12/17/2015
ORIG1023,CLEAR CHANNEL OUTDOOR BILLING,2121 OAKDALE AVE,12/17/2015
ORIG1024,CLEAR CHANNEL OUTDOOR BILLING,2160 OAKDALE AVE,12/17/2015
ORIG1025,CLEAR CHANNEL OUTDOOR BILLING,2160 OAKDALE AVE,12/17/2015
ORIG1034,CLEAR CHANNEL OUTDOOR BILLING,1615 CORTLAND AVE,12/17/2015
ORIG1036,CLEAR CHANNEL OUTDOOR BILLING,1612 CORTLAND AVE,12/17/2015
ORIG1039,CLEAR CHANNEL OUTDOOR BILLING,550 BAYSHORE BLVD,12/17/2015
ORIG1048,CLEAR CHANNEL OUTDOOR BILLING,790 SILVER AVE,12/17/2015
ORIG1054,CLEAR CHANNEL OUTDOOR BILLING,4627 MISSION ST,12/17/2015
ORIG1055,CLEAR CHANNEL OUTDOOR BILLING,4627 MISSION ST,12/17/2015
ORIG1062,CLEAR CHANNEL OUTDOOR BILLING,2550 BAYSHORE BLVD,12/17/2015
ORIG1064,CLEAR CHANNEL OUTDOOR BILLING,2610 BAYSHORE BLVD,12/17/2015
ORIG1073,CLEAR CHANNEL OUTDOOR BILLING,5137 MISSION ST,12/17/2015
ORIG1074,CLEAR CHANNEL OUTDOOR BILLING,5259 MISSION ST,12/17/2015
ORIG1097,CLEAR CHANNEL OUTDOOR BILLING,3480 CESAR CHAVEZ ST,12/17/2015
ORIG1098,CLEAR CHANNEL OUTDOOR BILLING,3480 CESAR CHAVEZ ST,12/17/2015
ORIG1099,CLEAR CHANNEL OUTDOOR BILLING,3001 MISSION ST,12/17/2015
ORIG1102,CLEAR CHANNEL OUTDOOR BILLING,3390 CESAR CHAVEZ ST,12/17/2015
ORIG1105,CLEAR CHANNEL OUTDOOR BILLING,3158 MISSION ST,12/17/2015
ORIG1107,CLEAR CHANNEL OUTDOOR BILLING,3204 MISSION ST,12/17/2015
ORIG1108,CLEAR CHANNEL OUTDOOR BILLING,3232 MISSION ST,12/17/2015
ORIG111,CLEAR CHANNEL OUTDOOR BILLING,691 OFARRELL ST,12/17/2015
ORIG1110,CLEAR CHANNEL OUTDOOR BILLING,3342 MISSION ST,12/17/2015
ORIG1111,CLEAR CHANNEL OUTDOOR BILLING,3342 MISSION ST,12/17/2015
ORIG1116,CLEAR CHANNEL OUTDOOR BILLING,584 BOSWORTH ST,12/17/2015
ORIG1121,CLEAR CHANNEL OUTDOOR BILLING,4100 MISSION ST,12/17/2015
ORIG1123,CLEAR CHANNEL OUTDOOR BILLING,1301 OCEAN AVE,12/17/2015
ORIG1124,CLEAR CHANNEL OUTDOOR BILLING,295 OCEAN AVE,12/17/2015
ORIG1133,CLEAR CHANNEL OUTDOOR BILLING,5500 MISSION ST,12/17/2015
ORIG1159,CLEAR CHANNEL OUTDOOR BILLING,735 MONTGOMERY ST,12/17/2015
ORIG1164,CLEAR CHANNEL OUTDOOR BILLING,1570 MARKET ST,12/17/2015
ORIG1178,CLEAR CHANNEL OUTDOOR BILLING,610 BRANNAN ST,12/17/2015
ORIG1181,CLEAR CHANNEL OUTDOOR BILLING,470 BROADWAY,12/17/2015
ORIG1184,CLEAR CHANNEL OUTDOOR BILLING,1201 COLUMBUS AVE,12/17/2015
ORIG1186,CLEAR CHANNEL OUTDOOR BILLING,125 06TH ST,12/17/2015
ORIG1188,CLEAR CHANNEL OUTDOOR BILLING,711 22ND ST,12/17/2015
ORIG120,CLEAR CHANNEL OUTDOOR BILLING,373 ELLIS ST,12/17/2015
ORIG139,CLEAR CHANNEL OUTDOOR BILLING,2901 VAN NESS AVE,12/17/2015
ORIG14,CLEAR CHANNEL OUTDOOR BILLING,366 COLUMBUS AVE,12/17/2015
ORIG141,CLEAR CHANNEL OUTDOOR BILLING,2084 CHESTNUT ST,12/17/2015
ORIG147,CLEAR CHANNEL OUTDOOR BILLING,2101 CHESTNUT ST,12/17/2015
ORIG148,CLEAR CHANNEL OUTDOOR BILLING,2101 CHESTNUT ST,12/17/2015
ORIG154,CLEAR CHANNEL OUTDOOR BILLING,1556 LOMBARD ST,12/17/2015
ORIG161,CLEAR CHANNEL OUTDOOR BILLING,1501 LOMBARD ST,12/17/2015
ORIG17,CLEAR CHANNEL OUTDOOR BILLING,1400 POWELL ST,12/17/2015
ORIG18,CLEAR CHANNEL OUTDOOR BILLING,754 BROADWAY,12/17/2015
ORIG184,CLEAR CHANNEL OUTDOOR BILLING,2101 POLK ST,12/17/2015
ORIG185,CLEAR CHANNEL OUTDOOR BILLING,2101 POLK ST,12/17/2015
ORIG189,CLEAR CHANNEL OUTDOOR BILLING,2037 POLK ST,12/17/2015
ORIG19,CLEAR CHANNEL OUTDOOR BILLING,770 BROADWAY,12/17/2015
ORIG190,CLEAR CHANNEL OUTDOOR BILLING,2128 VAN NESS AVE,12/17/2015
ORIG193,CLEAR CHANNEL OUTDOOR BILLING,2020 VAN NESS AVE,12/17/2015
ORIG194,CLEAR CHANNEL OUTDOOR BILLING,2020 VAN NESS AVE,12/17/2015
ORIG201,CLEAR CHANNEL OUTDOOR BILLING,1561 POLK ST,12/17/2015
ORIG205,CLEAR CHANNEL OUTDOOR BILLING,1488 PINE ST,12/17/2015
ORIG209,CLEAR CHANNEL OUTDOOR BILLING,1437 POLK ST,12/17/2015
ORIG212,CLEAR CHANNEL OUTDOOR BILLING,1501 VAN NESS AVE,12/17/2015
ORIG213,CLEAR CHANNEL OUTDOOR BILLING,2435 CALIFORNIA ST,12/17/2015
ORIG214,CLEAR CHANNEL OUTDOOR BILLING,2435 CALIFORNIA ST,12/17/2015
ORIG216,CLEAR CHANNEL OUTDOOR BILLING,1301 POLK ST,12/17/2015
ORIG217,CLEAR CHANNEL OUTDOOR BILLING,1430 VAN NESS AVE,12/17/2015
ORIG229,CLEAR CHANNEL OUTDOOR BILLING,801 OFARRELL ST,12/17/2015
ORIG23,CLEAR CHANNEL OUTDOOR BILLING,401 BROADWAY,12/17/2015
ORIG231,CLEAR CHANNEL OUTDOOR BILLING,920 VAN NESS AVE,12/17/2015
ORIG235,CLEAR CHANNEL OUTDOOR BILLING,725 ELLIS ST,12/17/2015
ORIG236,CLEAR CHANNEL OUTDOOR BILLING,725 ELLIS ST,12/17/2015
ORIG24,CLEAR CHANNEL OUTDOOR BILLING,425 BROADWAY,12/17/2015
ORIG240,CLEAR CHANNEL OUTDOOR BILLING,690 VAN NESS AVE,12/17/2015
ORIG243,CLEAR CHANNEL OUTDOOR BILLING,435 HAYES ST,12/17/2015
ORIG252,CLEAR CHANNEL OUTDOOR BILLING,1870 MARKET ST,12/17/2015
ORIG258,CLEAR CHANNEL OUTDOOR BILLING,3201 DIVISADERO ST,12/17/2015
ORIG259,CLEAR CHANNEL OUTDOOR BILLING,2532 LOMBARD ST,12/17/2015
ORIG263,CLEAR CHANNEL OUTDOOR BILLING,2498 LOMBARD ST,12/17/2015
ORIG266,CLEAR CHANNEL OUTDOOR BILLING,2499 LOMBARD ST,12/17/2015
ORIG267,CLEAR CHANNEL OUTDOOR BILLING,2499 LOMBARD ST,12/17/2015
ORIG269,CLEAR CHANNEL OUTDOOR BILLING,2505 LOMBARD ST,12/17/2015
ORIG275,CLEAR CHANNEL OUTDOOR BILLING,3195 CALIFORNIA ST,12/17/2015
ORIG276,CLEAR CHANNEL OUTDOOR BILLING,3195 CALIFORNIA ST,12/17/2015
ORIG278,CLEAR CHANNEL OUTDOOR BILLING,1854 DIVISADERO ST,12/17/2015
ORIG290,CLEAR CHANNEL OUTDOOR BILLING,1839 IRVING ST,12/17/2015
ORIG293,CLEAR CHANNEL OUTDOOR BILLING,717 DIVISADERO ST,12/17/2015
ORIG300,CLEAR CHANNEL OUTDOOR BILLING,643 DIVISADERO ST,12/17/2015
ORIG305,CLEAR CHANNEL OUTDOOR BILLING,443 DIVISADERO ST,12/17/2015
ORIG306,CLEAR CHANNEL OUTDOOR BILLING,443 DIVISADERO ST,12/17/2015
ORIG318,CLEAR CHANNEL OUTDOOR BILLING,388 32ND AVE,12/17/2015
ORIG319,CLEAR CHANNEL OUTDOOR BILLING,388 32ND AVE,12/17/2015
ORIG326,CLEAR CHANNEL OUTDOOR BILLING,3754 GEARY BLVD,12/17/2015
ORIG329,CLEAR CHANNEL OUTDOOR BILLING,4040 GEARY BLVD,12/17/2015
ORIG331,CLEAR CHANNEL OUTDOOR BILLING,451 CLEMENT ST,12/17/2015
ORIG332,CLEAR CHANNEL OUTDOOR BILLING,4228 GEARY BLVD,12/17/2015
ORIG337,CLEAR CHANNEL OUTDOOR BILLING,308 08TH AVE,12/17/2015
ORIG341,CLEAR CHANNEL OUTDOOR BILLING,5801 GEARY BLVD,12/17/2015
ORIG342,CLEAR CHANNEL OUTDOOR BILLING,5856 GEARY BLVD,12/17/2015
ORIG348,CLEAR CHANNEL OUTDOOR BILLING,6340 GEARY BLVD,12/17/2015
ORIG349,CLEAR CHANNEL OUTDOOR BILLING,3055 CLEMENT ST,12/17/2015
ORIG358,CLEAR CHANNEL OUTDOOR BILLING,4751 GEARY BLVD,12/17/2015
ORIG36,CLEAR CHANNEL OUTDOOR BILLING,768 SANSOME ST,12/17/2015
ORIG367,CLEAR CHANNEL OUTDOOR BILLING,695 35TH AVE,12/17/2015
ORIG369,CLEAR CHANNEL OUTDOOR BILLING,3950 BALBOA ST,12/17/2015
ORIG37,CLEAR CHANNEL OUTDOOR BILLING,768 SANSOME ST,12/17/2015
ORIG370,CLEAR CHANNEL OUTDOOR BILLING,4001 BALBOA ST,12/17/2015
ORIG371,CLEAR CHANNEL OUTDOOR BILLING,3601 BALBOA ST,12/17/2015
ORIG38,CLEAR CHANNEL OUTDOOR BILLING,768 SANSOME ST,12/17/2015
