"PARENT_ID","RECORD NAME","CHILD RECORD ID","PROCESS NAME","TASK","STATUS","ACTION BY USERID.","DATE STATUS","HOURS SPENT","BILLING RATE","COMMENTS","TIMEACCOUNTING_RECID"
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/9/2022 0:00:00,1.00,"224.8244","internal meeting to discuss geotechnical report. Meeting with DBI",
"2005.0759ENV-02","725-765 Harrison Street","2005.0759ECE-02","PLN_ENV","Analysis","Note","JGREVING",5/18/2022 0:00:00,0.50,"189.6284","follow up on preservation question",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081ETR","PLN_ENV","Analysis","Note","SGEORGE",5/19/2022 0:00:00,9.00,"180.579","Final Admin File Review and Upload; Post-Hearing MMRP Environmental Monitoring Processing; Project Case Closeout",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081ETR","PLN_ENV","Analysis","Note","SGEORGE",5/10/2022 0:00:00,4.00,"180.579","NOD Distribution; Case Closeout; MMRP Environmental Monitoring Team Next Steps",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081EEA","PLN_TECHNICAL STUDIES","Archeological","Note","KLENTZ",5/11/2022 0:00:00,0.25,"172.0118","Answering Sherie's question",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081EEA","PLN_ENV","Analysis","Note","SGEORGE",5/19/2022 0:00:00,9.00,"180.579","Final Admin File Review and Upload; Post-Hearing MMRP Environmental Monitoring Processing; Project Case Closeout",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081EEA","PLN_ENV","Analysis","Note","SGEORGE",5/10/2022 0:00:00,4.00,"180.579","NOD Distribution; Case Closeout; MMRP Environmental Monitoring Team Next Steps",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_TECHNICAL STUDIES","Historical Review","Note","AVANDERS",5/9/2022 0:00:00,4.00,"224.8244","Work for week: meeting on HR review, coordination, and document review",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","MWEBSTER",5/16/2022 0:00:00,2.50,"173.1986","469 Stevenson data and mapping (193);",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/20/2022 0:00:00,0.50,"224.8244","meet with geotechnical consultant",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/19/2022 0:00:00,1.00,"224.8244","meet with geotechnical firms, internal coordination",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/18/2022 0:00:00,2.50,"224.8244","multiple internal meetings- briefing with ERO, coordination with staff, meet with geotechnical firms.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/17/2022 0:00:00,1.00,"224.8244","review and file email correspondence.",
"2018-013877ENV","2588 MISSION ST","2018-013877ETR","PLN_ENV","Analysis","Note","KZUSHI",5/9/2022 0:00:00,0.50,"189.6284","Meeting with the sponsor and current planning",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/12/2022 0:00:00,2.50,"224.8244","two meetings. Review part A comments and review schedule.",
"2018-013877ENV","2588 MISSION ST","2018-013877ETR","PLN_ENV","Analysis","Note","KZUSHI",5/18/2022 0:00:00,0.25,"189.6284","2019-020115ENV",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JGREVING",5/19/2022 0:00:00,1.50,"189.6284","Follow up on meeting",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JGREVING",5/12/2022 0:00:00,0.75,"189.6284","Follow up on meeting w Page and Turnbull",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JDELUMO",5/12/2022 0:00:00,5.00,"189.6284","PM; internal coordination meetings; meeting with displacement consultant and follow up; coordination with CEQA consultant; work on Part A",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JDELUMO",5/10/2022 0:00:00,5.50,"189.6284","PM; coordination; document drafting; meetings",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JDELUMO",5/9/2022 0:00:00,1.50,"189.6284","Internal coordination; call with DBI; call with consultant",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/20/2022 0:00:00,0.75,"224.8244","Coordination for call and follow up regarding geotechnical task.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/19/2022 0:00:00,0.75,"224.8244","Participate in call re geotechnical tasks; follow up research.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/18/2022 0:00:00,1.00,"224.8244","Coordination for meetings; meet with geotechnical firms regarding peer review memo.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/17/2022 0:00:00,0.50,"224.8244","Follow up email to city atty; emails to coordinate meetings with geotech consultants.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/16/2022 0:00:00,0.50,"224.8244","Meet with geotechnical consultant and environmental review team regarding task.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/12/2022 0:00:00,0.25,"224.8244","Coordination with J Delumo regarding status and next review tasks.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/11/2022 0:00:00,1.00,"224.8244","Review local building code and refine comments on draft geotechnical memo.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","DDWYER",5/10/2022 0:00:00,0.50,"224.8244","Emails regarding contact information for DBI list of geotechnical engineers; review draft language for potential peer review research contact information.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Note","JRANGE",5/16/2022 0:00:00,1.50,"224.8244","Three separate meetings: check in with planner, meeting with geotech consultant, discuss data needs with consultant for displacement analysis.",
"2018-016691ENV","301 MISSION ST","2018-016691ETR","PLN_ENV","Analysis","Note","DDWYER",5/16/2022 0:00:00,0.50,"224.8244","Review materials; meet with K Zushi; coordination with D Sider.",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_TECHNICAL STUDIES","Archeological","Note","KLENTZ",5/9/2022 0:00:00,1.50,"172.0118","Responding to question from Jen. Drafting and sending out TCR letter",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Noticing","Note","VBYRD",5/9/2022 0:00:00,1.50,"114.3037","Sent tribal notification 5/9/2022",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Supervisor Review","JRANGE",5/11/2022 0:00:00,5.00,"224.8244","Review AQTR",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Supervisor Review","JRANGE",5/10/2022 0:00:00,5.25,"224.8244","review AQ section",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Note","JRANGE",5/17/2022 0:00:00,1.00,"224.8244","review and organize email correspondence.",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Note","JRANGE",5/12/2022 0:00:00,3.00,"224.8244","review alternatives section, meet with env. planner",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Note","JRANGE",5/11/2022 0:00:00,1.50,"224.8244","check in with planner and review email coorespondence",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Internal Meeting","JRANGE",5/16/2022 0:00:00,0.50,"224.8244","biweekly team meeting",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Internal Meeting","JRANGE",5/13/2022 0:00:00,0.50,"224.8244","meet with ep planner to discuss status",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EIR","PLN_ENV","Analysis","Internal Meeting","JRANGE",5/10/2022 0:00:00,1.00,"224.8244","team meeting",
"2019-004110ENV-02","2675 GEARY BLVD","2019-004110EEA","PLN_ENV","Analysis","Supervisor Review","JRANGE",5/11/2022 0:00:00,5.00,"224.8244","Review AQTR",
"2018-016691ENV","301 MISSION ST","2018-016691ETR","PLN_ENV","Analysis","Note","KZUSHI",5/19/2022 0:00:00,0.25,"189.6284","Check-in with DBI",
"2018-009081ENV","2055 CHESTNUT ST","2018-009081ETR","PLN_TECHNICAL STUDIES","Archeological","Note","KLENTZ",5/11/2022 0:00:00,0.25,"172.0118","Answering Sherie's question",
"2018-016691ENV","301 MISSION ST","2018-016691ETR","PLN_ENV","Analysis","Note","DDWYER",5/19/2022 0:00:00,0.25,"224.8244","Coordination emails for status and environmental document review.",
"2017-014833ENV","469 STEVENSON ST","2017-014833ETR","PLN_ENV","Analysis","Document Review","DDWYER",5/10/2022 0:00:00,0.50,"224.8244","Review and comment on draft memo regarding distinction of project site from other tall building sites.",
"2018-016691ENV","301 MISSION ST","2018-016691ETR","PLN_ENV","Analysis","Note","DDWYER",5/10/2022 0:00:00,0.50,"224.8244","Update D Sider re project status; coordinate with K Zushi for next steps.",
"2018-016691ENV","301 MISSION ST","2018-016691EEA","PLN_ENV","Analysis","Note","KZUSHI",5/19/2022 0:00:00,0.25,"189.6284","Check-in with DBI",
"2018-016691ENV","301 MISSION ST","2018-016691EEA","PLN_ENV","Analysis","Note","KZUSHI",5/16/2022 0:00:00,0.50,"189.6284","Questions about the indicator pile",
"2018-016691ENV","301 MISSION ST","2018-016691EEA","PLN_ENV","Analysis","Note","DDWYER",5/19/2022 0:00:00,0.25,"224.8244","Coordination emails for status and environmental document review.",
"2018-016691ENV","301 MISSION ST","2018-016691EEA","PLN_ENV","Analysis","Note","DDWYER",5/16/2022 0:00:00,0.50,"224.8244","Review materials; meet with K Zushi; coordination with D Sider.",
"2018-016691ENV","301 MISSION ST","2018-016691EEA","PLN_ENV","Analysis","Note","DDWYER",5/10/2022 0:00:00,0.50,"224.8244","Update D Sider re project status; coordinate with K Zushi for next steps.",
"2018-014886ENV","535 GREEN ST","2018-014886EEC","PLN_ENV","Analysis","Note","JPOLING",5/23/2022 0:00:00,1.00,"189.6284","Reviewed TRC's revised SOW. Responded to public inquiry.",
"2018-014886ENV","535 GREEN ST","2018-014886EEC","PLN_ENV","Analysis","Note","JPOLING",5/12/2022 0:00:00,0.50,"189.6284","Communicated with Jon and Paula about project schedule, stable project description, and submittal of revised scope of work.",
"2018-014886ENV","535 GREEN ST","2018-014886EEC","PLN_ENV","Analysis","Initial Review","JPOLING",5/19/2022 0:00:00,0.50,"189.6284","Coordination/communications re TRC's scope of work and stable project description.",
"2018-014886ENV","535 GREEN ST","2018-014886EEA","PLN_ENV","Analysis","Note","JPOLING",5/23/2022 0:00:00,1.00,"189.6284","Reviewed TRC's revised SOW. Responded to public inquiry.",
"2018-014886ENV","535 GREEN ST","2018-014886EEA","PLN_ENV","Analysis","Note","JPOLING",5/12/2022 0:00:00,0.50,"189.6284","Communicated with Jon and Paula about project schedule, stable project description, and submittal of revised scope of work.",
"2018-014886ENV","535 GREEN ST","2018-014886EEA","PLN_ENV","Analysis","Initial Review","JPOLING",5/19/2022 0:00:00,0.50,"189.6284","Coordination/communications re TRC's scope of work and stable project description.",
"2018-013877ENV","2588 MISSION ST","2018-013877ETR","PLN_ENV","Analysis","Note","KZUSHI",5/18/2022 0:00:00,0.25,"189.6284","Internal coordination regarding the project description",
"2018-016691ENV","301 MISSION ST","2018-016691ETR","PLN_ENV","Analysis","Note","KZUSHI",5/16/2022 0:00:00,0.50,"189.6284","Questions about the indicator pile",
"2015-012491ENV","749 Toland Street & 2000 McKinnon Avenue","2015-012491ETR","PLN_ENV","Analysis","Internal Meeting","EWHITE",5/19/2022 0:00:00,0.50,"189.6284","Noise meeting with DPH",
