"CHILD RECORD ID","RECORD NAME"
"2005.0759ECE-02","725-765 Harrison Street"
"2009.0159ETM","One Oak Project (1500-1540 Market)"
"2009.1153ETR-02","2095 JERROLD AVE."
"2015-009704ETR","505 Brannan Street"
"2015-012491EIR","749 Toland Street & 2000 McKinnon Avenue"
"2015-012491ETR","749 Toland Street & 2000 McKinnon Avenue"
"2015-018056ETM","1296 Shotwell Street"
"2016-001059ETR","465 GROVE ST"
"2017-004557EEA","550 OFARRELL ST"
"2017-004557EEC","550 OFARRELL ST"
"2017-004557EIR","550 OFARRELL ST"
"2017-012086EEA","770 WOOLSEY ST"
"2017-012086EEC","770 WOOLSEY ST"
"2017-012086EIR","770 WOOLSEY ST"
"2017-014833EEA","469 STEVENSON ST"
"2017-014833EIR","469 STEVENSON ST"
"2017-014833ETR","469 STEVENSON ST"
"2018-009081EEA","2055 CHESTNUT ST"
"2018-009081ETR","2055 CHESTNUT ST"
"2018-013877ETR","2588 MISSION ST"
"2018-014886EEA","535 GREEN ST"
"2018-014886EEC","535 GREEN ST"
"2018-016691EEA","301 MISSION ST"
"2018-016691ETR","301 MISSION ST"
"2019-004110EEA","2675 GEARY BLVD"
"2019-004110EIR","2675 GEARY BLVD"
"2019-004879EIR","PORT: USACE Flooding Project"
"2019-013490ETM","DPW: Citywide Maintenance and Repair Program"
"2019-016206EEC","REC & PARK: 75 Hagiwara Tea Garden Dr - Rehabilitate Pagoda"
"2019-016230ETM","Housing Element Update 2022"
"2019-019963EEA","148, 152, 156, 160 & 166 Kensington Way"
"2019-021810EEA","729 BUSH ST"
"2019-022850EEA","1101 SUTTER ST"
"2019-022850EEC","1101 SUTTER ST"
"2019-022850EIR","1101 SUTTER ST"
"2019-023037ETM","PORT: Port of San Francisco 2019 Draft Waterfront Plan"
"2020-005253ECD","3260 26TH ST"
"2020-006488ECD","580 MINNA ST"
"2020-006679EEA","1196 COLUMBUS AVE/2568 and 2588 JONES STREET"
"2020-006887EIR","710 McAllister Street - Freedom West"
"2020-006887ETR","710 McAllister Street - Freedom West"
"2020-007168EEA","2 LAKE ST"
"2020-007168EEC","2 LAKE ST"
"2020-008189ECD","2800 03RD ST"
"2020-010684ETR","1313 ARMSTRONG AVE"
"2021-001111ECD","640 CESAR CHAVEZ ST"
"2021-001111EEC","640 CESAR CHAVEZ ST"
"2021-001565ECE","212 RITCH ST"
"2021-001922EEA","3150 CALIFORNIA ST"
"2021-001922ETR","3150 CALIFORNIA ST"
"2021-003762ECD","395 03RD ST"
"2021-003762ETR","395 03RD ST"
"2021-007313EEA","80 JULIAN AVE"
"2021-012562ETR","77 BEALE ST"
"2021-012569EIA","1 La Avanzada Street"
"2022-000604ETM","SFPUC: BDPL 3& 4 Railroad Crossing"
"2022-003300EEC","SFRPD: Muriel Leff Mini Park at 420 7th Avenue"
