"Comment","Recordid","Date"
"mailed out renewal ","2015-013337STR","2018-01-29 17:19:45"
"Received a hard copy of 2019-Q2 report","2016-002390STR","2019-07-30 11:46:59"
"May approve - no app & pmt","2016-002390STR","2020-06-02 20:53:54"
"From: Donna Shibata <dshibata@stanfordalumni.org>  Sent: Saturday, March 28, 2020 2:43 PM To: CPC-ShortTermRentals <shorttermrentals@sfgov.org> Subject: Shibata/Garfinkel Notice that will no longer host short-term rentals effective 3-28-20  Dear Office of Short-Term Rentals,  I am writing to notify you that we will no longer host short-term rentals effective March 28, 2020.   1.	STR certificate number:  STR-0001233 2.	Street address: 4 Lexington Street, San Francisco, CA 94110 3.	Full name:  Donna Shibata and Douglas Garfinkel Thank you, Donna Shibata ","2016-001535STR","2020-03-30 16:04:47"
"Certificate mailed - 5/24/2017","2015-002909STR","2017-05-23 16:55:41"
"emailed hard copy qr","2015-002909STR","2019-01-17 15:25:34"
"1.	It appears your 2 year certificate expired with the Office of Short-Term Rentals. Please note that this is different from the Business Registration Certificate from the SF Treasurer & Tax Collector (which needs to be renewed yearly).  Renewals are not automatic. Hosts are responsible for submitting renewal applications no earlier than 30 days before expiration. 2.	You may re-apply to host short-term rentals, but a whole NEW application and application fee (the older application fee of $50 no longer applies). You may only apply if you actually live in the same dwelling unit for at least 275 nights per year (this is an important issue for us). If the property features multiple legal dwelling units, you may only host short-term rentals in the same dwelling unit where you also reside at least 275 nights per year.  3.	If you were primarily using Airbnb you should go through their website and create a new listing. As you do so, you will be prompted to apply for a short-term rental certificate through Airbnb's website. This is recommended because once you apply you should be able to legally host again while your application is pending review.   If you apply through our website or in-person, it will likely take longer (and is more complicated) to get your listing re-enabled. 4.	Given the volume of applications, and a number of challenges, we cannot given an estimate on timing for final approval. That is why it is recommended that you apply through Airbnb's website, if you are primarily using Airbnb to host. If you are using another service you can apply through our website at shorttermrentals.sfgov.org  Office of Short Term Rentals  | City & County of San Francisco  shorttermrentals@sfgov.org     |  (415) 575-9179 1650 Mission Street, 4th Floor, San Francisco, CA 94103 https://shorttermrentals.sfgov.org | Learn More About Registration Here ","2016-000337STR","2019-02-28 15:57:00"
"Revoked by staff","2016-004441STR","2018-05-14 16:41:38"
"mailed renewal ","2016-000657STR","2018-04-24 12:38:40"
"March reapply - no app in SD (Michelle)","2016-000657STR","2020-03-30 14:32:54"
"REvoked","2016-004132STR","2018-06-19 17:23:08"
"left a voicemail for Tom to call me back on 21 August 2017 at 2P","2015-016621STR","2017-08-21 13:54:34"
"Thanks. I no longer intend to do any short term rentals. Do I need to do anything to close the account?   Ken  ","2016-001165STR","2020-02-28 15:54:16"
"Certificate mailed - 6/27/2017","2015-003431STR","2017-06-26 16:34:13"
"June reapply - missing 4 QRs / new app in PPTS","2015-003431STR","2019-10-01 08:01:21"
"https://www.vrbo.com/385262","2016-000847STR","2018-06-11 15:26:59"
"https://www.airbnb.com/rooms/1177310 illegal unit complaint from neighbors","2016-000847STR","2019-02-13 21:57:57"
"mailed renewal","2016-000907STR","2018-04-19 17:06:00"
"Quarterly Short-term Rental Reporting Form only featured one stay, from January 1 to March 31","2016-000943STR","2019-06-21 09:51:21"
"Received a hard copy of 2019-Q2 report","2016-000943STR","2019-08-05 08:47:57"
"Received a hard copy of 2019-Q3 report","2016-000943STR","2019-11-05 08:22:58"
"Received a hard copy of 2019-Q4 report","2016-000943STR","2020-01-31 15:46:17"
"Received hard copy of 2020-Q1 report","2016-000943STR","2020-04-15 15:23:21"
"From: Chris Van Pelt <vanpelt@gmail.com>  Sent: Tuesday, August 06, 2019 3:06 PM To: Martin, Milton (CPC) <milton.martin@sfgov.org> Subject: Re: Your Short-Term Rental Certificate  Hello,   I am no longer providing short term rentals at 32 Cunningham Pl, San Francisco, Ca 94110.  I moved a few months ago.  Thanks.  Chris ","2015-004625STR","2019-08-15 13:30:06"
"Feb Sh2-Approve - no app & no pmt","2015-016063STR","2020-03-12 10:39:27"
"Submitted a new app & pmt in SD on 4/01/20","2015-016063STR","2020-04-14 14:02:02"
"Certificate mailed 5/22/2017","2015-004420STR","2017-05-22 13:40:49"
"New app in SD","2015-009994STR","2019-11-01 13:37:22"
"https://www.airbnb.com/users/show/56386192","2016-000807STR","2018-03-12 15:18:00"
"mailed renewal ","2016-000807STR","2018-04-19 16:36:36"
"March reapply - no app in SD (Michelle)","2016-000807STR","2020-03-30 14:37:15"
"Certificate mailed - 7/25/2017","2015-003864STR","2017-07-24 14:37:34"
"SUSPENDED due to building complaint","2015-003864STR","2018-05-30 13:19:31"
"Received a hard copy of 2019-Q3 report while waiting reapply app pending","2015-003864STR","2019-10-29 09:18:59"
"Feb Sh2-Reapply - no app & no pmt","2015-015663STR","2020-03-12 10:47:33"
"https://www.airbnb.com/rooms/3201044","2015-005675STR","2017-12-11 17:10:37"
"Accepted hard copy of 2019-Q4 report","2015-005675STR","2020-02-19 14:50:23"
"mailed renewal ","2015-018483STR","2018-03-02 17:13:01"
"Received 2019-Q3 report for - reapply app / pending cert","2015-004177STR","2019-11-21 10:58:19"
