RECORD_ID,REGISTER,STR
2020-999999STR,STR-0000000,0
2015-001070STR,STR-0000001,1
2015-001104STR,STR-0000002,2
2015-001110STR,STR-0000003,3
2015-001200STR,STR-0000004,4
2015-001312STR,STR-0000005,5
2015-001303STR,STR-0000006,6
2015-001301STR,STR-0000007,7
2015-001305STR,STR-0000008,8
2015-001343STR,STR-0000009,9
2015-001285STR,STR-0000010,10
2015-001441STR,STR-0000011,11
2015-001344STR,STR-0000012,12
2015-001358STR,STR-0000013,13
2015-001161STR,STR-0000014,14
2015-001177STR,STR-0000015,15
2015-001069STR,STR-0000016,16
2015-001150STR,STR-0000017,17
2015-001141STR,STR-0000018,18
2015-001153STR,STR-0000019,19
2015-001410STR,STR-0000020,20
2015-001397STR,STR-0000021,21
2015-001296STR,STR-0000022,22
2015-001223STR,STR-0000023,23
2015-001206STR,STR-0000024,24
2015-001287STR,STR-0000025,25
2015-001311STR,STR-0000026,26
2015-001147STR,STR-0000027,27
2015-001079STR,STR-0000028,28
2015-001087STR,STR-0000029,29
2015-001142STR,STR-0000030,30
2015-001154STR,STR-0000031,31
2015-001426STR,STR-0000032,32
2015-001430STR,STR-0000033,33
2015-001499STR,STR-0000034,34
2015-001493STR,STR-0000035,35
2015-001471STR,STR-0000036,36
2015-001474STR,STR-0000037,37
2015-001180STR,STR-0000038,38
2015-001160STR,STR-0000039,39
2015-001461STR,STR-0000040,40
2015-001616STR,STR-0000041,41
2015-001589STR,STR-0000042,42
2015-001649STR,STR-0000043,43
2015-001767STR,STR-0000044,44
2015-001750STR,STR-0000045,45
2015-001861STR,STR-0000046,46
2015-001765STR,STR-0000047,47
2015-001783STR,STR-0000048,48
2015-001817STR,STR-0000049,49
2015-001736STR,STR-0000050,50
2015-001333STR,STR-0000051,51
2015-001291STR,STR-0000052,52
2015-001102STR,STR-0000053,53
2015-001112STR,STR-0000054,54
2015-001336STR,STR-0000055,55
2015-001096STR,STR-0000056,56
2015-001490STR,STR-0000057,57
2015-001510STR,STR-0000058,58
2015-001528STR,STR-0000059,59
2015-001569STR,STR-0000060,60
2015-001209STR,STR-0000061,61
2015-001086STR,STR-0000062,62
2015-001625STR,STR-0000063,63
2015-001856STR,STR-0000064,64
2015-001794STR,STR-0000065,65
2015-001444STR,STR-0000066,66
2015-001760STR,STR-0000067,67
2015-001920STR,STR-0000068,68
2015-001946STR,STR-0000069,69
2015-001924STR,STR-0000070,70
2015-001899STR,STR-0000071,71
2015-001279STR,STR-0000072,72
2015-001175STR,STR-0000073,73
2015-001455STR,STR-0000074,74
2015-001202STR,STR-0000075,75
2015-002324STR,STR-0000076,76
2015-002183STR,STR-0000077,77
2015-002168STR,STR-0000078,78
2015-002539STR,STR-0000079,79
2015-002219STR,STR-0000080,80
2015-001433STR,STR-0000081,81
2015-002035STR,STR-0000082,82
2015-003094STR,STR-0000083,83
2015-002707STR,STR-0000084,84
2015-002028STR,STR-0000085,85
2015-002916STR,STR-0000086,86
2015-002193STR,STR-0000087,87
2015-002187STR,STR-0000088,88
2015-002043STR,STR-0000089,89
2015-001893STR,STR-0000090,90
2015-002855STR,STR-0000091,91
2015-003135STR,STR-0000092,92
