RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
1981.001V,1/19/1981,Approved,,Approved
1981.002V,4/7/1981,Approved,,Approved
1981.003V,3/12/1981,Approved,,Approved
1981.004V,3/17/1981,Approved,,Approved
1981.005C,12/7/1989,Approved,11817,Approved
1981.005C_2,12/19/1985,Approved,10534,Approved
1981.005V,3/31/1981,Approved,,Approved
1981.006V,3/16/1981,Approved,,Approved
1981.007V,3/9/1981,Approved,,Approved
1981.008V,5/29/1981,Approved,,Approved
1981.009V,10/26/1981,Approved,,Approved
1981.010V,6/1/1981,Approved,,Approved
1981.011V,4/8/1981,Approved,,Approved
1981.012V,5/12/1981,Approved,,Approved
1981.013V,3/11/1981,Approved,,Approved
1981.014V,4/27/1981,Approved,,Approved
1981.015V,6/4/1981,Approved,,Approved
1981.016V,8/5/1981,Approved,,Approved
1981.017V,8/5/1981,Approved,,Approved
1981.018V,11/30/1981,Approved,,Approved
1981.020V,8/18/1981,Disapproved,,Disapproved
1981.021V,9/22/1981,Disapproved,,Disapproved
1981.022V,8/18/1981,Approved,,Approved
1981.023V,4/20/1981,Approved,,Approved
1981.024V,9/29/1981,Disapproved,,Disapproved
1981.025V,6/15/1981,Approved,,Approved
1981.026V,9/3/1981,Approved,,Approved
1981.027V,12/16/1981,Disapproved,,Disapproved
1981.028V,7/20/1981,Approved,,Approved
1981.029V,11/25/1981,Approved,,Approved
1981.030V,9/3/1981,Approved,,Approved
1981.031V,11/25/1981,Approved,,Approved
1981.032V,6/17/1981,Approved,,Approved
1981.033V,6/15/1981,Approved,,Approved
1981.035V,8/24/1981,Approved,,Approved
1981.036V,8/24/1981,Approved,,Approved
1981.037V,7/6/1981,Approved,,Approved
1981.101C,5/28/1981,Approved,8973,Approved
1981.104C,12/6/1984,Approved,10186,Approved
1981.104V,4/2/1982,Approved,,Approved
1981.112C,10/1/1981,Disapproved,9173,Disapproved
1981.128C,2/18/1982,Approved,9318,Approved
1981.134C,12/10/1981,Approved,9264,Approved
1981.139V,5/20/1981,Disapproved,,Disapproved
1981.144C,7/16/1981,Approved,9049,Approved
1981.147V,11/2/1981,Approved,,Approved
1981.149V,8/26/1981,Approved,,Approved
1981.151V,4/2/1982,Approved,,Approved
1981.152V,8/18/1981,Approved,,Approved
1981.153V,8/24/1981,Approved,,Approved
1981.154V,11/6/1981,Approved,,Approved
1981.159V,8/27/1981,Approved,,Approved
1981.164C,10/1/1981,Approved,9176,Approved
1981.178C,11/18/1982,Approved,9957,Approved
1981.178C,10/24/1985,Approved,,Approved
1981.180V,8/11/1981,Approved,,Approved
1981.182V,9/2/1981,Approved,,Approved
1981.194C,12/17/1981,Approved,9597,Approved
1981.195C,1/6/1983,Approved,,Approved
1981.195V,6/14/1983,Approved,,Approved
1981.197C_2,10/17/1985,Approved,10458,Approved
1981.197C_2,7/21/1988,Withdawn,,Withdawn
1981.200C,7/9/1981,Approved,9307,Approved
1981.223V,9/11/1981,Disapproved,,Disapproved
1981.224V,9/23/1981,Approved,,Approved
1981.225V,11/12/1981,Approved,,Approved
1981.226V,9/22/1981,Approved,,Approved
