RECORDID,DATESTRING,ACTION,ACTIONNUMBER,PROJECTDECISION
2000.002C,5/4/2000,Approved,,Approved
2000.002C,5/4/2000,Approved,15046,Approved
2000.005C,6/27/2002,Approved,,Approved
2000.006C,7/10/2000,Withdawn,,Withdawn
2000.007A,6/21/2000,Approved,,Approved
2000.009A,5/26/2000,Approved,,Approved
2000.009B,3/1/2001,Withdawn,,Withdawn
2000.010V,2/23/2000,Approved,,Approved
2000.011V,2/23/2000,Approved,,Approved
2000.014D,3/9/2000,Cancelled,,Cancelled
2000.015D,5/2/2000,Withdawn,,Withdawn
2000.016D,3/2/2000,Disapproved,,Disapproved
2000.016D_3,3/2/2000,Disapproved,,Disapproved
2000.016D_5,3/2/2000,Disapproved,,Disapproved
2000.016D_7,3/2/2000,Disapproved,,Disapproved
2000.016V,12/20/2000,Approved,,Approved
2000.023C,6/1/2000,Approved,15088,Approved
2000.029D,10/28/2000,Approved,,Approved
2000.030C,3/9/2000,Approved,15009,Approved
2000.035C,10/5/2000,Approved,,Approved
2000.036C,5/4/2000,Approved,,Approved
2000.037C,5/11/2000,Approved,,Approved
2000.041D,1/11/2001,Approved,,Approved
2000.042D,3/15/2001,Withdawn,,Withdawn
2000.044C,1/11/2001,Approved,,Approved
2000.045D,12/12/2000,Withdawn,,Withdawn
2000.046D,4/26/2001,Approved,,Approved
2000.049D,12/7/2000,Approved,,Approved
2000.049D_3,12/7/2000,Approved,,Approved
2000.049D_5,12/7/2000,Approved,,Approved
2000.049D_7,12/7/2000,Approved,,Approved
2000.049D_9,12/7/2000,Approved,,Approved
2000.050D,4/27/2000,Approved,,Approved
2000.063C,7/13/2000,Approved,15923,Approved
2000.064D,6/5/2001,Approved,,Approved
2000.069C,4/13/2000,Approved,,Approved
2000.072D_3,4/27/2000,Withdawn,,Withdawn
2000.074C,1/10/2002,Approved,,Approved
2000.074X,1/10/2002,Approved,,Approved
2000.092A,5/26/2000,Approved,,Approved
2000.092V,4/26/2000,Approved,,Approved
2000.097D,2/22/2001,Approved,,Approved
2000.097D_3,2/22/2001,Approved,,Approved
2000.099C,9/14/2000,Disapproved,15977,Disapproved
2000.1003C,7/31/2001,Withdawn,,Withdawn
2000.1004A,1/3/2001,Approved,,Approved
2000.1006C,6/7/2001,Approved,16171,Approved
2000.1009D,2/22/2001,Approved,,Approved
2000.1010V,11/15/2000,Approved,,Approved
2000.1011V,10/25/2000,Approved,,Approved
2000.1014D,11/9/2000,Approved,,Approved
2000.1019B,3/2/2002,Approved,,Approved
2000.101A,3/13/2000,Approved,,Approved
2000.1021A,10/20/2000,Approved,,Approved
2000.1029D,2/16/2002,Approved,,Approved
2000.1031C,2/1/2001,Approved,16083,Approved
2000.1033D,4/4/2001,Withdawn,,Withdawn
2000.1035D,11/10/2000,Withdawn,,Withdawn
2000.1037V,10/23/2000,Approved,,Approved
2000.103A,3/20/2000,Approved,,Approved
2000.1044V,11/15/2000,Approved,,Approved
2000.1047D,4/5/2001,Approved,,Approved
2000.1048A,10/24/2000,Approved,,Approved
2000.1049D,2/16/2001,Approved,,Approved
2000.104A,4/14/2000,Approved,,Approved
2000.1055A,12/21/2000,Approved,,Approved
2000.1056A,10/30/2000,Approved,,Approved
2000.1057A,10/30/2000,Approved,,Approved
2000.1058C,6/20/2002,Approved,,Approved
2000.105V,3/22/2000,Approved,,Approved
2000.1060V,11/15/2000,Disapproved,,Disapproved
2000.1061C,5/16/2002,Approved,16408,Approved
2000.1062V,11/15/2000,Approved,,Approved
2000.1064D,1/25/2001,Approved,,Approved
2000.1065V,11/15/2000,Approved,,Approved
2000.1066D,12/25/2000,Cancelled,,Cancelled
2000.1075C,3/30/2001,Withdawn,,Withdawn
2000.1078D,3/22/2001,Approved,,Approved
2000.1079V,12/20/2000,Approved,,Approved
2000.1084V,4/25/2001,Approved,,Approved
2000.1087D,1/3/2002,Withdawn,,Withdawn
2000.1090C,9/4/2003,Approved,,Approved
2000.1092C,3/2/2006,Cancelled,,Cancelled
2000.1094V,1/24/2002,Approved,,Approved
2000.1096D,3/14/2001,Withdawn,,Withdawn
2000.1099X,2/15/2001,Approved,,Approved
2000.109C,3/1/2003,Withdawn,,Withdawn
2000.109D,4/26/2000,Withdawn,,Withdawn
2000.1104C,9/23/2001,Approved,16218,Approved
2000.1105C,2/8/2001,Approved,16091,Approved
2000.1108C,3/15/2001,Approved,,Approved
2000.110D,6/9/2000,Withdawn,,Withdawn
2000.1117C,6/28/2001,Approved,16183,Approved
2000.1117V,6/28/2001,Approved,,Approved
2000.111D,4/6/2000,Approved,,Approved
2000.1123C,1/11/2001,Approved,16073,Approved
2000.1127V,12/26/2000,Approved,,Approved
2000.1128D,3/16/2001,Withdawn,,Withdawn
2000.1129V,1/30/2002,Approved,,Approved
2000.112A,3/22/2000,Approved,,Approved
2000.1130C,2/28/2002,Approved,,Approved
2000.1137V,1/26/2001,Approved,,Approved
2000.1140X,9/20/2001,Approved,,Approved
2000.1141C,7/2/2002,Approved,,Approved
2000.1148C,3/30/2005,Cancelled,,Cancelled
2000.114D,4/6/2000,Approved,,Approved
2000.1151C,7/19/2001,Approved,16192,Approved
2000.1154V,11/21/2000,Withdawn,,Withdawn
2000.1156A,11/29/2000,Approved,,Approved
2000.1158V,12/20/2000,Approved,,Approved
2000.1159D,3/12/2001,Withdawn,,Withdawn
2000.1161D,12/29/2000,Cancelled,,Cancelled
2000.1162B,1/11/2001,Approved,16070,Approved
2000.1162V,2/7/2001,Approved,,Approved
2000.1164B,5/9/2002,Withdawn,,Withdawn
2000.1164C,5/9/2002,Disapproved,16403,Disapproved
2000.1169A,9/24/2001,Approved,,Approved
2000.116D,5/4/2000,Approved,,Approved
2000.1172C,3/15/2001,Adopted,,Approved
2000.1179C,4/5/2001,Approved,16095,Approved
2000.1182V,12/20/2000,Approved,,Approved
2000.1190C,11/15/2001,Approved,,Approved
2000.1191C,1/10/2002,Approved,,Approved
2000.1193D,4/12/2001,Approved,,Approved
2000.1194A,1/21/2004,Approved,,Approved
2000.1195C,4/19/2001,Approved,16146,Approved
2000.1197A,12/28/2000,Approved,,Approved
2000.1200D,2/1/2001,Approved,,Approved
2000.1201V,1/24/2001,Disapproved,,Disapproved
2000.1203D,2/7/2001,Approved,,Approved
2000.1205V,1/24/2001,Approved,,Approved
2000.1206V,12/20/2000,Approved,,Approved
2000.1215B,9/13/2001,Approved,16235,Approved
2000.1215X,9/13/2001,Approved,16236,Approved
2000.1216D,10/15/2002,Cancelled,,Cancelled
2000.1217C,10/11/2001,Approved,,Approved
2000.1218D,7/7/2003,Withdawn,,Withdawn
2000.1220V,12/20/2000,Approved,,Approved
2000.1221C,2/1/2001,Approved,16085,Approved
2000.1222A,3/28/2001,Approved,,Approved
2000.1231C,12/13/2001,Approved,16307,Approved
2000.1231D,12/13/2001,Approved,,Approved
2000.1232C,4/26/2001,Approved,16153,Approved
2000.1243D,3/8/2001,Approved,,Approved
2000.1245D,2/21/2001,Withdawn,,Withdawn
2000.1248C,2/15/2001,Approved,,Approved
2000.1248C,2/15/2001,Approved,16096,Approved
2000.1251C,4/19/2001,Approved,16137,Approved
2000.1254P,2/22/2001,Approved,,Approved
2000.1254V,1/24/2001,Approved,,Approved
2000.1255C,3/22/2001,Approved,,Approved
2000.1258C,1/26/2004,Withdawn,,Withdawn
2000.1261C,6/28/2001,Approved,,Approved
2000.1264D,3/29/2001,Withdawn,,Withdawn
2000.1265D,2/15/2001,Approved,,Approved
2000.1267D,6/28/2001,Approved,,Approved
2000.1268C,4/5/2001,Approved,,Approved
2000.1268V,4/5/2001,Approved,16134/16135,Approved
2000.1268X,4/5/2001,Approved,,Approved
2000.1273V,2/28/2001,Approved,,Approved
2000.1274D,4/20/2001,Approved,,Approved
2000.1274D_3,4/20/2001,Approved,,Approved
2000.1277C,2/9/2001,Withdawn,,Withdawn
2000.1279C,9/6/2001,Approved,,Approved
2000.127B,3/9/2000,Approved,15010,Approved
2000.128V,3/22/2000,Approved,,Approved
2000.1293B,3/8/2001,Approved,16110,Approved
2000.1294C,10/19/2006,Cancelled,,Cancelled
2000.1295B,3/8/2001,Approved,16111,Approved
2000.1311C,3/20/2003,Approved,16546,Approved
2000.1311D,12/17/2002,Withdawn,,Withdawn
2000.1312V,1/24/2001,Approved,,Approved
2000.1315C,8/9/2001,Approved,16203,Approved
2000.1317C,12/10/2001,Withdawn,,Withdawn
2000.131C,4/13/2000,Approved,,Approved
2000.1328V,6/26/2001,Approved,,Approved
2000.132D,3/2/2000,Approved,,Approved
2000.134X,2/22/2001,Approved,,Approved
2000.135D,7/19/2000,Approved,,Approved
