RECORD_NO,LISTING_ID,HOST_ID,web,Service,what
2015-001070STR,3946571,,https://www.airbnb.com/rooms/3946571,Airbnb,1
2015-001079STR,8739,7149,https://www.airbnb.com/rooms/8739,Airbnb,2
2015-001087STR,4013746,93238,https://www.airbnb.com/rooms/4013746,Airbnb,3
2015-001096STR,992676,3306715,https://www.airbnb.com/rooms/992676,Airbnb,4
2015-001102STR,719431,783438,https://www.airbnb.com/rooms/719431,Airbnb,5
2015-001104STR,680288,3463569,https://www.airbnb.com/rooms/680288,Airbnb,6
2015-001112STR,845480,4393613,https://www.airbnb.com/rooms/845480,Airbnb,7
2015-001147STR,678556,3453060,https://www.airbnb.com/rooms/678556,Airbnb,8
2015-001153STR,25662,106005,https://www.airbnb.com/rooms/25662,Airbnb,9
2015-001160STR,2387068,12192591,https://www.airbnb.com/rooms/2387068,Airbnb,10
2015-001161STR,6435497,930744,https://www.airbnb.com/rooms/6435497,Airbnb,11
2015-001177STR,150848,726513,https://www.airbnb.com/rooms/150848,Airbnb,12
2015-001180STR,1080408,,https://www.airbnb.com/rooms/1080408,Airbnb,13
2015-001180STR,1043282,,https://www.airbnb.com/rooms/1043282,Airbnb,14
2015-001200STR,770991,258005,https://www.airbnb.com/rooms/770991,Airbnb,15
2015-001223STR,207980,1023546,https://www.airbnb.com/rooms/207980,Airbnb,16
2015-001285STR,3200885,,https://www.airbnb.com/rooms/3200885,Airbnb,17
2015-001287STR,277339,1448282,https://www.airbnb.com/rooms/277339,Airbnb,18
2015-001291STR,728585,3780377,https://www.airbnb.com/rooms/728585,Airbnb,19
2015-001303STR,3664261,2555455,https://www.airbnb.com/rooms/3664261,Airbnb,20
2015-001305STR,392543,1963037,https://www.airbnb.com/rooms/392543,Airbnb,21
2015-001333STR,1550913,497158,https://www.airbnb.com/rooms/1550913,Airbnb,22
2015-001336STR,1510363,7303214,https://www.airbnb.com/rooms/1510363,Airbnb,23
2015-001343STR,4526608,746254,https://www.airbnb.com/rooms/4526608,Airbnb,24
2015-001344STR,3111016,,https://www.airbnb.com/rooms/3111016,Airbnb,25
2015-001344STR,2066085,,https://www.airbnb.com/rooms/2066085,Airbnb,26
2015-001425STR,504146,2486135,https://www.airbnb.com/rooms/504146,Airbnb,27
2015-001426STR,3712200,,https://www.airbnb.com/rooms/3712200,Airbnb,28
2015-001426STR,4051455,,https://www.airbnb.com/rooms/4051455,Airbnb,29
2015-001433STR,4695477,8812791,https://www.airbnb.com/rooms/4695477,Airbnb,30
2015-001441STR,1484792,,https://www.airbnb.com/rooms/1484792,Airbnb,31
2015-001461STR,598271,2544752,https://www.airbnb.com/rooms/598271,Airbnb,32
2015-001471STR,273530,99128,https://www.airbnb.com/rooms/273530,Airbnb,33
2015-001490STR,12522,18431,https://www.airbnb.com/rooms/12522,Airbnb,34
2015-001528STR,666620,1841167,https://www.airbnb.com/rooms/666620,Airbnb,35
2015-001538STR,1931763,9999808,https://www.airbnb.com/rooms/1931763,Airbnb,36
2015-001590STR,708731,3645596,https://www.airbnb.com/rooms/708731,Airbnb,37
2015-001649STR,2559297,12707660,https://www.airbnb.com/rooms/2559297,Airbnb,38
2015-001675STR,2486953,12726391,https://www.airbnb.com/rooms/2486953,Airbnb,39
2015-001733STR,41172,53314,https://www.airbnb.com/rooms/41172,Airbnb,40
2015-001750STR,114401,580606,https://www.airbnb.com/rooms/114401,Airbnb,41
2015-001767STR,647360,3245648,https://www.airbnb.com/rooms/647360,Airbnb,42
2015-001817STR,25612,,https://www.airbnb.com/rooms/25612,Airbnb,43
2015-001846STR,11949198,63794442,https://www.airbnb.com/rooms/11949198,Airbnb,44
2015-001991STR,1985338,30250,https://www.airbnb.com/rooms/1985338,Airbnb,45
2015-001993STR,4287481,357468,https://www.airbnb.com/rooms/4287481,Airbnb,46
2015-002030STR,2968738,140461,https://www.airbnb.com/rooms/2968738,Airbnb,47
2015-002035STR,1336973,,https://www.airbnb.com/rooms/1336973,Airbnb,48
2015-002041STR,1855096,9011470,https://www.airbnb.com/rooms/1855096,Airbnb,49
2015-002043STR,1520929,8055897,https://www.airbnb.com/rooms/1520929,Airbnb,50
2015-002045STR,592883,1776403,https://www.airbnb.com/rooms/592883,Airbnb,51
2015-002052STR,5193689,26866124,https://www.airbnb.com/rooms/5193689,Airbnb,52
2015-002106STR,1535946,8191087,https://www.airbnb.com/rooms/1535946,Airbnb,53
2015-002168STR,38416451,739859,https://www.airbnb.com/rooms/38416451,Airbnb,54
2015-002183STR,2049955,58930,https://www.airbnb.com/rooms/2049955,Airbnb,55
2015-002187STR,191632,583207,https://www.airbnb.com/rooms/191632,Airbnb,56
2015-002193STR,2557977,,https://www.airbnb.com/rooms/2557977,Airbnb,57
2015-002209STR,1277771,6954280,https://www.airbnb.com/rooms/1277771,Airbnb,58
2015-002247STR,1857226,5480373,https://www.airbnb.com/rooms/1857226,Airbnb,59
2015-002264STR,216042,1115353,https://www.airbnb.com/rooms/216042,Airbnb,60
2015-002287STR,16602539,3608449,https://www.airbnb.com/rooms/16602539,Airbnb,61
2015-002320STR,208831,1028577,https://www.airbnb.com/rooms/208831,Airbnb,62
2015-002324STR,23452479,126644773,https://www.airbnb.com/rooms/23452479,Airbnb,63
2015-002539STR,1777429,648553,https://www.airbnb.com/rooms/1777429,Airbnb,64
2015-002541STR,593253,2929255,https://www.airbnb.com/rooms/593253,Airbnb,65
2015-002551STR,1724819,9091173,https://www.airbnb.com/rooms/1724819,Airbnb,66
2015-002602STR,18904,72464,https://www.airbnb.com/rooms/18904,Airbnb,67
2015-002615STR,6713990,18818082,https://www.airbnb.com/rooms/6713990,Airbnb,68
2015-002662STR,2042095,3198527,https://www.airbnb.com/rooms/2042095,Airbnb,69
2015-002682STR,12463556,13499994,https://www.airbnb.com/rooms/12463556,Airbnb,70
2015-002707STR,3549398,17827693,https://www.airbnb.com/rooms/3549398,Airbnb,71
2015-002729STR,1759087,9248549,https://www.airbnb.com/rooms/1759087,Airbnb,72
2015-002742STR,1261074,6868911,https://www.airbnb.com/rooms/1261074,Airbnb,73
2015-002744STR,3325741,6777297,https://www.airbnb.com/rooms/3325741,Airbnb,74
2015-002746STR,465723,305557,https://www.airbnb.com/rooms/465723,Airbnb,75
2015-002748STR,314248,1614566,https://www.airbnb.com/rooms/314248,Airbnb,76
2015-002753STR,2315086,11804983,https://www.airbnb.com/rooms/2315086,Airbnb,77
2015-002757STR,1056844,757108,https://www.airbnb.com/rooms/1056844,Airbnb,78
2015-002781STR,23630,93257,https://www.airbnb.com/rooms/23630,Airbnb,79
2015-002782STR,437385,2172763,https://www.airbnb.com/rooms/437385,Airbnb,80
2015-002812STR,1460628,7828423,https://www.airbnb.com/rooms/1460628,Airbnb,81
2015-002854STR,2516026,12678886,https://www.airbnb.com/rooms/2516026,Airbnb,82
2015-002909STR,3870174,180342,https://www.airbnb.com/rooms/3870174,Airbnb,83
2015-002915STR,19417708,62034618,https://www.airbnb.com/rooms/19417708,Airbnb,84
2015-002978STR,4607282,7895922,https://www.airbnb.com/rooms/4607282,Airbnb,85
2015-003018STR,1935904,,https://www.airbnb.com/rooms/1935904,Airbnb,86
2015-003054STR,1655446,8776667,https://www.airbnb.com/rooms/1655446,Airbnb,87
2015-003082STR,2172308,11082476,https://www.airbnb.com/rooms/2172308,Airbnb,88
2015-003096STR,3811916,19595581,https://www.airbnb.com/rooms/3811916,Airbnb,89
2015-003218STR,727866,1743076,https://www.airbnb.com/rooms/727866,Airbnb,90
2015-003272STR,53280,126263,https://www.airbnb.com/rooms/53280,Airbnb,91
2015-003276STR,4215907,5440227,https://www.airbnb.com/rooms/4215907,Airbnb,92
2015-003280STR,1525886,8141679,https://www.airbnb.com/rooms/1525886,Airbnb,93
2015-003285STR,746079,1567365,https://www.airbnb.com/rooms/746079,Airbnb,94
2015-003290STR,1954514,5080229,https://www.airbnb.com/rooms/1954514,Airbnb,95
2015-003313STR,87640,479857,https://www.airbnb.com/rooms/87640,Airbnb,96
2015-003318STR,5094146,304426,https://www.airbnb.com/rooms/5094146,Airbnb,97
2015-003321STR,14505006,8237509,https://www.airbnb.com/rooms/14505006,Airbnb,98
2015-003389STR,77175,395569,https://www.airbnb.com/rooms/77175,Airbnb,99
