quarter,PPTS record ID,Expiration date,checked_in,checked_out,type,post_date,Registration number,platforms,other_platforms,Month,Period,Year,Platform,Platform_lkup,Other_Platforms
2/1/2015,2015-012649STR,,12/24/2015,12/30/2015,Unhosted,1/4/2016,489,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-012649STR,,11/27/2015,11/30/2015,Unhosted,1/4/2016,489,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-012649STR,,10/30/2015,11/7/2015,Unhosted,1/4/2016,489,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-012649STR,,9/16/2015,9/18/2015,Unhosted,1/4/2016,489,Airbnb,,2,January-March,2015,Airbnb.com,,
10/1/2016,2015-003684STR,,12/28/2016,12/31/2016,Unhosted,1/10/2017,294,Airbnb,,10,October-December,2016,Airbnb.com,,
7/1/2017,2015-003684STR,,9/8/2017,9/17/2017,Unhosted,7/30/2018,294,Airbnb,,7,July-September,2017,Airbnb.com,,
7/1/2017,2015-003684STR,,9/17/2017,9/20/2017,Unhosted,7/30/2018,294,Airbnb,,7,July-September,2017,Airbnb.com,,
7/1/2017,2015-003684STR,,9/20/2017,9/24/2017,Unhosted,7/30/2018,294,Airbnb,,7,July-September,2017,Airbnb.com,,
7/1/2017,2015-003684STR,,9/25/2017,9/30/2017,Unhosted,7/30/2018,294,Airbnb,,7,July-September,2017,Airbnb.com,,
1/1/2019,2015-003684STR,,3/1/2019,3/5/2019,Unhosted,6/20/2019,294,Airbnb,,1,January-March,2019,Airbnb.com,,
1/1/2019,2015-003684STR,,3/5/2019,3/9/2019,Unhosted,6/20/2019,294,Airbnb,,1,January-March,2019,Airbnb.com,,
1/1/2019,2015-003684STR,,3/9/2019,3/16/2019,Unhosted,6/20/2019,294,Airbnb,,1,January-March,2019,Airbnb.com,,
1/1/2019,2015-003684STR,,3/17/2019,3/23/2019,Unhosted,6/20/2019,294,Airbnb,,1,January-March,2019,Airbnb.com,,
1/1/2019,2015-003684STR,,3/24/2019,3/31/2019,Unhosted,6/20/2019,294,Airbnb,,1,January-March,2019,Airbnb.com,,
10/1/2018,2015-003684STR,,11/27/2018,12/1/2018,Unhosted,6/21/2019,294,Airbnb,,10,October-December,2018,Airbnb.com,,
10/1/2018,2015-003684STR,,12/2/2018,12/7/2018,Unhosted,6/21/2019,294,Airbnb,,10,October-December,2018,Airbnb.com,,
10/1/2018,2015-003684STR,,12/7/2018,12/11/2018,Unhosted,6/21/2019,294,Airbnb,,10,October-December,2018,Airbnb.com,,
10/1/2018,2015-003684STR,,12/12/2018,12/19/2018,Unhosted,6/21/2019,294,Airbnb,,10,October-December,2018,Airbnb.com,,
10/1/2018,2015-003684STR,,12/23/2018,12/30/2018,Unhosted,6/21/2019,294,Airbnb,,10,October-December,2018,Airbnb.com,,
2/1/2015,2015-010306STR,,9/27/2015,10/18/2015,Unhosted,1/7/2016,635,Other,Private rentals,2,January-March,2015,Other,,Private rentals
2/1/2015,2015-010306STR,,12/19/2015,12/30/2015,Unhosted,1/7/2016,635,Other,Private rentals,2,January-March,2015,Other,,Private rentals
2/1/2015,2015-015337STR,,8/10/2015,8/22/2015,Unhosted,1/9/2016,818,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,6/4/2015,6/7/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,6/9/2015,6/12/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,7/22/2015,7/28/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,7/22/2015,7/28/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,8/4/2015,8/7/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,11/18/2015,11/21/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,11/30/2015,12/5/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,12/14/2015,12/19/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-007109STR,,12/24/2015,12/29/2015,Unhosted,1/5/2016,493,Airbnb,,2,January-March,2015,Airbnb.com,,
1/1/2016,2015-007109STR,,3/16/2016,3/20/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,2/27/2016,3/3/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,2/10/2016,2/16/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,2/5/2016,2/7/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,1/23/2016,1/27/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,1/16/2016,1/19/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-007109STR,,1/10/2016,1/14/2016,Unhosted,4/18/2016,493,Airbnb,,1,January-March,2016,Airbnb.com,,
2/1/2015,2015-008676STR,,7/23/2015,7/29/2015,Unhosted,1/5/2016,576,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,2/7/2015,2/11/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,2/13/2015,2/16/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,3/4/2015,3/6/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,5/9/2015,5/14/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,5/16/2015,5/18/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,5/20/2015,5/23/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,6/26/2015,6/29/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,8/21/2015,8/26/2015,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-006963STR,,8/26/2015,8/29/2016,Unhosted,1/6/2016,466,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-005617STR,,10/12/2015,10/21/2015,Unhosted,1/6/2016,415,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,2/2/2015,2/7/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,3/3/2015,3/6/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,3/15/2015,3/21/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,3/21/2015,3/23/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,3/24/2015,3/29/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,6/23/2015,6/28/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-003890STR,,7/5/2015,7/12/2015,Unhosted,1/14/2016,191,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-008072STR,,8/12/2015,8/18/2015,Unhosted,1/10/2016,546,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-008072STR,,9/11/2015,9/20/2015,Unhosted,1/10/2016,546,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-008072STR,,10/15/2015,10/18/2015,Unhosted,1/10/2016,546,Airbnb,,2,January-March,2015,Airbnb.com,,
2/1/2015,2015-008072STR,,11/13/2015,11/18/2015,Unhosted,1/10/2016,546,Airbnb,,2,January-March,2015,Airbnb.com,,
1/1/2016,2015-008072STR,,1/1/2016,1/4/2016,Unhosted,4/7/2016,546,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-008072STR,,1/11/2016,1/15/2016,Unhosted,4/7/2016,546,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-008072STR,,1/18/2016,1/22/2016,Unhosted,4/7/2016,546,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-008072STR,,2/9/2016,2/14/2016,Unhosted,4/7/2016,546,Airbnb,,1,January-March,2016,Airbnb.com,,
1/1/2016,2015-008072STR,,2/15/2016,2/22/2016,Unhosted,4/7/2016,546,Airbnb,,1,January-March,2016,Airbnb.com,,
2/1/2015,2015-001444STR,,7/18/2015,7/22/2015,Unhosted,1/10/2016,66,"Airbnb, HomeAway",,2,January-March,2015,,"Airbnb, HomeAway","Airbnb, HomeAway"
