RECORDID,EAS_ADDRESS_X_PARCEL_ID,BLKLOT
2020-008491BBN,395879,3251011
2020-008491BBN,395881,3251012A
2020-008491BBN,395882,3251013
2020-008491BBN,395883,3251014
2020-008491BBN,395884,3251015
2020-008491BBN,395921,3253013
2020-008491BBN,395923,3253015
2020-008491BBN,396004,3259001
2020-008491BBN,396005,3259002
2020-008491BBN,396006,3259003
2020-008491BBN,396008,3259005
2020-008491BBN,396009,3259006
2020-008491BBN,396010,3259007
2020-008491BBN,396041,3259043
2020-008491BBN,396043,3260002
2020-008491BBN,396133,3264006
2020-008491BBN,396134,3264007
2020-008491BBN,396136,3264009
2020-008491BBN,396137,3264010
2020-008491BBN,396138,3264011
2020-008491BBN,396166,3267001
2020-008491BBN,396167,3267002
2020-008491BBN,395885,3251016
2020-008491BBN,395886,3251017
2020-008491BBN,395888,3252002
2020-008491BBN,395889,3252002A
2020-008491BBN,395891,3252004
2020-008491BBN,395892,3252005
2020-008491BBN,396011,3259008
2020-008491BBN,396012,3259009
2020-008491BBN,396013,3259010
2020-008491BBN,396014,3259012
2020-008491BBN,396015,3259013
2020-008491BBN,396016,3259014
2020-008491BBN,396139,3264012
2020-008491BBN,396141,3264014
2020-008491BBN,396142,3264015
2020-008491BBN,396143,3264016
2020-008491BBN,396144,3264017
2020-008491BBN,396145,3264018
2020-008491BBN,395893,3252006
2020-008491BBN,395894,3252007
2020-008491BBN,395895,3252007A
2020-008491BBN,395897,3252009
2020-008491BBN,395898,3252010
2020-008491BBN,395899,3252010A
2020-008491BBN,395972,3258002
2020-008491BBN,395973,3258003
2020-008491BBN,395974,3258004
2020-008491BBN,395975,3258005
2020-008491BBN,396017,3259015
2020-008491BBN,396018,3259016
2020-008491BBN,396020,3259018
2020-008491BBN,396021,3259019
2020-008491BBN,396147,3264020
2020-008491BBN,396148,3264021
2020-008491BBN,396149,3264022
2020-008491BBN,396150,3264022A
2020-008491BBN,396151,3265001
2020-008491BBN,396152,3265002
2020-008491BBN,395901,3252012
2020-008491BBN,395976,3258006
2020-008491BBN,395977,3258007
2020-008491BBN,395978,3258008
2020-008491BBN,395980,3258010
