R1_FEE_CODE,R1_GF_COD,NewCode,row
PLN_ENT_AHB,PLN-AHB-BOS,BOS-BDClerkBrd-PlnApplSurchrge,1
PLN_ENT_CUA,PLN-CUA-BOS,BOS-BDClerkBrd-PlnApplSurchrge,2
PLN_ENT_CUA,PLN-CUA-BOS1,BOS-BDClerkBrd-PlnApplSurchrge,3
PLN_ENT_ENX,PLN-ENX-BOA,BOS-BDClerkBrd-PlnApplSurchrge,4
PLN_ENV,PLN-ENV-BOS,BOS-BDClerkBrd-PlnApplSurchrge,5
PLN_ENV_ECA,PLN-ENV-BOS,BOS-BDClerkBrd-PlnApplSurchrge,6
PLN_ENV_EEC,PLN-ENV-BOS,BOS-BDClerkBrd-PlnApplSurchrge,7
PLN_ENT_COA,PLN-COA-BOA,BOA-BAApplPrcssng-BOASurcharge,8
PLN_ENT_CTZ,PLN-CTZ-BOA,BOA-BAApplPrcssng-BOASurcharge,9
PLN_ENT_DNX,PLN-DNX-BOA,BOA-BAApplPrcssng-BOASurcharge,10
PLN_ENT_OFA,PLN-OFA-BOA,BOA-BAApplPrcssng-BOASurcharge,11
PLN_ENT_PTA,PLN-PTA-BOA,BOA-BAApplPrcssng-BOASurcharge,12
PLN_ENT_VAR,PLN-VAR-BOA,BOA-BAApplPrcssng-BOASurcharge,13
PLN_DES,PLN-DES-01,CPC-Admin-OthShortRangePlanFee,14
PLN_DES,PLN-DES-03,CPC-Admin-OthShortRangePlanFee,15
PLN_DES,PLN-DES-04,CPC-Admin-OthShortRangePlanFee,16
PLN_DES,PLN-DES-05,CPC-Admin-OthShortRangePlanFee,17
PLN_DRV_DRM,PLN-DRM-01,CPC-Admin-OthShortRangePlanFee,18
PLN_DRV_DRP,PLN-DRP-01,CPC-Admin-OthShortRangePlanFee,19
PLN_ENT_AHB,PLN-AHB-01,CPC-Admin-OthShortRangePlanFee,20
PLN_ENT_AHB,PLN-AHB-02,CPC-Admin-OthShortRangePlanFee,21
PLN_ENT_AHB,PLN-AHB-03,CPC-Admin-OthShortRangePlanFee,22
PLN_ENT_AHB,PLN-AHB-14,CPC-Admin-OthShortRangePlanFee,23
PLN_ENT_CTZ,PLN-CTZ-01,CPC-Admin-OthShortRangePlanFee,24
PLN_ENT_CUA,PLN-CUA-04,CPC-Admin-OthShortRangePlanFee,25
PLN_ENT_DNX,PLN-DNX-01,CPC-Admin-OthShortRangePlanFee,26
PLN_ENT_DNX,PLN-DNX-02,CPC-Admin-OthShortRangePlanFee,27
PLN_ENT_DNX,PLN-DNX-03,CPC-Admin-OthShortRangePlanFee,28
PLN_ENT_ENX,PLN-ENX-01,CPC-Admin-OthShortRangePlanFee,29
PLN_ENT_OFA,PLN-OFA-01,CPC-Admin-OthShortRangePlanFee,30
PLN_ENT_PTA,PLN-PTA-01,CPC-Admin-OthShortRangePlanFee,31
PLN_ENV_ETR,PLN-ENV-03,CPC-Admin-OthShortRangePlanFee,32
PLN_ENV_ETR,PLN-ENV-03B,CPC-Admin-OthShortRangePlanFee,33
