RECORDID,R1_FEE_CODE,R1_GF_COD
2016-003836CUA,PLN_ENT_CUA,PLN-CUA-BOS
2015-006866VAR,PLN_ENT_VAR,PLN-VAR-BOA
2014-002655DRP,,
2015-002679COA,PLN_ENT_COA,PLN-COA-02
2015-002679COA,PLN_TM,PLN_TM_01
2016-012312EEC,PLN_ENV_EEC,PLN-CE-03
2016-012312EEC,PLN_TM,PLN_TM_01
2016-003836CUA,PLN_ENT_CUA,PLN-CUA-01
2016-003836CUA,PLN_TM,PLN_TM_01
2012.0893EEA,PLN_ENV_END,PLN-NEG-01
2012.0893EEA,PLN_TM,PLN_TM_01
2015-006866VAR,PLN_ENT_VAR,PLN-VAR-01
2015-006866VAR,PLN_TM,PLN_TM_01
ORIG830,PLN_ENF,PLN-ENF-02
ORIG830,PLN_GAS,PLN-GAS-01
2017-005954TDM,PLN_ENT_TDM,PLN-TDM-01
2017-005954TDM,PLN_ENT_TDM,PLN-TDM-01
2015-018317STR,PLN_STR,PLN-STR-01
2015-018317STR,PLN_ENF,PLN-ENF-02
2016-002899PRV,PLN_PRV,PLN-PRV-02
2016-002899PRV,PLN_PRV,PLN-PRV-02
2016-012762PRV,PLN_PRV,PLN-PRV-04
2016-012762PRV,PLN_PRV,PLN-PRV-04
2016-006445ENF,PLN_ENF,PLN-ENF-02
2016-006445ENF,PLN_ENF,PLN-ENF-01
2016-006860IKA,PLN_SHARED,PLN-SHARE-02
2016-006860IKA,PLN_SHARED,PLN-SHARE-07
BBN23408,PLN_BBN,PLN-BBN-01
