2021-000008STR,2607021,2312,7259001,1 Morningside Drive,E4Y5WkEzJGpc,,460996
2021-000009STR,2742984,2632,4228058,1011 23rd St Apt 12,okQ3fE3L686z,,540217
2021-000010STR,2985024,2758,2032013,1050 Noriega St,q46izxsER2Av,,364334
2021-000011STR,2959628,2753,0279010,1062 sutter st,laUGDTlk5EZ6,,311761
2021-000012STR,2618604,2368,1237027,1071 Page St, Apt, Suite, Bldg. (optional),UfHy18rpIqVg,,336028
2021-000013STR,2618604,2368,1237027,1071 Page St, Apt, Suite, Bldg. (optional),UfHy18rpIqVg,,336028
2021-000014STR,2749295,2661,1218042,1090 Page Street Apt 4,El6hIWnHcdTf,,335449
2021-000015STR,2632042,2413,0060206,111 Chestnut St Unit 411,XLQDWFTeAbi6,,302978
2021-000016STR,2528814,1978,0097038A,1115 Filbert Street,6CLMm468so6X,,304487
2021-000017STR,2973803,2749,3755022,1128 Harrison Street,mMtgBGP0Xp3F,,505735
2021-000018STR,2451867,1907,6510004A,1148 Dolores Street,uBTV01GRtBd8,,442177
2021-000019STR,2529908,1984,1729023H,1218 22nd Avenue,qhvzG00bfTXF,,353715
2021-000020STR,3015626,2781,1235026,1229 Page Street,au4KNQxQuNZ6,,487324
2021-000021STR,2368479,1766,4266024,1231 York Street,YVh54Sn8EaLj,,411634
2021-000022STR,2625089,2400,1715036,1246 36th Avenue,syhCz5MApTG6,,353086
2021-000023STR,2532928,1994,6753028,126 Cayuga Ave,5wrZFNpw7pPR,,448254
2021-000024STR,2675112,2473,0723043,1305 LAGUNA ST APT 4,RETmz4xRZVQC,,301794
2021-000025STR,2904998,2712,1764041,1306 10th ave,AfEkQgnhG5lg,,354901
2021-000026STR,2711137,2570,0733020,1322 Eddy Street,R2qlQCWUntxj,,538816
2021-000027STR,2130817,1407,4791004,1326 THOMAS AVENUE,PUqBXEnJPRa6,,413580
2021-000028STR,2635540,2423,2987011,1332 Portola Dr,7fmgDevqTP6h,,549550
