RECORDID,BLKLOT,ADDRESS,SUBMISSION_ID,REFADDR
2020-008683STR,3703012,529 Stevenson Street 317,04ef9b78-ded1-41f9-9701-249109f6fb5d,543396
2020-008684STR,3784112,161 Gilbert Street #4,5049b779-669b-45af-84d0-5be9e2327afd,565435
2020-008685STR,1234006,1206 Haight Street,52f4c533-fce6-4ba1-8377-f87fd74bce54,497407
2020-008686STR,4217025,1219 Rhode Island Street,025027c2-1823-4f27-8cb4-d8f4222394d3,411281
2020-008687STR,3109019,1566 Plymouth Avenue,f9ecefea-2134-4cac-b61e-e5ce4783bd5d,393292
2020-008688STR,296015,490 Post Street,366c29f1-35aa-4159-9669-844fe66d6952,574059
2020-008689STR,4167013,1395 22nd Street apt 107,25695c39-8cd1-4f19-8eef-9231fdf04a81,491074
2020-008690STR,2962A014,428 Molimo Drive,2ec50996-4299-4fd0-8c51-73567ddd9f66,389001
2020-008691STR,5659017,1005 Cortland Avenue,42faba02-c455-41e0-873a-e673b1d0920f,423217
2020-008692STR,63004,1937 Stockton Street,7ddf8b2b-bc98-4631-be1f-62c361c8988c,303176
2020-008693STR,281017,1035 Bush Street #1,78471e02-057a-43dd-9b9c-7b271d752484,311813
2020-008694STR,539027,2265 Union Street,db19e04f-7df7-4ea5-a634-82fba1fcad27,318062
2020-008695STR,8704008,300 Berry Street 1313,2ed072cf-5e30-447d-a584-50bc867d372f,545484
2020-008696STR,1834009,1475 19th Avenue Apartment A,a438c3ac-ae99-42de-9a0e-fbf73daa9e7c,358162
2020-008697STR,0100019A,15 Aladdin Terrace, San Francisco, CA 94133, US,b96e504c-f95f-4476-860f-5a283de101a1,304574
2020-008698STR,3574122,330 Shotwell Street, San Francisco, CA 94110, US,8c56abeb-b4aa-4458-bbb2-e4a186e76a1c,399646
2020-008699STR,2968B045,460 Marietta Drive, San Francisco, CA 94127, US,ea799983-cc81-4554-9737-0a5fc8731b89,389275
2020-008700STR,6946013,46 Bruce Avenue,74f1ba41-8a96-40f9-b8c3-766f889be993,450987
