RecordID,REVIEW_TYPE,closedate
2004.1053E,Categorical Exemption-Stamp,4/21/2005
2005.0030E,Initial Study-Negative Declaration,4/19/2007
2005.0090E,Categorical Exemption-Certificate,5/4/2005
2005.0142E,Categorical Exemption-Certificate,8/24/2005
2005.0156E,Initial Study-Negative Declaration,6/14/2006
2005.0159E,Initial Study-Negative Declaration,9/6/2005
2005.0162E,Initial Study-Negative Declaration,7/14/2006
2005.0164E,Initial Study-Negative Declaration,6/2/2006
2005.0168E,Initial Study-Negative Declaration,5/10/2006
2005.0199E,Categorical Exemption-Certificate,8/4/2005
2005.0200E,Initial Study-Negative Declaration,6/16/2009
2005.0201E,Categorical Exemption-Certificate,6/28/2005
2005.0233E,Initial Study-Negative Declaration,12/16/2010
2005.0275E,Categorical Exemption-Class 32,10/31/2005
2005.0285E,Initial Study-Negative Declaration,1/24/2006
2005.0267E,Initial Study-Negative Declaration,3/5/2009
2005.0290E,Categorical Exemption-Stamp,12/22/2005
2005.0298E,Initial Study-Negative Declaration,12/8/2007
2005.0307E,Categorical Exemption-Certificate,1/19/2006
2005.0312E,Categorical Exemption-Stamp,6/16/2006
2005.0336E,Categorical Exemption-Certificate,9/15/2005
2005.0337E,Categorical Exemption-Certificate,9/21/2007
2005.0346E,Categorical Exemption-Certificate,12/26/2007
2005.0364E,Categorical Exemption-Stamp,7/27/2005
2005.0365E,Categorical Exemption-Certificate,5/2/2007
2005.0397E,Categorical Exemption-Stamp,9/15/2005
2005.0399E,Categorical Exemption-Certificate,8/30/2005
2005.0427E,Categorical Exemption-Certificate,12/9/2005
2005.0418E,Categorical Exemption-Certificate,11/16/2006
2005.0470E,Initial Study-Negative Declaration,12/22/2007
2005.0473E,Categorical Exemption-Certificate,6/18/2008
2005.0474E,Initial Study-Negative Declaration,3/10/2006
2005.0488E,Categorical Exemption-Class 32,12/15/2006
2005.0490E,Initial Study-Negative Declaration,6/30/2007
2005.0540E,Initial Study-Negative Declaration,5/19/2006
2005.0542E,Categorical Exemption-Certificate,11/22/2005
2005.0543E,Categorical Exemption-Certificate,12/9/2005
2005.0573E,Categorical Exemption-Certificate,8/23/2006
2005.0186E,Categorical Exemption-Stamp,5/12/2006
2005.0616E,Initial Study-Negative Declaration,9/27/2005
2005.0617E,Categorical Exemption-Certificate,4/28/2006
2005.0621E,Categorical Exemption-Certificate,3/21/2006
2005.0634E,Initial Study-Negative Declaration,4/7/2006
2005.0635E,Categorical Exemption-Certificate,10/28/2005
2005.0582E,Negative Declaration Addendum,12/23/2005
2005.0664E,Categorical Exemption-Certificate,8/25/2005
2005.0671E,Initial Study-Negative Declaration,10/10/2006
2005.0541E,Categorical Exemption-Certificate,9/27/2005
2005.0682E,Categorical Exemption-Certificate,12/16/2005
2005.0731E,Initial Study-Negative Declaration,3/5/2007
2005.0734E,Categorical Exemption-Certificate,11/16/2006
2005.0077E,Categorical Exemption-Certificate,10/12/2005
2005.0121E,Categorical Exemption-Certificate,12/6/2005
2005.0759E,Initial Study-Negative Declaration,12/4/2019
2005.0762E,Initial Study-Negative Declaration,6/16/2007
2005.0146E,Categorical Exemption-Certificate,2/24/2006
2005.0769E,Categorical Exemption-Certificate,1/11/2006
2005.0428E,Categorical Exemption-Certificate,8/23/2005
2005.0772E,Categorical Exemption-Certificate,8/25/2005
2005.0699E,Categorical Exemption-Certificate,12/23/2005
2005.0450E,Categorical Exemption-Certificate,10/11/2005
2005.0471E,Categorical Exemption-Certificate,10/5/2005
2005.0869E,Initial Study-Negative Declaration,12/4/2007
2005.0876E,Initial Study-Negative Declaration,9/24/2008
2005.0486E,Categorical Exemption-Certificate,9/12/2007
2005.0883E,Initial Study-Negative Declaration,10/2/2007
2005.0887E,Initial Study-Negative Declaration,3/16/2007
2005.0893E,Initial Study-Negative Declaration,10/6/2007
2005.0327E,Categorical Exemption-Certificate,1/13/2007
2005.0816E,Categorical Exemption-Certificate,10/20/2005
2005.0911E,Initial Study-Negative Declaration,10/8/2008
2000.1215E_3,Negative Declaration Addendum,8/22/2006
2005.0930E,Initial Study-Negative Declaration,11/29/2006
2005.0857E,Categorical Exemption-Certificate,2/8/2006
2005.0937E,Initial Study-Negative Declaration,12/20/2006
2005.0939E,Categorical Exemption-Certificate,2/2/2006
2005.0942E,Categorical Exemption-Certificate,10/28/2005
2005.0946E,Categorical Exemption-Certificate,12/9/2005
2006.0011E,Categorical Exemption-Certificate,2/28/2006
2005.0955E,Categorical Exemption-Certificate,12/9/2005
2003.0262E_3,Initial Study-Negative Declaration,5/15/2004
2005.0979E,Initial Study-Negative Declaration,4/8/2009
2005.0477E,Initial Study-Negative Declaration,6/16/2006
2005.0985E,Categorical Exemption-Certificate,4/26/2006
2005.0990E,Categorical Exemption-Certificate,8/3/2010
2005.1004E,Initial Study-Negative Declaration,1/6/2010
2005.0975E,Categorical Exemption-Certificate,1/19/2006
2005.1140E,Categorical Exemption-Certificate,12/13/2006
2005.1012E,Categorical Exemption-Stamp,4/19/2006
2005.1018E,Initial Study-Negative Declaration,10/23/2008
2005.0480E,Categorical Exemption-Certificate,1/19/2006
2005.0481E,Categorical Exemption-Certificate,1/19/2006
2005.0994E,Categorical Exemption-Certificate,2/2/2006
2005.1032E,Categorical Exemption-Certificate,9/26/2006
2004.0563E,Categorical Exemption-Certificate,11/22/2005
2005.1037E,Categorical Exemption-Certificate,12/7/2005
2005.1045E,Categorical Exemption-Certificate,4/19/2006
2005.1054E,Categorical Exemption-Certificate,2/2/2006
2012.0442E,Categorical Exemption-Stamp,1/5/2006
2005.0886E,Categorical Exemption-Certificate,4/24/2006
