RECORDID,ROW_INDEX,Review_Type,PARENTRECORDID,DATECLOSED,closedate
1996.281E_13,1,EIR Addendum,1996.281,10/1/2018,10/1/2018
1996.281E_14,1,Public Project Exemption,1996.281,6/28/2019,6/28/2019
2004.0482ENV-02,1,Negative Declaration Addendum,2016-015814PRJ,6/25/2019,6/25/2019
2007.0946ENV-06,1,EIR Addendum,2007.0946,3/3/2020,3/3/2020
2008.1084ENV-11,1,EIR Addendum,2008.1084E_ENV,2/12/2020,2/12/2020
2012.0153ENV-03,1,Negative Declaration Addendum,2012.0153,5/24/2016,5/24/2016
2013.0253ENV,1,Community Plan-Exemption/Exclusion,2013.0253,3/22/2016,3/22/2016
2013.0770ENV,1,Community Plan-Determination,2013.077,10/30/2018,10/30/2018
2013.1383ENV,1,Initial Study-Negative Declaration,2013.1383,7/20/2017,7/20/2017
2014.0334ENV,1,Community Plan-Exemption/Exclusion,2014.0334PRJ,7/31/2019,7/31/2019
2014.0376ENV,1,Community Plan-Exemption/Exclusion,2014.0376,9/19/2018,9/19/2018
2014.0678ENV,1,Categorical Exemption-Class 32,2014.0678,11/22/2016,11/22/2016
2014.0734ENV,1,Categorical Exemption-Class 32,2014.0734,10/22/2020,10/22/2020
2014.0952ENV,1,Categorical Exemption-Class 32,2014.0952PRJ,9/19/2017,9/19/2017
2014.0964ENV,1,Community Plan-Determination,2014.0964,11/18/2016,11/18/2016
2014.1205ENV,1,Community Plan-Exemption/Exclusion,2014.1205,5/15/2020,5/15/2020
2014.1258ENV,1,Community Plan-Determination,2014.1258,12/13/2017,12/13/2017
2014.1305ENV,1,Initial Study-Environmental Impact Report,2014.1305,2/11/2019,2/11/2019
2014.1364ENV,1,Categorical Exemption-Class 32,2014.1364,11/21/2017,11/21/2017
2014.1434ENV,1,Community Plan-Exemption/Exclusion,2014.1434,12/2/2016,12/2/2016
2014.1509ENV,1,Note to File,2014.1509,3/15/2017,3/15/2017
2014.1573ENV,1,Categorical Exemption-Class 32,2014.1573,10/28/2019,10/28/2019
2014.1575ENV,1,Community Plan-Exemption/Exclusion,2014.1575,1/7/2016,1/7/2016
2014-000140ENV,1,Categorical Exemption-Stamp,2014-000140PRJ,8/30/2016,8/30/2016
2014-000534ENV,1,Categorical Exemption-Determination of Historic Resource,2014-000534PRJ,7/12/2017,7/12/2017
2014-000601ENV,1,Community Plan-Exemption/Exclusion,2014-000601PPA,6/28/2016,6/28/2016
2014-001062ENV,1,Categorical Exemption-Stamp,2014-001062PRJ,12/31/2018,12/31/2018
2014-001569ENV,1,Categorical Exemption-Determination of Historic Resource,2014-001569PRJ,1/24/2019,1/24/2019
2014-001674ENV,1,Categorical Exemption-Class 32,2014-001674PRJ,11/28/2017,11/28/2017
2014-002026ENV,1,Community Plan-Exemption/Exclusion,2014-002026PRJ,11/29/2017,11/29/2017
2014-002035ENV,1,Community Plan-Determination,2014-002035PRJ,6/1/2017,6/1/2017
2014-002330ENV,1,Note to File,2014-002330PRJ,1/29/2016,1/29/2016
2014-002414ENV,1,Categorical Exemption-Class 32,2014-002414PRJ,5/2/2016,5/2/2016
2014-002628ENV,1,Community Plan-Determination,2014-002628PRJ,12/10/2015,12/10/2015
2014-002849ENV,1,Categorical Exemption-Class 32,2014-002849PRJ,7/12/2017,7/12/2017
2014-003160ENV,1,Community Plan-Exemption/Exclusion,2014-003160PRJ,1/29/2018,1/29/2018
2015-000116ENV,1,Categorical Exemption-Determination of Historic Resource,2015-000116PRJ,12/20/2018,12/20/2018
2015-000451ENV,1,General Rule Exclusion,,8/25/2017,8/25/2017
2015-000878ENV,1,Categorical Exemption-Class 32,2015-000878PPA,3/6/2017,3/6/2017
2015-001314ENV,1,Community Plan-Determination,2015-001314PRJ,11/12/2015,11/12/2015
2015-001360ENV,1,Initial Study-Negative Declaration,2015-001360PRJ,12/23/2019,12/23/2019
2015-001565ENV,1,EIR Addendum,,,//
2015-001958ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2015-001958PRJ,9/6/2016,9/6/2016
2015-002338ENV,1,Categorical Exemption-Determination of Historic Resource,2015-002338PRJ,9/8/2016,9/8/2016
2015-002600ENV,1,Community Plan-Exemption/Exclusion,2015-002600PRJ,5/10/2016,5/10/2016
2015-002825ENV,1,Community Plan-Exemption/Exclusion,2015-002825PRJ,11/16/2017,11/16/2017
2015-002837ENV,1,Note to File,2015-002837PRJ,12/7/2016,12/7/2016
2015-003791ENV,1,Categorical Exemption-Class 32,2015-003791PRJ,11/1/2016,11/1/2016
2015-003952ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2014-000205PRJ,5/9/2017,5/9/2017
2015-004085ENV,1,Community Plan-Initial Study/Environmental Evaluation,2015-004085PRJ,12/15/2016,12/15/2016
2015-004297ENV,1,Categorical Exemption-Class 32,2015-004297PRJ,1/9/2019,1/9/2019
2015-004546ENV,2,Public Project Exemption,,9/21/2017,9/21/2017
2015-005329ENV,1,Categorical Exemption-Class 32,2015-005329PRJ,5/17/2017,5/17/2017
2015-005388ENV,1,Community Plan-Exemption/Exclusion,2015-005388PRJ,1/6/2016,1/6/2016
2015-005479ENV,3,Categorical Exemption-Determination of Historic Resource,2015-005479PRJ,1/3/2018,1/3/2018
2015-005619ENV-02,1,Categorical Exemption-Determination of Historic Resource Impact,2015-005619PRJ,8/18/2020,8/18/2020
2015-005848ENV,1,Community Plan-Exemption/Exclusion,2015-005848PRJ,10/28/2019,10/28/2019
2015-005862ENV,1,Community Plan-Exemption/Exclusion,2015-005862PRJ,8/9/2017,8/9/2017
2016-007593ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2016-007593PRJ,2/16/2018,2/16/2018
2016-007620ENV,1,Public Project Exemption,,7/19/2016,7/19/2016
2016-007695ENV,1,Community Plan-Exemption/Exclusion,2016-007695PRJ,7/13/2018,7/13/2018
2016-008348ENV,2,Public Project Exemption,,7/20/2016,7/20/2016
2016-008438ENV,1,Community Plan-Determination,2016-008438PRJ,9/12/2018,9/12/2018
2016-008515ENV,0,Initial Study-Negative Declaration,2016-008515PRJ,11/24/2021,11/24/2021
2016-008604ENV,1,Categorical Exemption-Class 32,2016-008604PRJ,7/19/2021,7/19/2021
2016-008647ENV,1,Public Project Exemption,,7/7/2016,7/7/2016
2016-008651ENV,1,Community Plan-Determination,2016-008651PRJ,6/4/2018,6/4/2018
2016-008769ENV,1,Statutory Exemption,,7/14/2016,7/14/2016
2015-006485ENV,2,Public Project Exemption,2015-006485CWP,11/12/2015,11/12/2015
2015-006512ENV,2,Community Plan-Exemption/Exclusion,2015-006512PRJ,12/21/2017,12/21/2017
2015-006697ENV,1,Categorical Exemption-Determination of Historic Resource,2015-006551PRJ,8/22/2016,8/22/2016
2015-007651ENV,1,Categorical Exemption-Determination of Historic Resource,2015-007651PRJ,2/12/2020,2/12/2020
2015-007917ENV,1,Categorical Exemption-Determination of Historic Resource,2015-007917PRJ,8/25/2017,8/25/2017
2015-008058ENV,1,Community Plan-Determination,2015-008058PRJ,2/16/2017,2/16/2017
2015-008247ENV,1,Categorical Exemption-Determination of Historic Resource,2018-000528PRJ,5/9/2018,5/9/2018
2015-008631ENV,1,Categorical Exemption-Determination of Historic Resource,2015-008631PRJ,2/24/2016,2/24/2016
2015-008803ENV,1,Public Project Exemption,,6/5/2017,6/5/2017
2015-008813ENV,1,Categorical Exemption-Determination of Historic Resource,2015-008813PRJ,9/17/2018,9/17/2018
2015-009647ENV,1,Categorical Exemption-Certificate,2015-009647PRJ,7/6/2017,7/6/2017
2015-009891ENV,1,Categorical Exemption-Determination of Historic Resource,2015-009891PRJ,11/13/2015,11/13/2015
2015-009955ENV,1,Categorical Exemption-Class 32,2015-009955PRJ,5/25/2021,5/25/2021
2015-010090ENV,1,Categorical Exemption-Determination of Historic Resource,2015-010090PRJ,3/14/2016,3/14/2016
2015-010576ENV,1,Categorical Exemption-Certificate,2015-010576PRJ,10/20/2016,10/20/2016
2015-010827ENV,4,Public Project Exemption,,1/22/2016,1/22/2016
2015-011215ENV,1,Community Plan-Determination,2015-011215PRJ,9/21/2017,9/21/2017
2015-011253ENV,1,Categorical Exemption-Class 32,2015-011253PRJ,1/30/2018,1/30/2018
2015-011274ENV,2,Environmental Impact Report,2015-011274PRJ,8/15/2019,8/15/2019
2016-007919ENV,1,Categorical Exemption-Certificate,2016-007919PRJ,3/1/2018,3/1/2018
2015-011574ENV,1,Initial Study-Negative Declaration,2015-011574PRJ,12/10/2015,12/10/2015
2015-012087ENV,1,Categorical Exemption-Determination of Historic Resource,2015-012087PRJ,1/25/2017,1/25/2017
2015-012490ENV,2,Initial Study,2015-012490PRJ,9/18/2019,9/18/2019
2015-012729ENV,1,Categorical Exemption-Class 32,2015-012729PRJ,9/25/2018,9/25/2018
2015-012994ENV,1,Initial Study-Negative Declaration,,4/4/2018,4/4/2018
2015-013317ENV,1,Categorical Exemption-Stamp,,10/6/2015,10/6/2015
2015-013487ENV,1,Categorical Exemption-Determination of Historic Resource,2015-013487PRJ,4/10/2018,4/10/2018
2015-013524ENV,1,Categorical Exemption-Stamp,,11/19/2015,11/19/2015
2015-013743ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2015-013743PRJ,3/25/2016,3/25/2016
2015-014148ENV,1,Community Plan-Determination,2015-014148PRJ,9/21/2018,9/21/2018
2015-014664ENV,1,Categorical Exemption-Stamp,2015-014664PRJ,8/30/2020,8/30/2020
2015-015147ENV,1,Public Project Exemption,,12/16/2015,12/16/2015
2015-015229ENV,1,Categorical Exemption-Class 32,2015-015229PRJ,8/31/2017,8/31/2017
2015-015278ENV,1,Categorical Exemption-Determination of Historic Resource,2015-015278PRJ,2/15/2017,2/15/2017
2015-015473ENV,1,Public Project Exemption,,10/2/2017,10/2/2017
2015-015475ENV,1,Public Project Exemption,,12/3/2015,12/3/2015
2015-016022ENV,3,Categorical Exemption-Stamp,2015-016022PRJ,5/27/2016,5/27/2016
2015-016239ENV,1,Community Plan-Determination,2015-016239PRJ,3/26/2019,3/26/2019
2015-016243ENV,1,Categorical Exemption-Class 32,2015-016243PRJ,10/10/2018,10/10/2018
2016-000017ENV,1,Categorical Exemption-Certificate,2016-000017PRJ,3/15/2018,3/15/2018
2016-000058ENV,1,Categorical Exemption-Stamp,2016-000058PRJ,8/30/2016,8/30/2016
2016-000301ENV,1,Categorical Exemption-Stamp,2016-000301PRJ,5/25/2016,5/25/2016
2016-000302ENV,1,Categorical Exemption-Determination of Historic Resource,2016-000302PRJ,1/5/2022,1/5/2022
2016-000346ENV,2,Community Plan-Determination,2016-000346PRJ,7/6/2017,7/6/2017
2016-000378ENV,1,Categorical Exemption-Class 32,2016-000378PRJ,11/9/2018,11/9/2018
2016-000601ENV,1,Community Plan-Determination,2016-000601PRJ,10/12/2017,10/12/2017
2016-000857ENV,2,Initial Study-Negative Declaration,,8/31/2017,8/31/2017
2016-001091ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2016-001091PRJ,4/17/2020,4/17/2020
2016-001426ENV,1,Public Project Exemption,,3/4/2016,3/4/2016
2016-001557ENV-02,1,Community Plan-Determination,2016-001557PRJ,7/31/2018,7/31/2018
2016-003866ENV,1,Public Project Exemption,,3/24/2016,3/24/2016
2016-003935ENV,1,Public Project Exemption,,4/5/2016,4/5/2016
2016-003938ENV,1,Public Project Exemption,,4/5/2016,4/5/2016
2016-004042ENV,1,Public Project Exemption,2016-004042PCA,11/30/2017,11/30/2017
2016-004209ENV,1,Public Project Exemption,,6/27/2016,6/27/2016
2016-004276ENV,1,Categorical Exemption-Determination of Historic Resource,2016-004276PRJ,8/9/2019,8/9/2019
2016-004349ENV,1,Categorical Exemption-Determination of Historic Resource,2016-004349PRJ,8/30/2016,8/30/2016
2016-004392ENV,1,Community Plan-Determination,2016-004392PRJ,7/6/2020,7/6/2020
2016-004541ENV,1,Categorical Exemption-Class 32,2016-004541PRJ,11/26/2018,11/26/2018
2016-004678ENV,1,Statutory Exemption,,4/15/2016,4/15/2016
2016-004685ENV,1,Statutory Exemption,,4/15/2016,4/15/2016
2016-004687ENV,1,Statutory Exemption,,4/15/2016,4/15/2016
2016-004862ENV,1,Categorical Exemption-Determination of Historic Resource,2016-004862PRJ,11/18/2016,11/18/2016
2016-004875ENV,1,Public Project Exemption,,4/29/2016,4/29/2016
2016-004878ENV,1,Other CEQA Guidelines Section,,11/8/2018,11/8/2018
2016-004905ENV,1,Community Plan-Determination,2016-004905PRJ,1/4/2019,1/4/2019
2016-004923ENV,2,Statutory Exemption,,5/12/2016,5/12/2016
2016-005406ENV,1,Community Plan-Exemption/Exclusion,2016-005406PRJ,2/26/2018,2/26/2018
2016-005436ENV,1,Statutory Exemption,,5/12/2016,5/12/2016
